project,article,granularity,timestamp,access,agent,views
en.wikipedia,Animal_Crossing,daily,2015-07-01,all-access,all-agents,938
en.wikipedia,Animal_Crossing,daily,2015-07-02,all-access,all-agents,971
en.wikipedia,Animal_Crossing,daily,2015-07-03,all-access,all-agents,898
en.wikipedia,Animal_Crossing,daily,2015-07-04,all-access,all-agents,868
en.wikipedia,Animal_Crossing,daily,2015-07-05,all-access,all-agents,917
en.wikipedia,Animal_Crossing,daily,2015-07-06,all-access,all-agents,1012
en.wikipedia,Animal_Crossing,daily,2015-07-07,all-access,all-agents,981
en.wikipedia,Animal_Crossing,daily,2015-07-08,all-access,all-agents,970
en.wikipedia,Animal_Crossing,daily,2015-07-09,all-access,all-agents,949
en.wikipedia,Animal_Crossing,daily,2015-07-10,all-access,all-agents,863
en.wikipedia,Animal_Crossing,daily,2015-07-11,all-access,all-agents,819
en.wikipedia,Animal_Crossing,daily,2015-07-12,all-access,all-agents,979
en.wikipedia,Animal_Crossing,daily,2015-07-13,all-access,all-agents,3023
en.wikipedia,Animal_Crossing,daily,2015-07-14,all-access,all-agents,1417
en.wikipedia,Animal_Crossing,daily,2015-07-15,all-access,all-agents,1146
en.wikipedia,Animal_Crossing,daily,2015-07-16,all-access,all-agents,910
en.wikipedia,Animal_Crossing,daily,2015-07-17,all-access,all-agents,916
en.wikipedia,Animal_Crossing,daily,2015-07-18,all-access,all-agents,906
en.wikipedia,Animal_Crossing,daily,2015-07-19,all-access,all-agents,1023
en.wikipedia,Animal_Crossing,daily,2015-07-20,all-access,all-agents,982
en.wikipedia,Animal_Crossing,daily,2015-07-21,all-access,all-agents,992
en.wikipedia,Animal_Crossing,daily,2015-07-22,all-access,all-agents,995
en.wikipedia,Animal_Crossing,daily,2015-07-23,all-access,all-agents,921
en.wikipedia,Animal_Crossing,daily,2015-07-24,all-access,all-agents,851
en.wikipedia,Animal_Crossing,daily,2015-07-25,all-access,all-agents,842
en.wikipedia,Animal_Crossing,daily,2015-07-26,all-access,all-agents,903
en.wikipedia,Animal_Crossing,daily,2015-07-27,all-access,all-agents,996
en.wikipedia,Animal_Crossing,daily,2015-07-28,all-access,all-agents,948
en.wikipedia,Animal_Crossing,daily,2015-07-29,all-access,all-agents,970
en.wikipedia,Animal_Crossing,daily,2015-07-30,all-access,all-agents,978
en.wikipedia,Animal_Crossing,daily,2015-07-31,all-access,all-agents,909
en.wikipedia,Animal_Crossing,daily,2015-08-01,all-access,all-agents,884
en.wikipedia,Animal_Crossing,daily,2015-08-02,all-access,all-agents,949
en.wikipedia,Animal_Crossing,daily,2015-08-03,all-access,all-agents,809
en.wikipedia,Animal_Crossing,daily,2015-08-04,all-access,all-agents,907
en.wikipedia,Animal_Crossing,daily,2015-08-05,all-access,all-agents,848
en.wikipedia,Animal_Crossing,daily,2015-08-06,all-access,all-agents,890
en.wikipedia,Animal_Crossing,daily,2015-08-07,all-access,all-agents,822
en.wikipedia,Animal_Crossing,daily,2015-08-08,all-access,all-agents,812
en.wikipedia,Animal_Crossing,daily,2015-08-09,all-access,all-agents,929
en.wikipedia,Animal_Crossing,daily,2015-08-10,all-access,all-agents,804
en.wikipedia,Animal_Crossing,daily,2015-08-11,all-access,all-agents,955
en.wikipedia,Animal_Crossing,daily,2015-08-12,all-access,all-agents,830
en.wikipedia,Animal_Crossing,daily,2015-08-13,all-access,all-agents,903
en.wikipedia,Animal_Crossing,daily,2015-08-14,all-access,all-agents,817
en.wikipedia,Animal_Crossing,daily,2015-08-15,all-access,all-agents,790
en.wikipedia,Animal_Crossing,daily,2015-08-16,all-access,all-agents,818
en.wikipedia,Animal_Crossing,daily,2015-08-17,all-access,all-agents,869
en.wikipedia,Animal_Crossing,daily,2015-08-18,all-access,all-agents,811
en.wikipedia,Animal_Crossing,daily,2015-08-19,all-access,all-agents,766
en.wikipedia,Animal_Crossing,daily,2015-08-20,all-access,all-agents,885
en.wikipedia,Animal_Crossing,daily,2015-08-21,all-access,all-agents,823
en.wikipedia,Animal_Crossing,daily,2015-08-22,all-access,all-agents,795
en.wikipedia,Animal_Crossing,daily,2015-08-23,all-access,all-agents,858
en.wikipedia,Animal_Crossing,daily,2015-08-24,all-access,all-agents,887
en.wikipedia,Animal_Crossing,daily,2015-08-25,all-access,all-agents,755
en.wikipedia,Animal_Crossing,daily,2015-08-26,all-access,all-agents,674
en.wikipedia,Animal_Crossing,daily,2015-08-27,all-access,all-agents,686
en.wikipedia,Animal_Crossing,daily,2015-08-28,all-access,all-agents,714
en.wikipedia,Animal_Crossing,daily,2015-08-29,all-access,all-agents,701
en.wikipedia,Animal_Crossing,daily,2015-08-30,all-access,all-agents,757
en.wikipedia,Animal_Crossing,daily,2015-08-31,all-access,all-agents,828
en.wikipedia,Animal_Crossing,daily,2015-09-01,all-access,all-agents,1005
en.wikipedia,Animal_Crossing,daily,2015-09-02,all-access,all-agents,755
en.wikipedia,Animal_Crossing,daily,2015-09-03,all-access,all-agents,682
en.wikipedia,Animal_Crossing,daily,2015-09-04,all-access,all-agents,685
en.wikipedia,Animal_Crossing,daily,2015-09-05,all-access,all-agents,894
en.wikipedia,Animal_Crossing,daily,2015-09-06,all-access,all-agents,936
