project,article,granularity,timestamp,access,agent,views
en.wikipedia,Bayonetta,daily,2015-07-01,all-access,all-agents,799
en.wikipedia,Bayonetta,daily,2015-07-02,all-access,all-agents,779
en.wikipedia,Bayonetta,daily,2015-07-03,all-access,all-agents,785
en.wikipedia,Bayonetta,daily,2015-07-04,all-access,all-agents,801
en.wikipedia,Bayonetta,daily,2015-07-05,all-access,all-agents,851
en.wikipedia,Bayonetta,daily,2015-07-06,all-access,all-agents,887
en.wikipedia,Bayonetta,daily,2015-07-07,all-access,all-agents,912
en.wikipedia,Bayonetta,daily,2015-07-08,all-access,all-agents,958
en.wikipedia,Bayonetta,daily,2015-07-09,all-access,all-agents,995
en.wikipedia,Bayonetta,daily,2015-07-10,all-access,all-agents,941
en.wikipedia,Bayonetta,daily,2015-07-11,all-access,all-agents,863
en.wikipedia,Bayonetta,daily,2015-07-12,all-access,all-agents,911
en.wikipedia,Bayonetta,daily,2015-07-13,all-access,all-agents,905
en.wikipedia,Bayonetta,daily,2015-07-14,all-access,all-agents,906
en.wikipedia,Bayonetta,daily,2015-07-15,all-access,all-agents,833
en.wikipedia,Bayonetta,daily,2015-07-16,all-access,all-agents,812
en.wikipedia,Bayonetta,daily,2015-07-17,all-access,all-agents,767
en.wikipedia,Bayonetta,daily,2015-07-18,all-access,all-agents,908
en.wikipedia,Bayonetta,daily,2015-07-19,all-access,all-agents,945
en.wikipedia,Bayonetta,daily,2015-07-20,all-access,all-agents,999
en.wikipedia,Bayonetta,daily,2015-07-21,all-access,all-agents,855
en.wikipedia,Bayonetta,daily,2015-07-22,all-access,all-agents,974
en.wikipedia,Bayonetta,daily,2015-07-23,all-access,all-agents,930
en.wikipedia,Bayonetta,daily,2015-07-24,all-access,all-agents,860
en.wikipedia,Bayonetta,daily,2015-07-25,all-access,all-agents,872
en.wikipedia,Bayonetta,daily,2015-07-26,all-access,all-agents,871
en.wikipedia,Bayonetta,daily,2015-07-27,all-access,all-agents,837
en.wikipedia,Bayonetta,daily,2015-07-28,all-access,all-agents,787
en.wikipedia,Bayonetta,daily,2015-07-29,all-access,all-agents,837
en.wikipedia,Bayonetta,daily,2015-07-30,all-access,all-agents,819
en.wikipedia,Bayonetta,daily,2015-07-31,all-access,all-agents,800
en.wikipedia,Bayonetta,daily,2015-08-01,all-access,all-agents,780
