project,article,granularity,timestamp,access,agent,views
en.wikipedia,Bloodborne,daily,2015-07-01,all-access,all-agents,3462
en.wikipedia,Bloodborne,daily,2015-07-02,all-access,all-agents,3822
en.wikipedia,Bloodborne,daily,2015-07-03,all-access,all-agents,3275
en.wikipedia,Bloodborne,daily,2015-07-04,all-access,all-agents,3434
en.wikipedia,Bloodborne,daily,2015-07-05,all-access,all-agents,3548
en.wikipedia,Bloodborne,daily,2015-07-06,all-access,all-agents,3769
en.wikipedia,Bloodborne,daily,2015-07-07,all-access,all-agents,3816
en.wikipedia,Bloodborne,daily,2015-07-08,all-access,all-agents,3678
en.wikipedia,Bloodborne,daily,2015-07-09,all-access,all-agents,3650
en.wikipedia,Bloodborne,daily,2015-07-10,all-access,all-agents,3302
en.wikipedia,Bloodborne,daily,2015-07-11,all-access,all-agents,3298
en.wikipedia,Bloodborne,daily,2015-07-12,all-access,all-agents,3393
en.wikipedia,Bloodborne,daily,2015-07-13,all-access,all-agents,3641
en.wikipedia,Bloodborne,daily,2015-07-14,all-access,all-agents,3358
en.wikipedia,Bloodborne,daily,2015-07-15,all-access,all-agents,3715
en.wikipedia,Bloodborne,daily,2015-07-16,all-access,all-agents,3547
en.wikipedia,Bloodborne,daily,2015-07-17,all-access,all-agents,3455
en.wikipedia,Bloodborne,daily,2015-07-18,all-access,all-agents,4249
en.wikipedia,Bloodborne,daily,2015-07-19,all-access,all-agents,4370
en.wikipedia,Bloodborne,daily,2015-07-20,all-access,all-agents,3880
en.wikipedia,Bloodborne,daily,2015-07-21,all-access,all-agents,3877
en.wikipedia,Bloodborne,daily,2015-07-22,all-access,all-agents,3312
en.wikipedia,Bloodborne,daily,2015-07-23,all-access,all-agents,3140
en.wikipedia,Bloodborne,daily,2015-07-24,all-access,all-agents,3131
en.wikipedia,Bloodborne,daily,2015-07-25,all-access,all-agents,3159
en.wikipedia,Bloodborne,daily,2015-07-26,all-access,all-agents,3344
en.wikipedia,Bloodborne,daily,2015-07-27,all-access,all-agents,3517
