project,article,granularity,timestamp,access,agent,views
en.wikipedia,Dota_2,daily,2015-07-01,all-access,all-agents,2125
en.wikipedia,Dota_2,daily,2015-07-02,all-access,all-agents,2497
en.wikipedia,Dota_2,daily,2015-07-03,all-access,all-agents,2329
en.wikipedia,Dota_2,daily,2015-07-04,all-access,all-agents,2052
en.wikipedia,Dota_2,daily,2015-07-05,all-access,all-agents,2247
en.wikipedia,Dota_2,daily,2015-07-06,all-access,all-agents,2461
en.wikipedia,Dota_2,daily,2015-07-07,all-access,all-agents,2474
en.wikipedia,Dota_2,daily,2015-07-08,all-access,all-agents,2439
en.wikipedia,Dota_2,daily,2015-07-09,all-access,all-agents,2384
en.wikipedia,Dota_2,daily,2015-07-10,all-access,all-agents,2282
en.wikipedia,Dota_2,daily,2015-07-11,all-access,all-agents,2089
en.wikipedia,Dota_2,daily,2015-07-12,all-access,all-agents,1954
en.wikipedia,Dota_2,daily,2015-07-13,all-access,all-agents,2065
en.wikipedia,Dota_2,daily,2015-07-14,all-access,all-agents,1985
en.wikipedia,Dota_2,daily,2015-07-15,all-access,all-agents,1993
en.wikipedia,Dota_2,daily,2015-07-16,all-access,all-agents,2019
en.wikipedia,Dota_2,daily,2015-07-17,all-access,all-agents,2906
en.wikipedia,Dota_2,daily,2015-07-18,all-access,all-agents,1869
en.wikipedia,Dota_2,daily,2015-07-19,all-access,all-agents,2258
en.wikipedia,Dota_2,daily,2015-07-20,all-access,all-agents,2245
en.wikipedia,Dota_2,daily,2015-07-21,all-access,all-agents,2447
en.wikipedia,Dota_2,daily,2015-07-22,all-access,all-agents,2591
en.wikipedia,Dota_2,daily,2015-07-23,all-access,all-agents,2759
en.wikipedia,Dota_2,daily,2015-07-24,all-access,all-agents,2678
en.wikipedia,Dota_2,daily,2015-07-25,all-access,all-agents,2347
en.wikipedia,Dota_2,daily,2015-07-26,all-access,all-agents,2678
en.wikipedia,Dota_2,daily,2015-07-27,all-access,all-agents,3137
en.wikipedia,Dota_2,daily,2015-07-28,all-access,all-agents,3009
en.wikipedia,Dota_2,daily,2015-07-29,all-access,all-agents,3062
en.wikipedia,Dota_2,daily,2015-07-30,all-access,all-agents,2666
en.wikipedia,Dota_2,daily,2015-07-31,all-access,all-agents,2882
en.wikipedia,Dota_2,daily,2015-08-01,all-access,all-agents,3089
en.wikipedia,Dota_2,daily,2015-08-02,all-access,all-agents,2787
en.wikipedia,Dota_2,daily,2015-08-03,all-access,all-agents,5703
en.wikipedia,Dota_2,daily,2015-08-04,all-access,all-agents,10297
en.wikipedia,Dota_2,daily,2015-08-05,all-access,all-agents,8133
en.wikipedia,Dota_2,daily,2015-08-06,all-access,all-agents,7165
en.wikipedia,Dota_2,daily,2015-08-07,all-access,all-agents,10774
en.wikipedia,Dota_2,daily,2015-08-08,all-access,all-agents,11745
en.wikipedia,Dota_2,daily,2015-08-09,all-access,all-agents,25376
en.wikipedia,Dota_2,daily,2015-08-10,all-access,all-agents,15903
en.wikipedia,Dota_2,daily,2015-08-11,all-access,all-agents,8873
en.wikipedia,Dota_2,daily,2015-08-12,all-access,all-agents,5611
en.wikipedia,Dota_2,daily,2015-08-13,all-access,all-agents,5319
en.wikipedia,Dota_2,daily,2015-08-14,all-access,all-agents,4280
en.wikipedia,Dota_2,daily,2015-08-15,all-access,all-agents,3573
en.wikipedia,Dota_2,daily,2015-08-16,all-access,all-agents,3041
en.wikipedia,Dota_2,daily,2015-08-17,all-access,all-agents,3314
en.wikipedia,Dota_2,daily,2015-08-18,all-access,all-agents,3163
en.wikipedia,Dota_2,daily,2015-08-19,all-access,all-agents,2988
en.wikipedia,Dota_2,daily,2015-08-20,all-access,all-agents,3355
en.wikipedia,Dota_2,daily,2015-08-21,all-access,all-agents,3478
en.wikipedia,Dota_2,daily,2015-08-22,all-access,all-agents,2694
en.wikipedia,Dota_2,daily,2015-08-23,all-access,all-agents,2851
en.wikipedia,Dota_2,daily,2015-08-24,all-access,all-agents,3153
en.wikipedia,Dota_2,daily,2015-08-25,all-access,all-agents,2828
en.wikipedia,Dota_2,daily,2015-08-26,all-access,all-agents,2959
en.wikipedia,Dota_2,daily,2015-08-27,all-access,all-agents,2609
en.wikipedia,Dota_2,daily,2015-08-28,all-access,all-agents,2598
en.wikipedia,Dota_2,daily,2015-08-29,all-access,all-agents,2553
en.wikipedia,Dota_2,daily,2015-08-30,all-access,all-agents,2438
en.wikipedia,Dota_2,daily,2015-08-31,all-access,all-agents,2821
en.wikipedia,Dota_2,daily,2015-09-01,all-access,all-agents,2374
en.wikipedia,Dota_2,daily,2015-09-02,all-access,all-agents,2509
en.wikipedia,Dota_2,daily,2015-09-03,all-access,all-agents,2379
en.wikipedia,Dota_2,daily,2015-09-04,all-access,all-agents,2600
en.wikipedia,Dota_2,daily,2015-09-05,all-access,all-agents,2269
en.wikipedia,Dota_2,daily,2015-09-06,all-access,all-agents,2297
en.wikipedia,Dota_2,daily,2015-09-07,all-access,all-agents,2522
en.wikipedia,Dota_2,daily,2015-09-08,all-access,all-agents,2546
en.wikipedia,Dota_2,daily,2015-09-09,all-access,all-agents,2812
en.wikipedia,Dota_2,daily,2015-09-10,all-access,all-agents,2752
en.wikipedia,Dota_2,daily,2015-09-11,all-access,all-agents,2677
en.wikipedia,Dota_2,daily,2015-09-12,all-access,all-agents,2322
en.wikipedia,Dota_2,daily,2015-09-13,all-access,all-agents,2353
en.wikipedia,Dota_2,daily,2015-09-14,all-access,all-agents,2781
en.wikipedia,Dota_2,daily,2015-09-15,all-access,all-agents,2430
en.wikipedia,Dota_2,daily,2015-09-16,all-access,all-agents,2252
en.wikipedia,Dota_2,daily,2015-09-17,all-access,all-agents,2260
en.wikipedia,Dota_2,daily,2015-09-18,all-access,all-agents,2151
en.wikipedia,Dota_2,daily,2015-09-19,all-access,all-agents,1984
en.wikipedia,Dota_2,daily,2015-09-20,all-access,all-agents,2077
en.wikipedia,Dota_2,daily,2015-09-21,all-access,all-agents,2255
en.wikipedia,Dota_2,daily,2015-09-22,all-access,all-agents,2386
en.wikipedia,Dota_2,daily,2015-09-23,all-access,all-agents,2571
en.wikipedia,Dota_2,daily,2015-09-24,all-access,all-agents,3032
en.wikipedia,Dota_2,daily,2015-09-25,all-access,all-agents,3205
en.wikipedia,Dota_2,daily,2015-09-26,all-access,all-agents,2163
en.wikipedia,Dota_2,daily,2015-09-27,all-access,all-agents,2195
en.wikipedia,Dota_2,daily,2015-09-28,all-access,all-agents,2660
en.wikipedia,Dota_2,daily,2015-09-29,all-access,all-agents,2305
en.wikipedia,Dota_2,daily,2015-09-30,all-access,all-agents,2816
en.wikipedia,Dota_2,daily,2015-10-01,all-access,all-agents,3004
en.wikipedia,Dota_2,daily,2015-10-02,all-access,all-agents,2273
en.wikipedia,Dota_2,daily,2015-10-03,all-access,all-agents,2156
en.wikipedia,Dota_2,daily,2015-10-04,all-access,all-agents,2324
en.wikipedia,Dota_2,daily,2015-10-05,all-access,all-agents,2641
en.wikipedia,Dota_2,daily,2015-10-06,all-access,all-agents,2695
en.wikipedia,Dota_2,daily,2015-10-07,all-access,all-agents,2335
en.wikipedia,Dota_2,daily,2015-10-08,all-access,all-agents,2338
en.wikipedia,Dota_2,daily,2015-10-09,all-access,all-agents,2754
en.wikipedia,Dota_2,daily,2015-10-10,all-access,all-agents,5781
en.wikipedia,Dota_2,daily,2015-10-11,all-access,all-agents,5054
en.wikipedia,Dota_2,daily,2015-10-12,all-access,all-agents,3416
en.wikipedia,Dota_2,daily,2015-10-13,all-access,all-agents,3135
en.wikipedia,Dota_2,daily,2015-10-14,all-access,all-agents,3718
en.wikipedia,Dota_2,daily,2015-10-15,all-access,all-agents,2574
en.wikipedia,Dota_2,daily,2015-10-16,all-access,all-agents,2670
en.wikipedia,Dota_2,daily,2015-10-17,all-access,all-agents,2468
en.wikipedia,Dota_2,daily,2015-10-18,all-access,all-agents,2440
en.wikipedia,Dota_2,daily,2015-10-19,all-access,all-agents,2734
en.wikipedia,Dota_2,daily,2015-10-20,all-access,all-agents,2531
en.wikipedia,Dota_2,daily,2015-10-21,all-access,all-agents,2603
en.wikipedia,Dota_2,daily,2015-10-22,all-access,all-agents,2573
en.wikipedia,Dota_2,daily,2015-10-23,all-access,all-agents,2893
en.wikipedia,Dota_2,daily,2015-10-24,all-access,all-agents,2500
en.wikipedia,Dota_2,daily,2015-10-25,all-access,all-agents,2721
en.wikipedia,Dota_2,daily,2015-10-26,all-access,all-agents,3524
en.wikipedia,Dota_2,daily,2015-10-27,all-access,all-agents,2909
en.wikipedia,Dota_2,daily,2015-10-28,all-access,all-agents,5286
en.wikipedia,Dota_2,daily,2015-10-29,all-access,all-agents,2699
en.wikipedia,Dota_2,daily,2015-10-30,all-access,all-agents,2657
en.wikipedia,Dota_2,daily,2015-10-31,all-access,all-agents,2319
en.wikipedia,Dota_2,daily,2015-11-01,all-access,all-agents,2410
en.wikipedia,Dota_2,daily,2015-11-02,all-access,all-agents,2915
en.wikipedia,Dota_2,daily,2015-11-03,all-access,all-agents,3102
en.wikipedia,Dota_2,daily,2015-11-04,all-access,all-agents,2828
en.wikipedia,Dota_2,daily,2015-11-05,all-access,all-agents,2624
en.wikipedia,Dota_2,daily,2015-11-06,all-access,all-agents,2600
