project,article,granularity,timestamp,access,agent,views
en.wikipedia,Final_Fantasy_X,daily,2015-07-01,all-access,all-agents,1307
en.wikipedia,Final_Fantasy_X,daily,2015-07-02,all-access,all-agents,1214
en.wikipedia,Final_Fantasy_X,daily,2015-07-03,all-access,all-agents,1165
en.wikipedia,Final_Fantasy_X,daily,2015-07-04,all-access,all-agents,1210
en.wikipedia,Final_Fantasy_X,daily,2015-07-05,all-access,all-agents,1276
en.wikipedia,Final_Fantasy_X,daily,2015-07-06,all-access,all-agents,1374
en.wikipedia,Final_Fantasy_X,daily,2015-07-07,all-access,all-agents,1457
en.wikipedia,Final_Fantasy_X,daily,2015-07-08,all-access,all-agents,1415
en.wikipedia,Final_Fantasy_X,daily,2015-07-09,all-access,all-agents,1236
en.wikipedia,Final_Fantasy_X,daily,2015-07-10,all-access,all-agents,1215
en.wikipedia,Final_Fantasy_X,daily,2015-07-11,all-access,all-agents,1143
en.wikipedia,Final_Fantasy_X,daily,2015-07-12,all-access,all-agents,1237
en.wikipedia,Final_Fantasy_X,daily,2015-07-13,all-access,all-agents,1568
en.wikipedia,Final_Fantasy_X,daily,2015-07-14,all-access,all-agents,1275
en.wikipedia,Final_Fantasy_X,daily,2015-07-15,all-access,all-agents,1254
en.wikipedia,Final_Fantasy_X,daily,2015-07-16,all-access,all-agents,1271
en.wikipedia,Final_Fantasy_X,daily,2015-07-17,all-access,all-agents,1195
en.wikipedia,Final_Fantasy_X,daily,2015-07-18,all-access,all-agents,1150
en.wikipedia,Final_Fantasy_X,daily,2015-07-19,all-access,all-agents,1368
en.wikipedia,Final_Fantasy_X,daily,2015-07-20,all-access,all-agents,1475
en.wikipedia,Final_Fantasy_X,daily,2015-07-21,all-access,all-agents,1363
en.wikipedia,Final_Fantasy_X,daily,2015-07-22,all-access,all-agents,1268
en.wikipedia,Final_Fantasy_X,daily,2015-07-23,all-access,all-agents,1377
en.wikipedia,Final_Fantasy_X,daily,2015-07-24,all-access,all-agents,1114
en.wikipedia,Final_Fantasy_X,daily,2015-07-25,all-access,all-agents,1153
en.wikipedia,Final_Fantasy_X,daily,2015-07-26,all-access,all-agents,1263
en.wikipedia,Final_Fantasy_X,daily,2015-07-27,all-access,all-agents,1359
en.wikipedia,Final_Fantasy_X,daily,2015-07-28,all-access,all-agents,1372
en.wikipedia,Final_Fantasy_X,daily,2015-07-29,all-access,all-agents,1253
en.wikipedia,Final_Fantasy_X,daily,2015-07-30,all-access,all-agents,1177
en.wikipedia,Final_Fantasy_X,daily,2015-07-31,all-access,all-agents,1119
en.wikipedia,Final_Fantasy_X,daily,2015-08-01,all-access,all-agents,1116
en.wikipedia,Final_Fantasy_X,daily,2015-08-02,all-access,all-agents,1560
en.wikipedia,Final_Fantasy_X,daily,2015-08-03,all-access,all-agents,1294
en.wikipedia,Final_Fantasy_X,daily,2015-08-04,all-access,all-agents,1257
en.wikipedia,Final_Fantasy_X,daily,2015-08-05,all-access,all-agents,1249
en.wikipedia,Final_Fantasy_X,daily,2015-08-06,all-access,all-agents,1344
en.wikipedia,Final_Fantasy_X,daily,2015-08-07,all-access,all-agents,1174
en.wikipedia,Final_Fantasy_X,daily,2015-08-08,all-access,all-agents,1128
en.wikipedia,Final_Fantasy_X,daily,2015-08-09,all-access,all-agents,1173
en.wikipedia,Final_Fantasy_X,daily,2015-08-10,all-access,all-agents,1227
en.wikipedia,Final_Fantasy_X,daily,2015-08-11,all-access,all-agents,1539
en.wikipedia,Final_Fantasy_X,daily,2015-08-12,all-access,all-agents,1213
en.wikipedia,Final_Fantasy_X,daily,2015-08-13,all-access,all-agents,1247
en.wikipedia,Final_Fantasy_X,daily,2015-08-14,all-access,all-agents,1281
en.wikipedia,Final_Fantasy_X,daily,2015-08-15,all-access,all-agents,1252
en.wikipedia,Final_Fantasy_X,daily,2015-08-16,all-access,all-agents,1279
en.wikipedia,Final_Fantasy_X,daily,2015-08-17,all-access,all-agents,1238
en.wikipedia,Final_Fantasy_X,daily,2015-08-18,all-access,all-agents,1244
en.wikipedia,Final_Fantasy_X,daily,2015-08-19,all-access,all-agents,1224
en.wikipedia,Final_Fantasy_X,daily,2015-08-20,all-access,all-agents,1196
en.wikipedia,Final_Fantasy_X,daily,2015-08-21,all-access,all-agents,1140
en.wikipedia,Final_Fantasy_X,daily,2015-08-22,all-access,all-agents,1248
en.wikipedia,Final_Fantasy_X,daily,2015-08-23,all-access,all-agents,1181
en.wikipedia,Final_Fantasy_X,daily,2015-08-24,all-access,all-agents,1138
en.wikipedia,Final_Fantasy_X,daily,2015-08-25,all-access,all-agents,1128
en.wikipedia,Final_Fantasy_X,daily,2015-08-26,all-access,all-agents,1013
en.wikipedia,Final_Fantasy_X,daily,2015-08-27,all-access,all-agents,1038
en.wikipedia,Final_Fantasy_X,daily,2015-08-28,all-access,all-agents,941
en.wikipedia,Final_Fantasy_X,daily,2015-08-29,all-access,all-agents,965
