project,article,granularity,timestamp,access,agent,views
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-01,all-access,all-agents,2184
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-02,all-access,all-agents,2249
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-03,all-access,all-agents,2197
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-04,all-access,all-agents,2283
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-05,all-access,all-agents,2477
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-06,all-access,all-agents,2837
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-07,all-access,all-agents,2332
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-08,all-access,all-agents,2431
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-09,all-access,all-agents,2301
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-10,all-access,all-agents,2160
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-11,all-access,all-agents,2334
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-12,all-access,all-agents,2441
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-13,all-access,all-agents,2200
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-14,all-access,all-agents,2342
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-15,all-access,all-agents,2273
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-16,all-access,all-agents,2096
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-17,all-access,all-agents,2051
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-18,all-access,all-agents,2179
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-19,all-access,all-agents,2293
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-20,all-access,all-agents,2429
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-21,all-access,all-agents,2185
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-22,all-access,all-agents,2282
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-23,all-access,all-agents,2161
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-24,all-access,all-agents,2189
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-25,all-access,all-agents,2134
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-26,all-access,all-agents,2396
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-27,all-access,all-agents,2234
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-28,all-access,all-agents,2361
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-29,all-access,all-agents,2316
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-30,all-access,all-agents,2108
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-07-31,all-access,all-agents,2041
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-01,all-access,all-agents,2168
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-02,all-access,all-agents,2173
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-03,all-access,all-agents,1937
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-04,all-access,all-agents,2205
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-05,all-access,all-agents,2124
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-06,all-access,all-agents,2032
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-07,all-access,all-agents,2057
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-08,all-access,all-agents,2260
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-09,all-access,all-agents,2270
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-10,all-access,all-agents,2166
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-11,all-access,all-agents,2256
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-12,all-access,all-agents,2157
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-13,all-access,all-agents,2251
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-14,all-access,all-agents,2228
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-15,all-access,all-agents,2285
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-16,all-access,all-agents,2363
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-17,all-access,all-agents,2351
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-18,all-access,all-agents,2221
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-19,all-access,all-agents,2369
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-20,all-access,all-agents,2498
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-21,all-access,all-agents,2222
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-22,all-access,all-agents,2421
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-23,all-access,all-agents,2545
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-24,all-access,all-agents,2262
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-25,all-access,all-agents,2178
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-26,all-access,all-agents,2115
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-27,all-access,all-agents,2099
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-28,all-access,all-agents,2015
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-29,all-access,all-agents,2179
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-30,all-access,all-agents,2367
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-08-31,all-access,all-agents,2096
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-01,all-access,all-agents,2036
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-02,all-access,all-agents,2012
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-03,all-access,all-agents,1944
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-04,all-access,all-agents,2165
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-05,all-access,all-agents,2455
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-06,all-access,all-agents,2537
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-07,all-access,all-agents,2291
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-08,all-access,all-agents,2046
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-09,all-access,all-agents,1883
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-10,all-access,all-agents,2129
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-11,all-access,all-agents,2092
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-12,all-access,all-agents,2258
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-13,all-access,all-agents,2378
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-14,all-access,all-agents,2025
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-15,all-access,all-agents,3399
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-16,all-access,all-agents,3034
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-17,all-access,all-agents,6768
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-18,all-access,all-agents,2645
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-19,all-access,all-agents,2653
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-20,all-access,all-agents,2804
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-21,all-access,all-agents,2260
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-22,all-access,all-agents,2243
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-23,all-access,all-agents,2090
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-24,all-access,all-agents,2024
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-25,all-access,all-agents,2188
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-26,all-access,all-agents,2298
en.wikipedia,Grand_Theft_Auto_IV,daily,2015-09-27,all-access,all-agents,2477
