project,article,granularity,timestamp,access,agent,views
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-01,all-access,all-agents,7193
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-02,all-access,all-agents,7136
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-03,all-access,all-agents,7133
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-04,all-access,all-agents,7303
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-05,all-access,all-agents,8284
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-06,all-access,all-agents,7983
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-07,all-access,all-agents,7651
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-08,all-access,all-agents,8376
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-09,all-access,all-agents,7648
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-10,all-access,all-agents,7174
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-11,all-access,all-agents,7309
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-12,all-access,all-agents,7934
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-13,all-access,all-agents,7753
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-14,all-access,all-agents,7193
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-15,all-access,all-agents,7289
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-16,all-access,all-agents,7224
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-17,all-access,all-agents,7259
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-18,all-access,all-agents,7228
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-19,all-access,all-agents,7603
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-20,all-access,all-agents,7500
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-21,all-access,all-agents,7627
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-22,all-access,all-agents,7515
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-23,all-access,all-agents,7568
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-24,all-access,all-agents,7057
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-25,all-access,all-agents,7289
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-26,all-access,all-agents,7836
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-27,all-access,all-agents,7727
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-28,all-access,all-agents,7858
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-29,all-access,all-agents,7547
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-30,all-access,all-agents,7376
en.wikipedia,Grand_Theft_Auto_V,daily,2015-07-31,all-access,all-agents,6902
en.wikipedia,Grand_Theft_Auto_V,daily,2015-08-01,all-access,all-agents,7020
en.wikipedia,Grand_Theft_Auto_V,daily,2015-08-02,all-access,all-agents,7319
en.wikipedia,Grand_Theft_Auto_V,daily,2015-08-03,all-access,all-agents,6975
