project,article,granularity,timestamp,access,agent,views
en.wikipedia,Ico,daily,2015-07-01,all-access,all-agents,892
en.wikipedia,Ico,daily,2015-07-02,all-access,all-agents,1043
en.wikipedia,Ico,daily,2015-07-03,all-access,all-agents,884
en.wikipedia,Ico,daily,2015-07-04,all-access,all-agents,955
en.wikipedia,Ico,daily,2015-07-05,all-access,all-agents,921
en.wikipedia,Ico,daily,2015-07-06,all-access,all-agents,1072
en.wikipedia,Ico,daily,2015-07-07,all-access,all-agents,1203
en.wikipedia,Ico,daily,2015-07-08,all-access,all-agents,971
en.wikipedia,Ico,daily,2015-07-09,all-access,all-agents,880
en.wikipedia,Ico,daily,2015-07-10,all-access,all-agents,834
en.wikipedia,Ico,daily,2015-07-11,all-access,all-agents,798
en.wikipedia,Ico,daily,2015-07-12,all-access,all-agents,828
en.wikipedia,Ico,daily,2015-07-13,all-access,all-agents,837
en.wikipedia,Ico,daily,2015-07-14,all-access,all-agents,851
en.wikipedia,Ico,daily,2015-07-15,all-access,all-agents,906
en.wikipedia,Ico,daily,2015-07-16,all-access,all-agents,970
en.wikipedia,Ico,daily,2015-07-17,all-access,all-agents,743
en.wikipedia,Ico,daily,2015-07-18,all-access,all-agents,835
en.wikipedia,Ico,daily,2015-07-19,all-access,all-agents,908
en.wikipedia,Ico,daily,2015-07-20,all-access,all-agents,907
en.wikipedia,Ico,daily,2015-07-21,all-access,all-agents,891
en.wikipedia,Ico,daily,2015-07-22,all-access,all-agents,1241
en.wikipedia,Ico,daily,2015-07-23,all-access,all-agents,906
en.wikipedia,Ico,daily,2015-07-24,all-access,all-agents,915
en.wikipedia,Ico,daily,2015-07-25,all-access,all-agents,1587
en.wikipedia,Ico,daily,2015-07-26,all-access,all-agents,947
en.wikipedia,Ico,daily,2015-07-27,all-access,all-agents,882
en.wikipedia,Ico,daily,2015-07-28,all-access,all-agents,1004
en.wikipedia,Ico,daily,2015-07-29,all-access,all-agents,795
en.wikipedia,Ico,daily,2015-07-30,all-access,all-agents,847
en.wikipedia,Ico,daily,2015-07-31,all-access,all-agents,725
en.wikipedia,Ico,daily,2015-08-01,all-access,all-agents,1297
en.wikipedia,Ico,daily,2015-08-02,all-access,all-agents,891
en.wikipedia,Ico,daily,2015-08-03,all-access,all-agents,790
en.wikipedia,Ico,daily,2015-08-04,all-access,all-agents,805
en.wikipedia,Ico,daily,2015-08-05,all-access,all-agents,799
en.wikipedia,Ico,daily,2015-08-06,all-access,all-agents,734
en.wikipedia,Ico,daily,2015-08-07,all-access,all-agents,934
en.wikipedia,Ico,daily,2015-08-08,all-access,all-agents,1125
en.wikipedia,Ico,daily,2015-08-09,all-access,all-agents,1065
en.wikipedia,Ico,daily,2015-08-10,all-access,all-agents,855
en.wikipedia,Ico,daily,2015-08-11,all-access,all-agents,834
en.wikipedia,Ico,daily,2015-08-12,all-access,all-agents,997
en.wikipedia,Ico,daily,2015-08-13,all-access,all-agents,995
en.wikipedia,Ico,daily,2015-08-14,all-access,all-agents,826
en.wikipedia,Ico,daily,2015-08-15,all-access,all-agents,734
en.wikipedia,Ico,daily,2015-08-16,all-access,all-agents,858
en.wikipedia,Ico,daily,2015-08-17,all-access,all-agents,996
en.wikipedia,Ico,daily,2015-08-18,all-access,all-agents,905
en.wikipedia,Ico,daily,2015-08-19,all-access,all-agents,861
en.wikipedia,Ico,daily,2015-08-20,all-access,all-agents,848
en.wikipedia,Ico,daily,2015-08-21,all-access,all-agents,849
en.wikipedia,Ico,daily,2015-08-22,all-access,all-agents,903
en.wikipedia,Ico,daily,2015-08-23,all-access,all-agents,745
en.wikipedia,Ico,daily,2015-08-24,all-access,all-agents,790
en.wikipedia,Ico,daily,2015-08-25,all-access,all-agents,727
en.wikipedia,Ico,daily,2015-08-26,all-access,all-agents,751
en.wikipedia,Ico,daily,2015-08-27,all-access,all-agents,679
en.wikipedia,Ico,daily,2015-08-28,all-access,all-agents,644
en.wikipedia,Ico,daily,2015-08-29,all-access,all-agents,674
en.wikipedia,Ico,daily,2015-08-30,all-access,all-agents,926
en.wikipedia,Ico,daily,2015-08-31,all-access,all-agents,714
en.wikipedia,Ico,daily,2015-09-01,all-access,all-agents,708
en.wikipedia,Ico,daily,2015-09-02,all-access,all-agents,621
en.wikipedia,Ico,daily,2015-09-03,all-access,all-agents,697
en.wikipedia,Ico,daily,2015-09-04,all-access,all-agents,675
en.wikipedia,Ico,daily,2015-09-05,all-access,all-agents,889
en.wikipedia,Ico,daily,2015-09-06,all-access,all-agents,724
en.wikipedia,Ico,daily,2015-09-07,all-access,all-agents,800
en.wikipedia,Ico,daily,2015-09-08,all-access,all-agents,729
en.wikipedia,Ico,daily,2015-09-09,all-access,all-agents,668
en.wikipedia,Ico,daily,2015-09-10,all-access,all-agents,1443
en.wikipedia,Ico,daily,2015-09-11,all-access,all-agents,2311
en.wikipedia,Ico,daily,2015-09-12,all-access,all-agents,1166
en.wikipedia,Ico,daily,2015-09-13,all-access,all-agents,973
en.wikipedia,Ico,daily,2015-09-14,all-access,all-agents,852
en.wikipedia,Ico,daily,2015-09-15,all-access,all-agents,801
