project,article,granularity,timestamp,access,agent,views
en.wikipedia,Kingdom_Hearts,daily,2015-07-01,all-access,all-agents,2862
en.wikipedia,Kingdom_Hearts,daily,2015-07-02,all-access,all-agents,2715
en.wikipedia,Kingdom_Hearts,daily,2015-07-03,all-access,all-agents,2623
en.wikipedia,Kingdom_Hearts,daily,2015-07-04,all-access,all-agents,2824
en.wikipedia,Kingdom_Hearts,daily,2015-07-05,all-access,all-agents,2856
en.wikipedia,Kingdom_Hearts,daily,2015-07-06,all-access,all-agents,3105
en.wikipedia,Kingdom_Hearts,daily,2015-07-07,all-access,all-agents,2950
en.wikipedia,Kingdom_Hearts,daily,2015-07-08,all-access,all-agents,3073
en.wikipedia,Kingdom_Hearts,daily,2015-07-09,all-access,all-agents,2984
en.wikipedia,Kingdom_Hearts,daily,2015-07-10,all-access,all-agents,2794
en.wikipedia,Kingdom_Hearts,daily,2015-07-11,all-access,all-agents,2516
en.wikipedia,Kingdom_Hearts,daily,2015-07-12,all-access,all-agents,2655
en.wikipedia,Kingdom_Hearts,daily,2015-07-13,all-access,all-agents,3081
en.wikipedia,Kingdom_Hearts,daily,2015-07-14,all-access,all-agents,2687
en.wikipedia,Kingdom_Hearts,daily,2015-07-15,all-access,all-agents,2621
en.wikipedia,Kingdom_Hearts,daily,2015-07-16,all-access,all-agents,2574
en.wikipedia,Kingdom_Hearts,daily,2015-07-17,all-access,all-agents,2512
en.wikipedia,Kingdom_Hearts,daily,2015-07-18,all-access,all-agents,2337
en.wikipedia,Kingdom_Hearts,daily,2015-07-19,all-access,all-agents,2560
en.wikipedia,Kingdom_Hearts,daily,2015-07-20,all-access,all-agents,2707
en.wikipedia,Kingdom_Hearts,daily,2015-07-21,all-access,all-agents,2614
en.wikipedia,Kingdom_Hearts,daily,2015-07-22,all-access,all-agents,2532
en.wikipedia,Kingdom_Hearts,daily,2015-07-23,all-access,all-agents,2416
en.wikipedia,Kingdom_Hearts,daily,2015-07-24,all-access,all-agents,2543
en.wikipedia,Kingdom_Hearts,daily,2015-07-25,all-access,all-agents,2409
en.wikipedia,Kingdom_Hearts,daily,2015-07-26,all-access,all-agents,2672
en.wikipedia,Kingdom_Hearts,daily,2015-07-27,all-access,all-agents,2719
en.wikipedia,Kingdom_Hearts,daily,2015-07-28,all-access,all-agents,2723
en.wikipedia,Kingdom_Hearts,daily,2015-07-29,all-access,all-agents,2964
en.wikipedia,Kingdom_Hearts,daily,2015-07-30,all-access,all-agents,2486
en.wikipedia,Kingdom_Hearts,daily,2015-07-31,all-access,all-agents,2373
en.wikipedia,Kingdom_Hearts,daily,2015-08-01,all-access,all-agents,2448
en.wikipedia,Kingdom_Hearts,daily,2015-08-02,all-access,all-agents,2545
en.wikipedia,Kingdom_Hearts,daily,2015-08-03,all-access,all-agents,2249
en.wikipedia,Kingdom_Hearts,daily,2015-08-04,all-access,all-agents,2529
en.wikipedia,Kingdom_Hearts,daily,2015-08-05,all-access,all-agents,2560
en.wikipedia,Kingdom_Hearts,daily,2015-08-06,all-access,all-agents,2449
