project,article,granularity,timestamp,access,agent,views
en.wikipedia,League_of_Legends,daily,2015-07-01,all-access,all-agents,3487
en.wikipedia,League_of_Legends,daily,2015-07-02,all-access,all-agents,3305
en.wikipedia,League_of_Legends,daily,2015-07-03,all-access,all-agents,2963
en.wikipedia,League_of_Legends,daily,2015-07-04,all-access,all-agents,2907
en.wikipedia,League_of_Legends,daily,2015-07-05,all-access,all-agents,3177
en.wikipedia,League_of_Legends,daily,2015-07-06,all-access,all-agents,3557
en.wikipedia,League_of_Legends,daily,2015-07-07,all-access,all-agents,3540
en.wikipedia,League_of_Legends,daily,2015-07-08,all-access,all-agents,3862
en.wikipedia,League_of_Legends,daily,2015-07-09,all-access,all-agents,3514
en.wikipedia,League_of_Legends,daily,2015-07-10,all-access,all-agents,3279
en.wikipedia,League_of_Legends,daily,2015-07-11,all-access,all-agents,2921
en.wikipedia,League_of_Legends,daily,2015-07-12,all-access,all-agents,2971
en.wikipedia,League_of_Legends,daily,2015-07-13,all-access,all-agents,3398
en.wikipedia,League_of_Legends,daily,2015-07-14,all-access,all-agents,3390
en.wikipedia,League_of_Legends,daily,2015-07-15,all-access,all-agents,3336
en.wikipedia,League_of_Legends,daily,2015-07-16,all-access,all-agents,3492
en.wikipedia,League_of_Legends,daily,2015-07-17,all-access,all-agents,3196
en.wikipedia,League_of_Legends,daily,2015-07-18,all-access,all-agents,3227
en.wikipedia,League_of_Legends,daily,2015-07-19,all-access,all-agents,3165
en.wikipedia,League_of_Legends,daily,2015-07-20,all-access,all-agents,3642
en.wikipedia,League_of_Legends,daily,2015-07-21,all-access,all-agents,3568
en.wikipedia,League_of_Legends,daily,2015-07-22,all-access,all-agents,4672
en.wikipedia,League_of_Legends,daily,2015-07-23,all-access,all-agents,4304
en.wikipedia,League_of_Legends,daily,2015-07-24,all-access,all-agents,3594
en.wikipedia,League_of_Legends,daily,2015-07-25,all-access,all-agents,3246
en.wikipedia,League_of_Legends,daily,2015-07-26,all-access,all-agents,3306
en.wikipedia,League_of_Legends,daily,2015-07-27,all-access,all-agents,3762
en.wikipedia,League_of_Legends,daily,2015-07-28,all-access,all-agents,3789
en.wikipedia,League_of_Legends,daily,2015-07-29,all-access,all-agents,3684
en.wikipedia,League_of_Legends,daily,2015-07-30,all-access,all-agents,3591
en.wikipedia,League_of_Legends,daily,2015-07-31,all-access,all-agents,3274
en.wikipedia,League_of_Legends,daily,2015-08-01,all-access,all-agents,2882
en.wikipedia,League_of_Legends,daily,2015-08-02,all-access,all-agents,2957
en.wikipedia,League_of_Legends,daily,2015-08-03,all-access,all-agents,3194
en.wikipedia,League_of_Legends,daily,2015-08-04,all-access,all-agents,4100
en.wikipedia,League_of_Legends,daily,2015-08-05,all-access,all-agents,3701
en.wikipedia,League_of_Legends,daily,2015-08-06,all-access,all-agents,3930
en.wikipedia,League_of_Legends,daily,2015-08-07,all-access,all-agents,3873
en.wikipedia,League_of_Legends,daily,2015-08-08,all-access,all-agents,4114
en.wikipedia,League_of_Legends,daily,2015-08-09,all-access,all-agents,4572
en.wikipedia,League_of_Legends,daily,2015-08-10,all-access,all-agents,4110
en.wikipedia,League_of_Legends,daily,2015-08-11,all-access,all-agents,4051
en.wikipedia,League_of_Legends,daily,2015-08-12,all-access,all-agents,3936
en.wikipedia,League_of_Legends,daily,2015-08-13,all-access,all-agents,3672
en.wikipedia,League_of_Legends,daily,2015-08-14,all-access,all-agents,3511
en.wikipedia,League_of_Legends,daily,2015-08-15,all-access,all-agents,3489
en.wikipedia,League_of_Legends,daily,2015-08-16,all-access,all-agents,3437
en.wikipedia,League_of_Legends,daily,2015-08-17,all-access,all-agents,3744
en.wikipedia,League_of_Legends,daily,2015-08-18,all-access,all-agents,3662
en.wikipedia,League_of_Legends,daily,2015-08-19,all-access,all-agents,3620
en.wikipedia,League_of_Legends,daily,2015-08-20,all-access,all-agents,3757
en.wikipedia,League_of_Legends,daily,2015-08-21,all-access,all-agents,3580
en.wikipedia,League_of_Legends,daily,2015-08-22,all-access,all-agents,3571
en.wikipedia,League_of_Legends,daily,2015-08-23,all-access,all-agents,5314
en.wikipedia,League_of_Legends,daily,2015-08-24,all-access,all-agents,5500
en.wikipedia,League_of_Legends,daily,2015-08-25,all-access,all-agents,5161
en.wikipedia,League_of_Legends,daily,2015-08-26,all-access,all-agents,4485
en.wikipedia,League_of_Legends,daily,2015-08-27,all-access,all-agents,4194
en.wikipedia,League_of_Legends,daily,2015-08-28,all-access,all-agents,3893
en.wikipedia,League_of_Legends,daily,2015-08-29,all-access,all-agents,3973
en.wikipedia,League_of_Legends,daily,2015-08-30,all-access,all-agents,3727
en.wikipedia,League_of_Legends,daily,2015-08-31,all-access,all-agents,4120
en.wikipedia,League_of_Legends,daily,2015-09-01,all-access,all-agents,3584
en.wikipedia,League_of_Legends,daily,2015-09-02,all-access,all-agents,3548
en.wikipedia,League_of_Legends,daily,2015-09-03,all-access,all-agents,3477
en.wikipedia,League_of_Legends,daily,2015-09-04,all-access,all-agents,3319
en.wikipedia,League_of_Legends,daily,2015-09-05,all-access,all-agents,3171
en.wikipedia,League_of_Legends,daily,2015-09-06,all-access,all-agents,3499
en.wikipedia,League_of_Legends,daily,2015-09-07,all-access,all-agents,3633
en.wikipedia,League_of_Legends,daily,2015-09-08,all-access,all-agents,3617
en.wikipedia,League_of_Legends,daily,2015-09-09,all-access,all-agents,3598
en.wikipedia,League_of_Legends,daily,2015-09-10,all-access,all-agents,3594
en.wikipedia,League_of_Legends,daily,2015-09-11,all-access,all-agents,3625
en.wikipedia,League_of_Legends,daily,2015-09-12,all-access,all-agents,3310
en.wikipedia,League_of_Legends,daily,2015-09-13,all-access,all-agents,3606
en.wikipedia,League_of_Legends,daily,2015-09-14,all-access,all-agents,4089
en.wikipedia,League_of_Legends,daily,2015-09-15,all-access,all-agents,3783
en.wikipedia,League_of_Legends,daily,2015-09-16,all-access,all-agents,3813
en.wikipedia,League_of_Legends,daily,2015-09-17,all-access,all-agents,3929
en.wikipedia,League_of_Legends,daily,2015-09-18,all-access,all-agents,3478
en.wikipedia,League_of_Legends,daily,2015-09-19,all-access,all-agents,3244
en.wikipedia,League_of_Legends,daily,2015-09-20,all-access,all-agents,3440
en.wikipedia,League_of_Legends,daily,2015-09-21,all-access,all-agents,7911
en.wikipedia,League_of_Legends,daily,2015-09-22,all-access,all-agents,19771
en.wikipedia,League_of_Legends,daily,2015-09-23,all-access,all-agents,18346
en.wikipedia,League_of_Legends,daily,2015-09-24,all-access,all-agents,8655
en.wikipedia,League_of_Legends,daily,2015-09-25,all-access,all-agents,6025
en.wikipedia,League_of_Legends,daily,2015-09-26,all-access,all-agents,4195
en.wikipedia,League_of_Legends,daily,2015-09-27,all-access,all-agents,4075
en.wikipedia,League_of_Legends,daily,2015-09-28,all-access,all-agents,4495
en.wikipedia,League_of_Legends,daily,2015-09-29,all-access,all-agents,4586
en.wikipedia,League_of_Legends,daily,2015-09-30,all-access,all-agents,4696
en.wikipedia,League_of_Legends,daily,2015-10-01,all-access,all-agents,6215
en.wikipedia,League_of_Legends,daily,2015-10-02,all-access,all-agents,5590
en.wikipedia,League_of_Legends,daily,2015-10-03,all-access,all-agents,4590
en.wikipedia,League_of_Legends,daily,2015-10-04,all-access,all-agents,4665
en.wikipedia,League_of_Legends,daily,2015-10-05,all-access,all-agents,4785
en.wikipedia,League_of_Legends,daily,2015-10-06,all-access,all-agents,4919
en.wikipedia,League_of_Legends,daily,2015-10-07,all-access,all-agents,4623
en.wikipedia,League_of_Legends,daily,2015-10-08,all-access,all-agents,5367
en.wikipedia,League_of_Legends,daily,2015-10-09,all-access,all-agents,5026
en.wikipedia,League_of_Legends,daily,2015-10-10,all-access,all-agents,4661
