project,article,granularity,timestamp,access,agent,views
en.wikipedia,Left_4_Dead,daily,2015-07-01,all-access,all-agents,754
en.wikipedia,Left_4_Dead,daily,2015-07-02,all-access,all-agents,825
en.wikipedia,Left_4_Dead,daily,2015-07-03,all-access,all-agents,765
en.wikipedia,Left_4_Dead,daily,2015-07-04,all-access,all-agents,787
en.wikipedia,Left_4_Dead,daily,2015-07-05,all-access,all-agents,793
en.wikipedia,Left_4_Dead,daily,2015-07-06,all-access,all-agents,824
en.wikipedia,Left_4_Dead,daily,2015-07-07,all-access,all-agents,815
en.wikipedia,Left_4_Dead,daily,2015-07-08,all-access,all-agents,823
en.wikipedia,Left_4_Dead,daily,2015-07-09,all-access,all-agents,807
en.wikipedia,Left_4_Dead,daily,2015-07-10,all-access,all-agents,788
en.wikipedia,Left_4_Dead,daily,2015-07-11,all-access,all-agents,821
en.wikipedia,Left_4_Dead,daily,2015-07-12,all-access,all-agents,767
en.wikipedia,Left_4_Dead,daily,2015-07-13,all-access,all-agents,833
en.wikipedia,Left_4_Dead,daily,2015-07-14,all-access,all-agents,761
en.wikipedia,Left_4_Dead,daily,2015-07-15,all-access,all-agents,747
en.wikipedia,Left_4_Dead,daily,2015-07-16,all-access,all-agents,942
en.wikipedia,Left_4_Dead,daily,2015-07-17,all-access,all-agents,778
en.wikipedia,Left_4_Dead,daily,2015-07-18,all-access,all-agents,773
en.wikipedia,Left_4_Dead,daily,2015-07-19,all-access,all-agents,773
en.wikipedia,Left_4_Dead,daily,2015-07-20,all-access,all-agents,716
en.wikipedia,Left_4_Dead,daily,2015-07-21,all-access,all-agents,795
en.wikipedia,Left_4_Dead,daily,2015-07-22,all-access,all-agents,753
en.wikipedia,Left_4_Dead,daily,2015-07-23,all-access,all-agents,744
en.wikipedia,Left_4_Dead,daily,2015-07-24,all-access,all-agents,740
en.wikipedia,Left_4_Dead,daily,2015-07-25,all-access,all-agents,830
en.wikipedia,Left_4_Dead,daily,2015-07-26,all-access,all-agents,836
en.wikipedia,Left_4_Dead,daily,2015-07-27,all-access,all-agents,818
en.wikipedia,Left_4_Dead,daily,2015-07-28,all-access,all-agents,875
en.wikipedia,Left_4_Dead,daily,2015-07-29,all-access,all-agents,1027
en.wikipedia,Left_4_Dead,daily,2015-07-30,all-access,all-agents,934
en.wikipedia,Left_4_Dead,daily,2015-07-31,all-access,all-agents,1025
en.wikipedia,Left_4_Dead,daily,2015-08-01,all-access,all-agents,988
en.wikipedia,Left_4_Dead,daily,2015-08-02,all-access,all-agents,1003
en.wikipedia,Left_4_Dead,daily,2015-08-03,all-access,all-agents,786
en.wikipedia,Left_4_Dead,daily,2015-08-04,all-access,all-agents,876
en.wikipedia,Left_4_Dead,daily,2015-08-05,all-access,all-agents,782
en.wikipedia,Left_4_Dead,daily,2015-08-06,all-access,all-agents,834
en.wikipedia,Left_4_Dead,daily,2015-08-07,all-access,all-agents,830
en.wikipedia,Left_4_Dead,daily,2015-08-08,all-access,all-agents,804
en.wikipedia,Left_4_Dead,daily,2015-08-09,all-access,all-agents,900
en.wikipedia,Left_4_Dead,daily,2015-08-10,all-access,all-agents,781
en.wikipedia,Left_4_Dead,daily,2015-08-11,all-access,all-agents,900
en.wikipedia,Left_4_Dead,daily,2015-08-12,all-access,all-agents,1093
en.wikipedia,Left_4_Dead,daily,2015-08-13,all-access,all-agents,1000
en.wikipedia,Left_4_Dead,daily,2015-08-14,all-access,all-agents,971
en.wikipedia,Left_4_Dead,daily,2015-08-15,all-access,all-agents,868
en.wikipedia,Left_4_Dead,daily,2015-08-16,all-access,all-agents,904
en.wikipedia,Left_4_Dead,daily,2015-08-17,all-access,all-agents,892
en.wikipedia,Left_4_Dead,daily,2015-08-18,all-access,all-agents,892
en.wikipedia,Left_4_Dead,daily,2015-08-19,all-access,all-agents,820
en.wikipedia,Left_4_Dead,daily,2015-08-20,all-access,all-agents,969
en.wikipedia,Left_4_Dead,daily,2015-08-21,all-access,all-agents,988
en.wikipedia,Left_4_Dead,daily,2015-08-22,all-access,all-agents,934
en.wikipedia,Left_4_Dead,daily,2015-08-23,all-access,all-agents,900
en.wikipedia,Left_4_Dead,daily,2015-08-24,all-access,all-agents,854
en.wikipedia,Left_4_Dead,daily,2015-08-25,all-access,all-agents,772
en.wikipedia,Left_4_Dead,daily,2015-08-26,all-access,all-agents,774
en.wikipedia,Left_4_Dead,daily,2015-08-27,all-access,all-agents,754
en.wikipedia,Left_4_Dead,daily,2015-08-28,all-access,all-agents,797
en.wikipedia,Left_4_Dead,daily,2015-08-29,all-access,all-agents,791
en.wikipedia,Left_4_Dead,daily,2015-08-30,all-access,all-agents,849
en.wikipedia,Left_4_Dead,daily,2015-08-31,all-access,all-agents,797
en.wikipedia,Left_4_Dead,daily,2015-09-01,all-access,all-agents,721
en.wikipedia,Left_4_Dead,daily,2015-09-02,all-access,all-agents,761
en.wikipedia,Left_4_Dead,daily,2015-09-03,all-access,all-agents,725
en.wikipedia,Left_4_Dead,daily,2015-09-04,all-access,all-agents,743
en.wikipedia,Left_4_Dead,daily,2015-09-05,all-access,all-agents,848
en.wikipedia,Left_4_Dead,daily,2015-09-06,all-access,all-agents,934
en.wikipedia,Left_4_Dead,daily,2015-09-07,all-access,all-agents,856
en.wikipedia,Left_4_Dead,daily,2015-09-08,all-access,all-agents,800
en.wikipedia,Left_4_Dead,daily,2015-09-09,all-access,all-agents,708
en.wikipedia,Left_4_Dead,daily,2015-09-10,all-access,all-agents,664
en.wikipedia,Left_4_Dead,daily,2015-09-11,all-access,all-agents,773
en.wikipedia,Left_4_Dead,daily,2015-09-12,all-access,all-agents,810
en.wikipedia,Left_4_Dead,daily,2015-09-13,all-access,all-agents,817
en.wikipedia,Left_4_Dead,daily,2015-09-14,all-access,all-agents,767
en.wikipedia,Left_4_Dead,daily,2015-09-15,all-access,all-agents,693
en.wikipedia,Left_4_Dead,daily,2015-09-16,all-access,all-agents,663
en.wikipedia,Left_4_Dead,daily,2015-09-17,all-access,all-agents,676
en.wikipedia,Left_4_Dead,daily,2015-09-18,all-access,all-agents,748
en.wikipedia,Left_4_Dead,daily,2015-09-19,all-access,all-agents,793
en.wikipedia,Left_4_Dead,daily,2015-09-20,all-access,all-agents,844
en.wikipedia,Left_4_Dead,daily,2015-09-21,all-access,all-agents,692
en.wikipedia,Left_4_Dead,daily,2015-09-22,all-access,all-agents,701
en.wikipedia,Left_4_Dead,daily,2015-09-23,all-access,all-agents,818
en.wikipedia,Left_4_Dead,daily,2015-09-24,all-access,all-agents,689
en.wikipedia,Left_4_Dead,daily,2015-09-25,all-access,all-agents,720
en.wikipedia,Left_4_Dead,daily,2015-09-26,all-access,all-agents,763
en.wikipedia,Left_4_Dead,daily,2015-09-27,all-access,all-agents,775
en.wikipedia,Left_4_Dead,daily,2015-09-28,all-access,all-agents,743
en.wikipedia,Left_4_Dead,daily,2015-09-29,all-access,all-agents,873
en.wikipedia,Left_4_Dead,daily,2015-09-30,all-access,all-agents,785
en.wikipedia,Left_4_Dead,daily,2015-10-01,all-access,all-agents,928
en.wikipedia,Left_4_Dead,daily,2015-10-02,all-access,all-agents,732
en.wikipedia,Left_4_Dead,daily,2015-10-03,all-access,all-agents,844
en.wikipedia,Left_4_Dead,daily,2015-10-04,all-access,all-agents,783
en.wikipedia,Left_4_Dead,daily,2015-10-05,all-access,all-agents,740
en.wikipedia,Left_4_Dead,daily,2015-10-06,all-access,all-agents,763
en.wikipedia,Left_4_Dead,daily,2015-10-07,all-access,all-agents,772
en.wikipedia,Left_4_Dead,daily,2015-10-08,all-access,all-agents,708
en.wikipedia,Left_4_Dead,daily,2015-10-09,all-access,all-agents,777
en.wikipedia,Left_4_Dead,daily,2015-10-10,all-access,all-agents,810
en.wikipedia,Left_4_Dead,daily,2015-10-11,all-access,all-agents,858
en.wikipedia,Left_4_Dead,daily,2015-10-12,all-access,all-agents,836
en.wikipedia,Left_4_Dead,daily,2015-10-13,all-access,all-agents,752
en.wikipedia,Left_4_Dead,daily,2015-10-14,all-access,all-agents,704
en.wikipedia,Left_4_Dead,daily,2015-10-15,all-access,all-agents,616
en.wikipedia,Left_4_Dead,daily,2015-10-16,all-access,all-agents,687
en.wikipedia,Left_4_Dead,daily,2015-10-17,all-access,all-agents,816
en.wikipedia,Left_4_Dead,daily,2015-10-18,all-access,all-agents,876
en.wikipedia,Left_4_Dead,daily,2015-10-19,all-access,all-agents,760
en.wikipedia,Left_4_Dead,daily,2015-10-20,all-access,all-agents,810
en.wikipedia,Left_4_Dead,daily,2015-10-21,all-access,all-agents,708
en.wikipedia,Left_4_Dead,daily,2015-10-22,all-access,all-agents,734
en.wikipedia,Left_4_Dead,daily,2015-10-23,all-access,all-agents,855
en.wikipedia,Left_4_Dead,daily,2015-10-24,all-access,all-agents,845
en.wikipedia,Left_4_Dead,daily,2015-10-25,all-access,all-agents,780
en.wikipedia,Left_4_Dead,daily,2015-10-26,all-access,all-agents,898
en.wikipedia,Left_4_Dead,daily,2015-10-27,all-access,all-agents,829
en.wikipedia,Left_4_Dead,daily,2015-10-28,all-access,all-agents,912
en.wikipedia,Left_4_Dead,daily,2015-10-29,all-access,all-agents,874
en.wikipedia,Left_4_Dead,daily,2015-10-30,all-access,all-agents,969
en.wikipedia,Left_4_Dead,daily,2015-10-31,all-access,all-agents,1065
en.wikipedia,Left_4_Dead,daily,2015-11-01,all-access,all-agents,1111
en.wikipedia,Left_4_Dead,daily,2015-11-02,all-access,all-agents,1017
en.wikipedia,Left_4_Dead,daily,2015-11-03,all-access,all-agents,951
en.wikipedia,Left_4_Dead,daily,2015-11-04,all-access,all-agents,744
en.wikipedia,Left_4_Dead,daily,2015-11-05,all-access,all-agents,857
en.wikipedia,Left_4_Dead,daily,2015-11-06,all-access,all-agents,823
en.wikipedia,Left_4_Dead,daily,2015-11-07,all-access,all-agents,857
en.wikipedia,Left_4_Dead,daily,2015-11-08,all-access,all-agents,1007
en.wikipedia,Left_4_Dead,daily,2015-11-09,all-access,all-agents,885
en.wikipedia,Left_4_Dead,daily,2015-11-10,all-access,all-agents,895
en.wikipedia,Left_4_Dead,daily,2015-11-11,all-access,all-agents,910
en.wikipedia,Left_4_Dead,daily,2015-11-12,all-access,all-agents,1187
en.wikipedia,Left_4_Dead,daily,2015-11-13,all-access,all-agents,1006
en.wikipedia,Left_4_Dead,daily,2015-11-14,all-access,all-agents,910
en.wikipedia,Left_4_Dead,daily,2015-11-15,all-access,all-agents,986
en.wikipedia,Left_4_Dead,daily,2015-11-16,all-access,all-agents,808
en.wikipedia,Left_4_Dead,daily,2015-11-17,all-access,all-agents,792
en.wikipedia,Left_4_Dead,daily,2015-11-18,all-access,all-agents,778
en.wikipedia,Left_4_Dead,daily,2015-11-19,all-access,all-agents,757
en.wikipedia,Left_4_Dead,daily,2015-11-20,all-access,all-agents,729
en.wikipedia,Left_4_Dead,daily,2015-11-21,all-access,all-agents,776
en.wikipedia,Left_4_Dead,daily,2015-11-22,all-access,all-agents,816
en.wikipedia,Left_4_Dead,daily,2015-11-23,all-access,all-agents,787
en.wikipedia,Left_4_Dead,daily,2015-11-24,all-access,all-agents,714
en.wikipedia,Left_4_Dead,daily,2015-11-25,all-access,all-agents,749
en.wikipedia,Left_4_Dead,daily,2015-11-26,all-access,all-agents,932
en.wikipedia,Left_4_Dead,daily,2015-11-27,all-access,all-agents,952
en.wikipedia,Left_4_Dead,daily,2015-11-28,all-access,all-agents,995
en.wikipedia,Left_4_Dead,daily,2015-11-29,all-access,all-agents,998
en.wikipedia,Left_4_Dead,daily,2015-11-30,all-access,all-agents,1042
en.wikipedia,Left_4_Dead,daily,2015-12-01,all-access,all-agents,919
en.wikipedia,Left_4_Dead,daily,2015-12-02,all-access,all-agents,801
en.wikipedia,Left_4_Dead,daily,2015-12-03,all-access,all-agents,783
en.wikipedia,Left_4_Dead,daily,2015-12-04,all-access,all-agents,874
en.wikipedia,Left_4_Dead,daily,2015-12-05,all-access,all-agents,833
en.wikipedia,Left_4_Dead,daily,2015-12-06,all-access,all-agents,927
en.wikipedia,Left_4_Dead,daily,2015-12-07,all-access,all-agents,827
en.wikipedia,Left_4_Dead,daily,2015-12-08,all-access,all-agents,846
en.wikipedia,Left_4_Dead,daily,2015-12-09,all-access,all-agents,827
en.wikipedia,Left_4_Dead,daily,2015-12-10,all-access,all-agents,788
en.wikipedia,Left_4_Dead,daily,2015-12-11,all-access,all-agents,774
en.wikipedia,Left_4_Dead,daily,2015-12-12,all-access,all-agents,892
en.wikipedia,Left_4_Dead,daily,2015-12-13,all-access,all-agents,814
en.wikipedia,Left_4_Dead,daily,2015-12-14,all-access,all-agents,841
en.wikipedia,Left_4_Dead,daily,2015-12-15,all-access,all-agents,779
en.wikipedia,Left_4_Dead,daily,2015-12-16,all-access,all-agents,693
en.wikipedia,Left_4_Dead,daily,2015-12-17,all-access,all-agents,780
en.wikipedia,Left_4_Dead,daily,2015-12-18,all-access,all-agents,725
en.wikipedia,Left_4_Dead,daily,2015-12-19,all-access,all-agents,676
en.wikipedia,Left_4_Dead,daily,2015-12-20,all-access,all-agents,800
en.wikipedia,Left_4_Dead,daily,2015-12-21,all-access,all-agents,771
en.wikipedia,Left_4_Dead,daily,2015-12-22,all-access,all-agents,848
en.wikipedia,Left_4_Dead,daily,2015-12-23,all-access,all-agents,992
