project,article,granularity,timestamp,access,agent,views
en.wikipedia,Mass_Effect_2,daily,2015-07-01,all-access,all-agents,676
en.wikipedia,Mass_Effect_2,daily,2015-07-02,all-access,all-agents,667
en.wikipedia,Mass_Effect_2,daily,2015-07-03,all-access,all-agents,666
en.wikipedia,Mass_Effect_2,daily,2015-07-04,all-access,all-agents,690
en.wikipedia,Mass_Effect_2,daily,2015-07-05,all-access,all-agents,659
en.wikipedia,Mass_Effect_2,daily,2015-07-06,all-access,all-agents,789
en.wikipedia,Mass_Effect_2,daily,2015-07-07,all-access,all-agents,777
en.wikipedia,Mass_Effect_2,daily,2015-07-08,all-access,all-agents,766
en.wikipedia,Mass_Effect_2,daily,2015-07-09,all-access,all-agents,659
en.wikipedia,Mass_Effect_2,daily,2015-07-10,all-access,all-agents,640
en.wikipedia,Mass_Effect_2,daily,2015-07-11,all-access,all-agents,666
en.wikipedia,Mass_Effect_2,daily,2015-07-12,all-access,all-agents,719
en.wikipedia,Mass_Effect_2,daily,2015-07-13,all-access,all-agents,726
en.wikipedia,Mass_Effect_2,daily,2015-07-14,all-access,all-agents,710
en.wikipedia,Mass_Effect_2,daily,2015-07-15,all-access,all-agents,734
en.wikipedia,Mass_Effect_2,daily,2015-07-16,all-access,all-agents,705
en.wikipedia,Mass_Effect_2,daily,2015-07-17,all-access,all-agents,645
en.wikipedia,Mass_Effect_2,daily,2015-07-18,all-access,all-agents,669
en.wikipedia,Mass_Effect_2,daily,2015-07-19,all-access,all-agents,720
en.wikipedia,Mass_Effect_2,daily,2015-07-20,all-access,all-agents,743
en.wikipedia,Mass_Effect_2,daily,2015-07-21,all-access,all-agents,669
en.wikipedia,Mass_Effect_2,daily,2015-07-22,all-access,all-agents,725
en.wikipedia,Mass_Effect_2,daily,2015-07-23,all-access,all-agents,662
en.wikipedia,Mass_Effect_2,daily,2015-07-24,all-access,all-agents,680
en.wikipedia,Mass_Effect_2,daily,2015-07-25,all-access,all-agents,681
en.wikipedia,Mass_Effect_2,daily,2015-07-26,all-access,all-agents,782
en.wikipedia,Mass_Effect_2,daily,2015-07-27,all-access,all-agents,770
en.wikipedia,Mass_Effect_2,daily,2015-07-28,all-access,all-agents,707
en.wikipedia,Mass_Effect_2,daily,2015-07-29,all-access,all-agents,703
en.wikipedia,Mass_Effect_2,daily,2015-07-30,all-access,all-agents,769
en.wikipedia,Mass_Effect_2,daily,2015-07-31,all-access,all-agents,609
en.wikipedia,Mass_Effect_2,daily,2015-08-01,all-access,all-agents,630
en.wikipedia,Mass_Effect_2,daily,2015-08-02,all-access,all-agents,678
en.wikipedia,Mass_Effect_2,daily,2015-08-03,all-access,all-agents,608
en.wikipedia,Mass_Effect_2,daily,2015-08-04,all-access,all-agents,659
en.wikipedia,Mass_Effect_2,daily,2015-08-05,all-access,all-agents,673
en.wikipedia,Mass_Effect_2,daily,2015-08-06,all-access,all-agents,611
en.wikipedia,Mass_Effect_2,daily,2015-08-07,all-access,all-agents,620
en.wikipedia,Mass_Effect_2,daily,2015-08-08,all-access,all-agents,608
en.wikipedia,Mass_Effect_2,daily,2015-08-09,all-access,all-agents,695
en.wikipedia,Mass_Effect_2,daily,2015-08-10,all-access,all-agents,667
en.wikipedia,Mass_Effect_2,daily,2015-08-11,all-access,all-agents,709
en.wikipedia,Mass_Effect_2,daily,2015-08-12,all-access,all-agents,629
en.wikipedia,Mass_Effect_2,daily,2015-08-13,all-access,all-agents,613
en.wikipedia,Mass_Effect_2,daily,2015-08-14,all-access,all-agents,712
en.wikipedia,Mass_Effect_2,daily,2015-08-15,all-access,all-agents,597
en.wikipedia,Mass_Effect_2,daily,2015-08-16,all-access,all-agents,666
en.wikipedia,Mass_Effect_2,daily,2015-08-17,all-access,all-agents,716
en.wikipedia,Mass_Effect_2,daily,2015-08-18,all-access,all-agents,666
en.wikipedia,Mass_Effect_2,daily,2015-08-19,all-access,all-agents,662
en.wikipedia,Mass_Effect_2,daily,2015-08-20,all-access,all-agents,593
en.wikipedia,Mass_Effect_2,daily,2015-08-21,all-access,all-agents,648
en.wikipedia,Mass_Effect_2,daily,2015-08-22,all-access,all-agents,653
en.wikipedia,Mass_Effect_2,daily,2015-08-23,all-access,all-agents,653
en.wikipedia,Mass_Effect_2,daily,2015-08-24,all-access,all-agents,696
en.wikipedia,Mass_Effect_2,daily,2015-08-25,all-access,all-agents,661
en.wikipedia,Mass_Effect_2,daily,2015-08-26,all-access,all-agents,625
en.wikipedia,Mass_Effect_2,daily,2015-08-27,all-access,all-agents,634
en.wikipedia,Mass_Effect_2,daily,2015-08-28,all-access,all-agents,613
en.wikipedia,Mass_Effect_2,daily,2015-08-29,all-access,all-agents,575
en.wikipedia,Mass_Effect_2,daily,2015-08-30,all-access,all-agents,640
en.wikipedia,Mass_Effect_2,daily,2015-08-31,all-access,all-agents,660
en.wikipedia,Mass_Effect_2,daily,2015-09-01,all-access,all-agents,607
en.wikipedia,Mass_Effect_2,daily,2015-09-02,all-access,all-agents,574
en.wikipedia,Mass_Effect_2,daily,2015-09-03,all-access,all-agents,583
en.wikipedia,Mass_Effect_2,daily,2015-09-04,all-access,all-agents,641
en.wikipedia,Mass_Effect_2,daily,2015-09-05,all-access,all-agents,657
en.wikipedia,Mass_Effect_2,daily,2015-09-06,all-access,all-agents,728
en.wikipedia,Mass_Effect_2,daily,2015-09-07,all-access,all-agents,650
en.wikipedia,Mass_Effect_2,daily,2015-09-08,all-access,all-agents,718
en.wikipedia,Mass_Effect_2,daily,2015-09-09,all-access,all-agents,618
en.wikipedia,Mass_Effect_2,daily,2015-09-10,all-access,all-agents,737
en.wikipedia,Mass_Effect_2,daily,2015-09-11,all-access,all-agents,713
en.wikipedia,Mass_Effect_2,daily,2015-09-12,all-access,all-agents,652
en.wikipedia,Mass_Effect_2,daily,2015-09-13,all-access,all-agents,673
en.wikipedia,Mass_Effect_2,daily,2015-09-14,all-access,all-agents,731
en.wikipedia,Mass_Effect_2,daily,2015-09-15,all-access,all-agents,580
en.wikipedia,Mass_Effect_2,daily,2015-09-16,all-access,all-agents,585
en.wikipedia,Mass_Effect_2,daily,2015-09-17,all-access,all-agents,594
en.wikipedia,Mass_Effect_2,daily,2015-09-18,all-access,all-agents,593
en.wikipedia,Mass_Effect_2,daily,2015-09-19,all-access,all-agents,545
en.wikipedia,Mass_Effect_2,daily,2015-09-20,all-access,all-agents,690
en.wikipedia,Mass_Effect_2,daily,2015-09-21,all-access,all-agents,681
en.wikipedia,Mass_Effect_2,daily,2015-09-22,all-access,all-agents,653
en.wikipedia,Mass_Effect_2,daily,2015-09-23,all-access,all-agents,622
en.wikipedia,Mass_Effect_2,daily,2015-09-24,all-access,all-agents,582
en.wikipedia,Mass_Effect_2,daily,2015-09-25,all-access,all-agents,606
en.wikipedia,Mass_Effect_2,daily,2015-09-26,all-access,all-agents,596
