project,article,granularity,timestamp,access,agent,views
en.wikipedia,Mass_Effect,daily,2015-07-01,all-access,all-agents,2222
en.wikipedia,Mass_Effect,daily,2015-07-02,all-access,all-agents,2055
en.wikipedia,Mass_Effect,daily,2015-07-03,all-access,all-agents,1950
en.wikipedia,Mass_Effect,daily,2015-07-04,all-access,all-agents,1877
en.wikipedia,Mass_Effect,daily,2015-07-05,all-access,all-agents,1980
en.wikipedia,Mass_Effect,daily,2015-07-06,all-access,all-agents,2370
en.wikipedia,Mass_Effect,daily,2015-07-07,all-access,all-agents,2232
en.wikipedia,Mass_Effect,daily,2015-07-08,all-access,all-agents,1975
en.wikipedia,Mass_Effect,daily,2015-07-09,all-access,all-agents,2040
en.wikipedia,Mass_Effect,daily,2015-07-10,all-access,all-agents,1885
en.wikipedia,Mass_Effect,daily,2015-07-11,all-access,all-agents,1966
en.wikipedia,Mass_Effect,daily,2015-07-12,all-access,all-agents,2126
en.wikipedia,Mass_Effect,daily,2015-07-13,all-access,all-agents,2222
en.wikipedia,Mass_Effect,daily,2015-07-14,all-access,all-agents,2391
en.wikipedia,Mass_Effect,daily,2015-07-15,all-access,all-agents,2326
en.wikipedia,Mass_Effect,daily,2015-07-16,all-access,all-agents,2324
en.wikipedia,Mass_Effect,daily,2015-07-17,all-access,all-agents,2187
en.wikipedia,Mass_Effect,daily,2015-07-18,all-access,all-agents,2005
en.wikipedia,Mass_Effect,daily,2015-07-19,all-access,all-agents,2036
en.wikipedia,Mass_Effect,daily,2015-07-20,all-access,all-agents,2189
en.wikipedia,Mass_Effect,daily,2015-07-21,all-access,all-agents,1941
en.wikipedia,Mass_Effect,daily,2015-07-22,all-access,all-agents,1931
en.wikipedia,Mass_Effect,daily,2015-07-23,all-access,all-agents,2088
en.wikipedia,Mass_Effect,daily,2015-07-24,all-access,all-agents,2034
en.wikipedia,Mass_Effect,daily,2015-07-25,all-access,all-agents,2026
en.wikipedia,Mass_Effect,daily,2015-07-26,all-access,all-agents,1993
en.wikipedia,Mass_Effect,daily,2015-07-27,all-access,all-agents,2175
en.wikipedia,Mass_Effect,daily,2015-07-28,all-access,all-agents,1975
en.wikipedia,Mass_Effect,daily,2015-07-29,all-access,all-agents,1874
en.wikipedia,Mass_Effect,daily,2015-07-30,all-access,all-agents,1818
en.wikipedia,Mass_Effect,daily,2015-07-31,all-access,all-agents,1724
en.wikipedia,Mass_Effect,daily,2015-08-01,all-access,all-agents,1753
en.wikipedia,Mass_Effect,daily,2015-08-02,all-access,all-agents,1904
en.wikipedia,Mass_Effect,daily,2015-08-03,all-access,all-agents,1692
en.wikipedia,Mass_Effect,daily,2015-08-04,all-access,all-agents,1846
en.wikipedia,Mass_Effect,daily,2015-08-05,all-access,all-agents,1913
en.wikipedia,Mass_Effect,daily,2015-08-06,all-access,all-agents,1747
en.wikipedia,Mass_Effect,daily,2015-08-07,all-access,all-agents,1757
en.wikipedia,Mass_Effect,daily,2015-08-08,all-access,all-agents,1801
en.wikipedia,Mass_Effect,daily,2015-08-09,all-access,all-agents,1813
en.wikipedia,Mass_Effect,daily,2015-08-10,all-access,all-agents,1664
en.wikipedia,Mass_Effect,daily,2015-08-11,all-access,all-agents,1966
en.wikipedia,Mass_Effect,daily,2015-08-12,all-access,all-agents,1883
en.wikipedia,Mass_Effect,daily,2015-08-13,all-access,all-agents,1746
