project,article,granularity,timestamp,access,agent,views
en.wikipedia,Minecraft,daily,2015-07-01,all-access,all-agents,8738
en.wikipedia,Minecraft,daily,2015-07-02,all-access,all-agents,8237
en.wikipedia,Minecraft,daily,2015-07-03,all-access,all-agents,8077
en.wikipedia,Minecraft,daily,2015-07-04,all-access,all-agents,10089
en.wikipedia,Minecraft,daily,2015-07-05,all-access,all-agents,11315
en.wikipedia,Minecraft,daily,2015-07-06,all-access,all-agents,11139
en.wikipedia,Minecraft,daily,2015-07-07,all-access,all-agents,9930
en.wikipedia,Minecraft,daily,2015-07-08,all-access,all-agents,9233
en.wikipedia,Minecraft,daily,2015-07-09,all-access,all-agents,8781
en.wikipedia,Minecraft,daily,2015-07-10,all-access,all-agents,8152
en.wikipedia,Minecraft,daily,2015-07-11,all-access,all-agents,8239
en.wikipedia,Minecraft,daily,2015-07-12,all-access,all-agents,7868
en.wikipedia,Minecraft,daily,2015-07-13,all-access,all-agents,7938
en.wikipedia,Minecraft,daily,2015-07-14,all-access,all-agents,7956
en.wikipedia,Minecraft,daily,2015-07-15,all-access,all-agents,7473
en.wikipedia,Minecraft,daily,2015-07-16,all-access,all-agents,7516
en.wikipedia,Minecraft,daily,2015-07-17,all-access,all-agents,8066
en.wikipedia,Minecraft,daily,2015-07-18,all-access,all-agents,8398
en.wikipedia,Minecraft,daily,2015-07-19,all-access,all-agents,8992
en.wikipedia,Minecraft,daily,2015-07-20,all-access,all-agents,9290
en.wikipedia,Minecraft,daily,2015-07-21,all-access,all-agents,9154
en.wikipedia,Minecraft,daily,2015-07-22,all-access,all-agents,10081
en.wikipedia,Minecraft,daily,2015-07-23,all-access,all-agents,8937
en.wikipedia,Minecraft,daily,2015-07-24,all-access,all-agents,7985
en.wikipedia,Minecraft,daily,2015-07-25,all-access,all-agents,8052
en.wikipedia,Minecraft,daily,2015-07-26,all-access,all-agents,8514
en.wikipedia,Minecraft,daily,2015-07-27,all-access,all-agents,8596
en.wikipedia,Minecraft,daily,2015-07-28,all-access,all-agents,8473
en.wikipedia,Minecraft,daily,2015-07-29,all-access,all-agents,8596
en.wikipedia,Minecraft,daily,2015-07-30,all-access,all-agents,8430
en.wikipedia,Minecraft,daily,2015-07-31,all-access,all-agents,7674
en.wikipedia,Minecraft,daily,2015-08-01,all-access,all-agents,7787
en.wikipedia,Minecraft,daily,2015-08-02,all-access,all-agents,7952
en.wikipedia,Minecraft,daily,2015-08-03,all-access,all-agents,7544
en.wikipedia,Minecraft,daily,2015-08-04,all-access,all-agents,8552
en.wikipedia,Minecraft,daily,2015-08-05,all-access,all-agents,8799
en.wikipedia,Minecraft,daily,2015-08-06,all-access,all-agents,7890
en.wikipedia,Minecraft,daily,2015-08-07,all-access,all-agents,8077
en.wikipedia,Minecraft,daily,2015-08-08,all-access,all-agents,8019
en.wikipedia,Minecraft,daily,2015-08-09,all-access,all-agents,8447
en.wikipedia,Minecraft,daily,2015-08-10,all-access,all-agents,7778
en.wikipedia,Minecraft,daily,2015-08-11,all-access,all-agents,7960
en.wikipedia,Minecraft,daily,2015-08-12,all-access,all-agents,7800
en.wikipedia,Minecraft,daily,2015-08-13,all-access,all-agents,7869
en.wikipedia,Minecraft,daily,2015-08-14,all-access,all-agents,7921
en.wikipedia,Minecraft,daily,2015-08-15,all-access,all-agents,8256
en.wikipedia,Minecraft,daily,2015-08-16,all-access,all-agents,8610
en.wikipedia,Minecraft,daily,2015-08-17,all-access,all-agents,8958
en.wikipedia,Minecraft,daily,2015-08-18,all-access,all-agents,8525
en.wikipedia,Minecraft,daily,2015-08-19,all-access,all-agents,8255
en.wikipedia,Minecraft,daily,2015-08-20,all-access,all-agents,8528
en.wikipedia,Minecraft,daily,2015-08-21,all-access,all-agents,12183
en.wikipedia,Minecraft,daily,2015-08-22,all-access,all-agents,8467
en.wikipedia,Minecraft,daily,2015-08-23,all-access,all-agents,8255
en.wikipedia,Minecraft,daily,2015-08-24,all-access,all-agents,8095
en.wikipedia,Minecraft,daily,2015-08-25,all-access,all-agents,7624
en.wikipedia,Minecraft,daily,2015-08-26,all-access,all-agents,7794
en.wikipedia,Minecraft,daily,2015-08-27,all-access,all-agents,9206
en.wikipedia,Minecraft,daily,2015-08-28,all-access,all-agents,8150
en.wikipedia,Minecraft,daily,2015-08-29,all-access,all-agents,13072
en.wikipedia,Minecraft,daily,2015-08-30,all-access,all-agents,15112
en.wikipedia,Minecraft,daily,2015-08-31,all-access,all-agents,15408
en.wikipedia,Minecraft,daily,2015-09-01,all-access,all-agents,12712
en.wikipedia,Minecraft,daily,2015-09-02,all-access,all-agents,10768
en.wikipedia,Minecraft,daily,2015-09-03,all-access,all-agents,9183
en.wikipedia,Minecraft,daily,2015-09-04,all-access,all-agents,9591
en.wikipedia,Minecraft,daily,2015-09-05,all-access,all-agents,9581
en.wikipedia,Minecraft,daily,2015-09-06,all-access,all-agents,8941
en.wikipedia,Minecraft,daily,2015-09-07,all-access,all-agents,9073
en.wikipedia,Minecraft,daily,2015-09-08,all-access,all-agents,8253
en.wikipedia,Minecraft,daily,2015-09-09,all-access,all-agents,7907
en.wikipedia,Minecraft,daily,2015-09-10,all-access,all-agents,7782
en.wikipedia,Minecraft,daily,2015-09-11,all-access,all-agents,8099
en.wikipedia,Minecraft,daily,2015-09-12,all-access,all-agents,8843
en.wikipedia,Minecraft,daily,2015-09-13,all-access,all-agents,9111
en.wikipedia,Minecraft,daily,2015-09-14,all-access,all-agents,8110
en.wikipedia,Minecraft,daily,2015-09-15,all-access,all-agents,7822
en.wikipedia,Minecraft,daily,2015-09-16,all-access,all-agents,9412
en.wikipedia,Minecraft,daily,2015-09-17,all-access,all-agents,8656
en.wikipedia,Minecraft,daily,2015-09-18,all-access,all-agents,8468
en.wikipedia,Minecraft,daily,2015-09-19,all-access,all-agents,9010
en.wikipedia,Minecraft,daily,2015-09-20,all-access,all-agents,8846
en.wikipedia,Minecraft,daily,2015-09-21,all-access,all-agents,7933
en.wikipedia,Minecraft,daily,2015-09-22,all-access,all-agents,7969
en.wikipedia,Minecraft,daily,2015-09-23,all-access,all-agents,7924
en.wikipedia,Minecraft,daily,2015-09-24,all-access,all-agents,8149
en.wikipedia,Minecraft,daily,2015-09-25,all-access,all-agents,8390
en.wikipedia,Minecraft,daily,2015-09-26,all-access,all-agents,8450
en.wikipedia,Minecraft,daily,2015-09-27,all-access,all-agents,8556
en.wikipedia,Minecraft,daily,2015-09-28,all-access,all-agents,7705
en.wikipedia,Minecraft,daily,2015-09-29,all-access,all-agents,7848
en.wikipedia,Minecraft,daily,2015-09-30,all-access,all-agents,7729
en.wikipedia,Minecraft,daily,2015-10-01,all-access,all-agents,7492
en.wikipedia,Minecraft,daily,2015-10-02,all-access,all-agents,8395
en.wikipedia,Minecraft,daily,2015-10-03,all-access,all-agents,9593
en.wikipedia,Minecraft,daily,2015-10-04,all-access,all-agents,8642
en.wikipedia,Minecraft,daily,2015-10-05,all-access,all-agents,7712
en.wikipedia,Minecraft,daily,2015-10-06,all-access,all-agents,8186
en.wikipedia,Minecraft,daily,2015-10-07,all-access,all-agents,8120
en.wikipedia,Minecraft,daily,2015-10-08,all-access,all-agents,7795
en.wikipedia,Minecraft,daily,2015-10-09,all-access,all-agents,9029
en.wikipedia,Minecraft,daily,2015-10-10,all-access,all-agents,9716
en.wikipedia,Minecraft,daily,2015-10-11,all-access,all-agents,8313
en.wikipedia,Minecraft,daily,2015-10-12,all-access,all-agents,9808
en.wikipedia,Minecraft,daily,2015-10-13,all-access,all-agents,8928
en.wikipedia,Minecraft,daily,2015-10-14,all-access,all-agents,9013
en.wikipedia,Minecraft,daily,2015-10-15,all-access,all-agents,8797
en.wikipedia,Minecraft,daily,2015-10-16,all-access,all-agents,8751
en.wikipedia,Minecraft,daily,2015-10-17,all-access,all-agents,9998
en.wikipedia,Minecraft,daily,2015-10-18,all-access,all-agents,8909
en.wikipedia,Minecraft,daily,2015-10-19,all-access,all-agents,8267
en.wikipedia,Minecraft,daily,2015-10-20,all-access,all-agents,7975
en.wikipedia,Minecraft,daily,2015-10-21,all-access,all-agents,7648
en.wikipedia,Minecraft,daily,2015-10-22,all-access,all-agents,7935
en.wikipedia,Minecraft,daily,2015-10-23,all-access,all-agents,8066
en.wikipedia,Minecraft,daily,2015-10-24,all-access,all-agents,8079
en.wikipedia,Minecraft,daily,2015-10-25,all-access,all-agents,7763
en.wikipedia,Minecraft,daily,2015-10-26,all-access,all-agents,7704
en.wikipedia,Minecraft,daily,2015-10-27,all-access,all-agents,7860
en.wikipedia,Minecraft,daily,2015-10-28,all-access,all-agents,9415
en.wikipedia,Minecraft,daily,2015-10-29,all-access,all-agents,7634
en.wikipedia,Minecraft,daily,2015-10-30,all-access,all-agents,7868
en.wikipedia,Minecraft,daily,2015-10-31,all-access,all-agents,7441
en.wikipedia,Minecraft,daily,2015-11-01,all-access,all-agents,8078
en.wikipedia,Minecraft,daily,2015-11-02,all-access,all-agents,8099
en.wikipedia,Minecraft,daily,2015-11-03,all-access,all-agents,8284
en.wikipedia,Minecraft,daily,2015-11-04,all-access,all-agents,7808
en.wikipedia,Minecraft,daily,2015-11-05,all-access,all-agents,8512
en.wikipedia,Minecraft,daily,2015-11-06,all-access,all-agents,8388
en.wikipedia,Minecraft,daily,2015-11-07,all-access,all-agents,8407
en.wikipedia,Minecraft,daily,2015-11-08,all-access,all-agents,8606
en.wikipedia,Minecraft,daily,2015-11-09,all-access,all-agents,8024
en.wikipedia,Minecraft,daily,2015-11-10,all-access,all-agents,7925
en.wikipedia,Minecraft,daily,2015-11-11,all-access,all-agents,8104
en.wikipedia,Minecraft,daily,2015-11-12,all-access,all-agents,8578
en.wikipedia,Minecraft,daily,2015-11-13,all-access,all-agents,8191
en.wikipedia,Minecraft,daily,2015-11-14,all-access,all-agents,8035
en.wikipedia,Minecraft,daily,2015-11-15,all-access,all-agents,7885
en.wikipedia,Minecraft,daily,2015-11-16,all-access,all-agents,7715
en.wikipedia,Minecraft,daily,2015-11-17,all-access,all-agents,8234
en.wikipedia,Minecraft,daily,2015-11-18,all-access,all-agents,8289
en.wikipedia,Minecraft,daily,2015-11-19,all-access,all-agents,7798
en.wikipedia,Minecraft,daily,2015-11-20,all-access,all-agents,7699
en.wikipedia,Minecraft,daily,2015-11-21,all-access,all-agents,7456
en.wikipedia,Minecraft,daily,2015-11-22,all-access,all-agents,8185
en.wikipedia,Minecraft,daily,2015-11-23,all-access,all-agents,7776
en.wikipedia,Minecraft,daily,2015-11-24,all-access,all-agents,7511
en.wikipedia,Minecraft,daily,2015-11-25,all-access,all-agents,7667
en.wikipedia,Minecraft,daily,2015-11-26,all-access,all-agents,7719
en.wikipedia,Minecraft,daily,2015-11-27,all-access,all-agents,9059
en.wikipedia,Minecraft,daily,2015-11-28,all-access,all-agents,8914
en.wikipedia,Minecraft,daily,2015-11-29,all-access,all-agents,9161
en.wikipedia,Minecraft,daily,2015-11-30,all-access,all-agents,8986
en.wikipedia,Minecraft,daily,2015-12-01,all-access,all-agents,8625
en.wikipedia,Minecraft,daily,2015-12-02,all-access,all-agents,8960
en.wikipedia,Minecraft,daily,2015-12-03,all-access,all-agents,8546
en.wikipedia,Minecraft,daily,2015-12-04,all-access,all-agents,8418
en.wikipedia,Minecraft,daily,2015-12-05,all-access,all-agents,8196
en.wikipedia,Minecraft,daily,2015-12-06,all-access,all-agents,8027
en.wikipedia,Minecraft,daily,2015-12-07,all-access,all-agents,10684
en.wikipedia,Minecraft,daily,2015-12-08,all-access,all-agents,10181
en.wikipedia,Minecraft,daily,2015-12-09,all-access,all-agents,9475
en.wikipedia,Minecraft,daily,2015-12-10,all-access,all-agents,8745
en.wikipedia,Minecraft,daily,2015-12-11,all-access,all-agents,8936
en.wikipedia,Minecraft,daily,2015-12-12,all-access,all-agents,8490
en.wikipedia,Minecraft,daily,2015-12-13,all-access,all-agents,8190
en.wikipedia,Minecraft,daily,2015-12-14,all-access,all-agents,8892
en.wikipedia,Minecraft,daily,2015-12-15,all-access,all-agents,8540
en.wikipedia,Minecraft,daily,2015-12-16,all-access,all-agents,8099
en.wikipedia,Minecraft,daily,2015-12-17,all-access,all-agents,8378
en.wikipedia,Minecraft,daily,2015-12-18,all-access,all-agents,8543
en.wikipedia,Minecraft,daily,2015-12-19,all-access,all-agents,7949
en.wikipedia,Minecraft,daily,2015-12-20,all-access,all-agents,7495
en.wikipedia,Minecraft,daily,2015-12-21,all-access,all-agents,7694
en.wikipedia,Minecraft,daily,2015-12-22,all-access,all-agents,8441
en.wikipedia,Minecraft,daily,2015-12-23,all-access,all-agents,7983
en.wikipedia,Minecraft,daily,2015-12-24,all-access,all-agents,7668
en.wikipedia,Minecraft,daily,2015-12-25,all-access,all-agents,8784
en.wikipedia,Minecraft,daily,2015-12-26,all-access,all-agents,9412
en.wikipedia,Minecraft,daily,2015-12-27,all-access,all-agents,8893
en.wikipedia,Minecraft,daily,2015-12-28,all-access,all-agents,8537
en.wikipedia,Minecraft,daily,2015-12-29,all-access,all-agents,8820
en.wikipedia,Minecraft,daily,2015-12-30,all-access,all-agents,7762
en.wikipedia,Minecraft,daily,2015-12-31,all-access,all-agents,7253
