project,article,granularity,timestamp,access,agent,views
en.wikipedia,Persona_4,daily,2015-07-01,all-access,all-agents,164
en.wikipedia,Persona_4,daily,2015-07-02,all-access,all-agents,167
en.wikipedia,Persona_4,daily,2015-07-03,all-access,all-agents,125
en.wikipedia,Persona_4,daily,2015-07-04,all-access,all-agents,126
en.wikipedia,Persona_4,daily,2015-07-05,all-access,all-agents,134
en.wikipedia,Persona_4,daily,2015-07-06,all-access,all-agents,164
en.wikipedia,Persona_4,daily,2015-07-07,all-access,all-agents,148
en.wikipedia,Persona_4,daily,2015-07-08,all-access,all-agents,142
en.wikipedia,Persona_4,daily,2015-07-09,all-access,all-agents,186
en.wikipedia,Persona_4,daily,2015-07-10,all-access,all-agents,248
en.wikipedia,Persona_4,daily,2015-07-11,all-access,all-agents,154
en.wikipedia,Persona_4,daily,2015-07-12,all-access,all-agents,156
en.wikipedia,Persona_4,daily,2015-07-13,all-access,all-agents,151
en.wikipedia,Persona_4,daily,2015-07-14,all-access,all-agents,150
en.wikipedia,Persona_4,daily,2015-07-15,all-access,all-agents,130
en.wikipedia,Persona_4,daily,2015-07-16,all-access,all-agents,150
en.wikipedia,Persona_4,daily,2015-07-17,all-access,all-agents,166
en.wikipedia,Persona_4,daily,2015-07-18,all-access,all-agents,190
en.wikipedia,Persona_4,daily,2015-07-19,all-access,all-agents,140
en.wikipedia,Persona_4,daily,2015-07-20,all-access,all-agents,184
en.wikipedia,Persona_4,daily,2015-07-21,all-access,all-agents,227
en.wikipedia,Persona_4,daily,2015-07-22,all-access,all-agents,175
en.wikipedia,Persona_4,daily,2015-07-23,all-access,all-agents,161
en.wikipedia,Persona_4,daily,2015-07-24,all-access,all-agents,163
en.wikipedia,Persona_4,daily,2015-07-25,all-access,all-agents,144
en.wikipedia,Persona_4,daily,2015-07-26,all-access,all-agents,154
en.wikipedia,Persona_4,daily,2015-07-27,all-access,all-agents,159
en.wikipedia,Persona_4,daily,2015-07-28,all-access,all-agents,199
en.wikipedia,Persona_4,daily,2015-07-29,all-access,all-agents,174
en.wikipedia,Persona_4,daily,2015-07-30,all-access,all-agents,111
en.wikipedia,Persona_4,daily,2015-07-31,all-access,all-agents,123
en.wikipedia,Persona_4,daily,2015-08-01,all-access,all-agents,115
en.wikipedia,Persona_4,daily,2015-08-02,all-access,all-agents,130
en.wikipedia,Persona_4,daily,2015-08-03,all-access,all-agents,109
en.wikipedia,Persona_4,daily,2015-08-04,all-access,all-agents,122
en.wikipedia,Persona_4,daily,2015-08-05,all-access,all-agents,125
en.wikipedia,Persona_4,daily,2015-08-06,all-access,all-agents,127
en.wikipedia,Persona_4,daily,2015-08-07,all-access,all-agents,91
en.wikipedia,Persona_4,daily,2015-08-08,all-access,all-agents,98
en.wikipedia,Persona_4,daily,2015-08-09,all-access,all-agents,109
en.wikipedia,Persona_4,daily,2015-08-10,all-access,all-agents,115
en.wikipedia,Persona_4,daily,2015-08-11,all-access,all-agents,123
en.wikipedia,Persona_4,daily,2015-08-12,all-access,all-agents,291
en.wikipedia,Persona_4,daily,2015-08-13,all-access,all-agents,160
en.wikipedia,Persona_4,daily,2015-08-14,all-access,all-agents,149
en.wikipedia,Persona_4,daily,2015-08-15,all-access,all-agents,136
en.wikipedia,Persona_4,daily,2015-08-16,all-access,all-agents,124
en.wikipedia,Persona_4,daily,2015-08-17,all-access,all-agents,149
en.wikipedia,Persona_4,daily,2015-08-18,all-access,all-agents,150
en.wikipedia,Persona_4,daily,2015-08-19,all-access,all-agents,155
en.wikipedia,Persona_4,daily,2015-08-20,all-access,all-agents,114
en.wikipedia,Persona_4,daily,2015-08-21,all-access,all-agents,124
en.wikipedia,Persona_4,daily,2015-08-22,all-access,all-agents,125
en.wikipedia,Persona_4,daily,2015-08-23,all-access,all-agents,138
en.wikipedia,Persona_4,daily,2015-08-24,all-access,all-agents,114
en.wikipedia,Persona_4,daily,2015-08-25,all-access,all-agents,109
en.wikipedia,Persona_4,daily,2015-08-26,all-access,all-agents,102
en.wikipedia,Persona_4,daily,2015-08-27,all-access,all-agents,120
en.wikipedia,Persona_4,daily,2015-08-28,all-access,all-agents,108
en.wikipedia,Persona_4,daily,2015-08-29,all-access,all-agents,100
en.wikipedia,Persona_4,daily,2015-08-30,all-access,all-agents,110
en.wikipedia,Persona_4,daily,2015-08-31,all-access,all-agents,129
en.wikipedia,Persona_4,daily,2015-09-01,all-access,all-agents,118
en.wikipedia,Persona_4,daily,2015-09-02,all-access,all-agents,115
en.wikipedia,Persona_4,daily,2015-09-03,all-access,all-agents,100
en.wikipedia,Persona_4,daily,2015-09-04,all-access,all-agents,112
en.wikipedia,Persona_4,daily,2015-09-05,all-access,all-agents,93
en.wikipedia,Persona_4,daily,2015-09-06,all-access,all-agents,95
en.wikipedia,Persona_4,daily,2015-09-07,all-access,all-agents,108
en.wikipedia,Persona_4,daily,2015-09-08,all-access,all-agents,98
en.wikipedia,Persona_4,daily,2015-09-09,all-access,all-agents,97
en.wikipedia,Persona_4,daily,2015-09-10,all-access,all-agents,97
en.wikipedia,Persona_4,daily,2015-09-11,all-access,all-agents,107
en.wikipedia,Persona_4,daily,2015-09-12,all-access,all-agents,92
en.wikipedia,Persona_4,daily,2015-09-13,all-access,all-agents,84
en.wikipedia,Persona_4,daily,2015-09-14,all-access,all-agents,105
en.wikipedia,Persona_4,daily,2015-09-15,all-access,all-agents,109
en.wikipedia,Persona_4,daily,2015-09-16,all-access,all-agents,98
en.wikipedia,Persona_4,daily,2015-09-17,all-access,all-agents,204
en.wikipedia,Persona_4,daily,2015-09-18,all-access,all-agents,159
en.wikipedia,Persona_4,daily,2015-09-19,all-access,all-agents,157
en.wikipedia,Persona_4,daily,2015-09-20,all-access,all-agents,153
en.wikipedia,Persona_4,daily,2015-09-21,all-access,all-agents,134
en.wikipedia,Persona_4,daily,2015-09-22,all-access,all-agents,138
en.wikipedia,Persona_4,daily,2015-09-23,all-access,all-agents,128
en.wikipedia,Persona_4,daily,2015-09-24,all-access,all-agents,107
en.wikipedia,Persona_4,daily,2015-09-25,all-access,all-agents,122
en.wikipedia,Persona_4,daily,2015-09-26,all-access,all-agents,113
en.wikipedia,Persona_4,daily,2015-09-27,all-access,all-agents,117
en.wikipedia,Persona_4,daily,2015-09-28,all-access,all-agents,107
en.wikipedia,Persona_4,daily,2015-09-29,all-access,all-agents,137
en.wikipedia,Persona_4,daily,2015-09-30,all-access,all-agents,166
en.wikipedia,Persona_4,daily,2015-10-01,all-access,all-agents,114
en.wikipedia,Persona_4,daily,2015-10-02,all-access,all-agents,121
en.wikipedia,Persona_4,daily,2015-10-03,all-access,all-agents,122
en.wikipedia,Persona_4,daily,2015-10-04,all-access,all-agents,118
en.wikipedia,Persona_4,daily,2015-10-05,all-access,all-agents,133
en.wikipedia,Persona_4,daily,2015-10-06,all-access,all-agents,109
en.wikipedia,Persona_4,daily,2015-10-07,all-access,all-agents,113
en.wikipedia,Persona_4,daily,2015-10-08,all-access,all-agents,137
en.wikipedia,Persona_4,daily,2015-10-09,all-access,all-agents,89
en.wikipedia,Persona_4,daily,2015-10-10,all-access,all-agents,98
en.wikipedia,Persona_4,daily,2015-10-11,all-access,all-agents,120
