project,article,granularity,timestamp,access,agent,views
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-01,all-access,all-agents,5080
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-02,all-access,all-agents,5977
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-03,all-access,all-agents,5898
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-04,all-access,all-agents,5549
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-05,all-access,all-agents,4604
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-06,all-access,all-agents,4417
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-07,all-access,all-agents,5289
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-08,all-access,all-agents,5014
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-09,all-access,all-agents,4959
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-10,all-access,all-agents,4819
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-11,all-access,all-agents,4722
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-12,all-access,all-agents,4293
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-13,all-access,all-agents,4671
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-14,all-access,all-agents,5342
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-15,all-access,all-agents,5436
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-16,all-access,all-agents,4871
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-17,all-access,all-agents,4591
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-18,all-access,all-agents,4464
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-19,all-access,all-agents,4186
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-20,all-access,all-agents,3951
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-21,all-access,all-agents,4469
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-22,all-access,all-agents,4498
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-23,all-access,all-agents,4518
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-24,all-access,all-agents,4508
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-25,all-access,all-agents,4184
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-26,all-access,all-agents,4025
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-27,all-access,all-agents,4109
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-28,all-access,all-agents,4636
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-29,all-access,all-agents,4489
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-30,all-access,all-agents,4404
en.wikipedia,Red_Dead_Redemption_2,daily,2018-01-31,all-access,all-agents,4501
en.wikipedia,Red_Dead_Redemption_2,daily,2018-02-01,all-access,all-agents,11889
en.wikipedia,Red_Dead_Redemption_2,daily,2018-02-02,all-access,all-agents,8604
en.wikipedia,Red_Dead_Redemption_2,daily,2018-02-03,all-access,all-agents,4848
en.wikipedia,Red_Dead_Redemption_2,daily,2018-02-04,all-access,all-agents,4382
en.wikipedia,Red_Dead_Redemption_2,daily,2018-02-05,all-access,all-agents,4255
en.wikipedia,Red_Dead_Redemption_2,daily,2018-02-06,all-access,all-agents,4593
en.wikipedia,Red_Dead_Redemption_2,daily,2018-02-07,all-access,all-agents,4475
en.wikipedia,Red_Dead_Redemption_2,daily,2018-02-08,all-access,all-agents,3967
en.wikipedia,Red_Dead_Redemption_2,daily,2018-02-09,all-access,all-agents,3702
en.wikipedia,Red_Dead_Redemption_2,daily,2018-02-10,all-access,all-agents,3450
en.wikipedia,Red_Dead_Redemption_2,daily,2018-02-11,all-access,all-agents,3780
en.wikipedia,Red_Dead_Redemption_2,daily,2018-02-12,all-access,all-agents,3501
en.wikipedia,Red_Dead_Redemption_2,daily,2018-02-13,all-access,all-agents,3698
en.wikipedia,Red_Dead_Redemption_2,daily,2018-02-14,all-access,all-agents,3243
en.wikipedia,Red_Dead_Redemption_2,daily,2018-02-15,all-access,all-agents,2891
en.wikipedia,Red_Dead_Redemption_2,daily,2018-02-16,all-access,all-agents,2635
en.wikipedia,Red_Dead_Redemption_2,daily,2018-02-17,all-access,all-agents,2579
en.wikipedia,Red_Dead_Redemption_2,daily,2018-02-18,all-access,all-agents,3094
