project,article,granularity,timestamp,access,agent,views
en.wikipedia,Red_Dead_Redemption,daily,2015-07-01,all-access,all-agents,1954
en.wikipedia,Red_Dead_Redemption,daily,2015-07-02,all-access,all-agents,1943
en.wikipedia,Red_Dead_Redemption,daily,2015-07-03,all-access,all-agents,1853
en.wikipedia,Red_Dead_Redemption,daily,2015-07-04,all-access,all-agents,1862
en.wikipedia,Red_Dead_Redemption,daily,2015-07-05,all-access,all-agents,2640
en.wikipedia,Red_Dead_Redemption,daily,2015-07-06,all-access,all-agents,2318
en.wikipedia,Red_Dead_Redemption,daily,2015-07-07,all-access,all-agents,2263
en.wikipedia,Red_Dead_Redemption,daily,2015-07-08,all-access,all-agents,2260
en.wikipedia,Red_Dead_Redemption,daily,2015-07-09,all-access,all-agents,2118
en.wikipedia,Red_Dead_Redemption,daily,2015-07-10,all-access,all-agents,1917
en.wikipedia,Red_Dead_Redemption,daily,2015-07-11,all-access,all-agents,1815
en.wikipedia,Red_Dead_Redemption,daily,2015-07-12,all-access,all-agents,2062
en.wikipedia,Red_Dead_Redemption,daily,2015-07-13,all-access,all-agents,2189
en.wikipedia,Red_Dead_Redemption,daily,2015-07-14,all-access,all-agents,1990
en.wikipedia,Red_Dead_Redemption,daily,2015-07-15,all-access,all-agents,2349
en.wikipedia,Red_Dead_Redemption,daily,2015-07-16,all-access,all-agents,2113
en.wikipedia,Red_Dead_Redemption,daily,2015-07-17,all-access,all-agents,2000
en.wikipedia,Red_Dead_Redemption,daily,2015-07-18,all-access,all-agents,2000
en.wikipedia,Red_Dead_Redemption,daily,2015-07-19,all-access,all-agents,2131
en.wikipedia,Red_Dead_Redemption,daily,2015-07-20,all-access,all-agents,2346
en.wikipedia,Red_Dead_Redemption,daily,2015-07-21,all-access,all-agents,2582
en.wikipedia,Red_Dead_Redemption,daily,2015-07-22,all-access,all-agents,2529
en.wikipedia,Red_Dead_Redemption,daily,2015-07-23,all-access,all-agents,2523
en.wikipedia,Red_Dead_Redemption,daily,2015-07-24,all-access,all-agents,2394
en.wikipedia,Red_Dead_Redemption,daily,2015-07-25,all-access,all-agents,2297
en.wikipedia,Red_Dead_Redemption,daily,2015-07-26,all-access,all-agents,2631
en.wikipedia,Red_Dead_Redemption,daily,2015-07-27,all-access,all-agents,2558
en.wikipedia,Red_Dead_Redemption,daily,2015-07-28,all-access,all-agents,2438
en.wikipedia,Red_Dead_Redemption,daily,2015-07-29,all-access,all-agents,2201
en.wikipedia,Red_Dead_Redemption,daily,2015-07-30,all-access,all-agents,2216
en.wikipedia,Red_Dead_Redemption,daily,2015-07-31,all-access,all-agents,2092
en.wikipedia,Red_Dead_Redemption,daily,2015-08-01,all-access,all-agents,1959
en.wikipedia,Red_Dead_Redemption,daily,2015-08-02,all-access,all-agents,2163
en.wikipedia,Red_Dead_Redemption,daily,2015-08-03,all-access,all-agents,2082
en.wikipedia,Red_Dead_Redemption,daily,2015-08-04,all-access,all-agents,2215
en.wikipedia,Red_Dead_Redemption,daily,2015-08-05,all-access,all-agents,2717
