project,article,granularity,timestamp,access,agent,views
en.wikipedia,Resident_Evil_4,daily,2015-07-01,all-access,all-agents,1033
en.wikipedia,Resident_Evil_4,daily,2015-07-02,all-access,all-agents,1074
en.wikipedia,Resident_Evil_4,daily,2015-07-03,all-access,all-agents,1084
en.wikipedia,Resident_Evil_4,daily,2015-07-04,all-access,all-agents,1032
en.wikipedia,Resident_Evil_4,daily,2015-07-05,all-access,all-agents,1180
en.wikipedia,Resident_Evil_4,daily,2015-07-06,all-access,all-agents,1171
en.wikipedia,Resident_Evil_4,daily,2015-07-07,all-access,all-agents,1236
en.wikipedia,Resident_Evil_4,daily,2015-07-08,all-access,all-agents,1238
en.wikipedia,Resident_Evil_4,daily,2015-07-09,all-access,all-agents,1170
en.wikipedia,Resident_Evil_4,daily,2015-07-10,all-access,all-agents,1173
en.wikipedia,Resident_Evil_4,daily,2015-07-11,all-access,all-agents,1172
en.wikipedia,Resident_Evil_4,daily,2015-07-12,all-access,all-agents,1125
en.wikipedia,Resident_Evil_4,daily,2015-07-13,all-access,all-agents,1264
en.wikipedia,Resident_Evil_4,daily,2015-07-14,all-access,all-agents,1166
en.wikipedia,Resident_Evil_4,daily,2015-07-15,all-access,all-agents,1121
en.wikipedia,Resident_Evil_4,daily,2015-07-16,all-access,all-agents,1054
en.wikipedia,Resident_Evil_4,daily,2015-07-17,all-access,all-agents,1127
en.wikipedia,Resident_Evil_4,daily,2015-07-18,all-access,all-agents,1140
en.wikipedia,Resident_Evil_4,daily,2015-07-19,all-access,all-agents,1160
en.wikipedia,Resident_Evil_4,daily,2015-07-20,all-access,all-agents,1063
en.wikipedia,Resident_Evil_4,daily,2015-07-21,all-access,all-agents,1126
en.wikipedia,Resident_Evil_4,daily,2015-07-22,all-access,all-agents,1095
en.wikipedia,Resident_Evil_4,daily,2015-07-23,all-access,all-agents,6477
en.wikipedia,Resident_Evil_4,daily,2015-07-24,all-access,all-agents,1524
en.wikipedia,Resident_Evil_4,daily,2015-07-25,all-access,all-agents,1189
en.wikipedia,Resident_Evil_4,daily,2015-07-26,all-access,all-agents,1645
en.wikipedia,Resident_Evil_4,daily,2015-07-27,all-access,all-agents,2290
en.wikipedia,Resident_Evil_4,daily,2015-07-28,all-access,all-agents,1298
en.wikipedia,Resident_Evil_4,daily,2015-07-29,all-access,all-agents,1171
en.wikipedia,Resident_Evil_4,daily,2015-07-30,all-access,all-agents,1232
en.wikipedia,Resident_Evil_4,daily,2015-07-31,all-access,all-agents,1134
en.wikipedia,Resident_Evil_4,daily,2015-08-01,all-access,all-agents,1137
en.wikipedia,Resident_Evil_4,daily,2015-08-02,all-access,all-agents,1309
en.wikipedia,Resident_Evil_4,daily,2015-08-03,all-access,all-agents,1119
en.wikipedia,Resident_Evil_4,daily,2015-08-04,all-access,all-agents,1267
en.wikipedia,Resident_Evil_4,daily,2015-08-05,all-access,all-agents,1199
en.wikipedia,Resident_Evil_4,daily,2015-08-06,all-access,all-agents,1078
en.wikipedia,Resident_Evil_4,daily,2015-08-07,all-access,all-agents,1162
en.wikipedia,Resident_Evil_4,daily,2015-08-08,all-access,all-agents,1363
en.wikipedia,Resident_Evil_4,daily,2015-08-09,all-access,all-agents,1385
en.wikipedia,Resident_Evil_4,daily,2015-08-10,all-access,all-agents,1187
en.wikipedia,Resident_Evil_4,daily,2015-08-11,all-access,all-agents,1250
en.wikipedia,Resident_Evil_4,daily,2015-08-12,all-access,all-agents,1569
en.wikipedia,Resident_Evil_4,daily,2015-08-13,all-access,all-agents,1532
en.wikipedia,Resident_Evil_4,daily,2015-08-14,all-access,all-agents,1510
en.wikipedia,Resident_Evil_4,daily,2015-08-15,all-access,all-agents,1526
en.wikipedia,Resident_Evil_4,daily,2015-08-16,all-access,all-agents,1584
en.wikipedia,Resident_Evil_4,daily,2015-08-17,all-access,all-agents,1546
en.wikipedia,Resident_Evil_4,daily,2015-08-18,all-access,all-agents,1923
en.wikipedia,Resident_Evil_4,daily,2015-08-19,all-access,all-agents,1658
en.wikipedia,Resident_Evil_4,daily,2015-08-20,all-access,all-agents,2037
en.wikipedia,Resident_Evil_4,daily,2015-08-21,all-access,all-agents,2079
en.wikipedia,Resident_Evil_4,daily,2015-08-22,all-access,all-agents,2493
en.wikipedia,Resident_Evil_4,daily,2015-08-23,all-access,all-agents,2802
en.wikipedia,Resident_Evil_4,daily,2015-08-24,all-access,all-agents,3040
en.wikipedia,Resident_Evil_4,daily,2015-08-25,all-access,all-agents,2577
en.wikipedia,Resident_Evil_4,daily,2015-08-26,all-access,all-agents,2745
en.wikipedia,Resident_Evil_4,daily,2015-08-27,all-access,all-agents,2400
en.wikipedia,Resident_Evil_4,daily,2015-08-28,all-access,all-agents,2133
en.wikipedia,Resident_Evil_4,daily,2015-08-29,all-access,all-agents,2882
en.wikipedia,Resident_Evil_4,daily,2015-08-30,all-access,all-agents,2981
en.wikipedia,Resident_Evil_4,daily,2015-08-31,all-access,all-agents,2568
en.wikipedia,Resident_Evil_4,daily,2015-09-01,all-access,all-agents,2398
en.wikipedia,Resident_Evil_4,daily,2015-09-02,all-access,all-agents,2616
en.wikipedia,Resident_Evil_4,daily,2015-09-03,all-access,all-agents,2317
en.wikipedia,Resident_Evil_4,daily,2015-09-04,all-access,all-agents,1780
en.wikipedia,Resident_Evil_4,daily,2015-09-05,all-access,all-agents,3061
en.wikipedia,Resident_Evil_4,daily,2015-09-06,all-access,all-agents,2581
en.wikipedia,Resident_Evil_4,daily,2015-09-07,all-access,all-agents,2448
en.wikipedia,Resident_Evil_4,daily,2015-09-08,all-access,all-agents,2635
en.wikipedia,Resident_Evil_4,daily,2015-09-09,all-access,all-agents,3124
en.wikipedia,Resident_Evil_4,daily,2015-09-10,all-access,all-agents,2717
en.wikipedia,Resident_Evil_4,daily,2015-09-11,all-access,all-agents,2540
en.wikipedia,Resident_Evil_4,daily,2015-09-12,all-access,all-agents,1954
en.wikipedia,Resident_Evil_4,daily,2015-09-13,all-access,all-agents,1661
en.wikipedia,Resident_Evil_4,daily,2015-09-14,all-access,all-agents,1191
en.wikipedia,Resident_Evil_4,daily,2015-09-15,all-access,all-agents,1476
en.wikipedia,Resident_Evil_4,daily,2015-09-16,all-access,all-agents,1449
en.wikipedia,Resident_Evil_4,daily,2015-09-17,all-access,all-agents,1134
en.wikipedia,Resident_Evil_4,daily,2015-09-18,all-access,all-agents,1346
en.wikipedia,Resident_Evil_4,daily,2015-09-19,all-access,all-agents,1720
en.wikipedia,Resident_Evil_4,daily,2015-09-20,all-access,all-agents,2233
en.wikipedia,Resident_Evil_4,daily,2015-09-21,all-access,all-agents,2050
en.wikipedia,Resident_Evil_4,daily,2015-09-22,all-access,all-agents,2200
en.wikipedia,Resident_Evil_4,daily,2015-09-23,all-access,all-agents,2472
en.wikipedia,Resident_Evil_4,daily,2015-09-24,all-access,all-agents,2538
en.wikipedia,Resident_Evil_4,daily,2015-09-25,all-access,all-agents,1912
en.wikipedia,Resident_Evil_4,daily,2015-09-26,all-access,all-agents,1552
en.wikipedia,Resident_Evil_4,daily,2015-09-27,all-access,all-agents,1212
en.wikipedia,Resident_Evil_4,daily,2015-09-28,all-access,all-agents,1313
en.wikipedia,Resident_Evil_4,daily,2015-09-29,all-access,all-agents,1085
en.wikipedia,Resident_Evil_4,daily,2015-09-30,all-access,all-agents,1111
en.wikipedia,Resident_Evil_4,daily,2015-10-01,all-access,all-agents,1136
en.wikipedia,Resident_Evil_4,daily,2015-10-02,all-access,all-agents,1158
en.wikipedia,Resident_Evil_4,daily,2015-10-03,all-access,all-agents,1184
en.wikipedia,Resident_Evil_4,daily,2015-10-04,all-access,all-agents,1621
en.wikipedia,Resident_Evil_4,daily,2015-10-05,all-access,all-agents,2960
en.wikipedia,Resident_Evil_4,daily,2015-10-06,all-access,all-agents,2339
en.wikipedia,Resident_Evil_4,daily,2015-10-07,all-access,all-agents,2506
en.wikipedia,Resident_Evil_4,daily,2015-10-08,all-access,all-agents,1925
en.wikipedia,Resident_Evil_4,daily,2015-10-09,all-access,all-agents,2203
en.wikipedia,Resident_Evil_4,daily,2015-10-10,all-access,all-agents,2224
