project,article,granularity,timestamp,access,agent,views
en.wikipedia,Rocket_League,daily,2015-07-01,all-access,all-agents,3284
en.wikipedia,Rocket_League,daily,2015-07-02,all-access,all-agents,3408
en.wikipedia,Rocket_League,daily,2015-07-03,all-access,all-agents,2134
en.wikipedia,Rocket_League,daily,2015-07-04,all-access,all-agents,1808
en.wikipedia,Rocket_League,daily,2015-07-05,all-access,all-agents,1591
en.wikipedia,Rocket_League,daily,2015-07-06,all-access,all-agents,2918
en.wikipedia,Rocket_League,daily,2015-07-07,all-access,all-agents,7304
en.wikipedia,Rocket_League,daily,2015-07-08,all-access,all-agents,6076
en.wikipedia,Rocket_League,daily,2015-07-09,all-access,all-agents,6640
en.wikipedia,Rocket_League,daily,2015-07-10,all-access,all-agents,7045
en.wikipedia,Rocket_League,daily,2015-07-11,all-access,all-agents,9349
en.wikipedia,Rocket_League,daily,2015-07-12,all-access,all-agents,11616
en.wikipedia,Rocket_League,daily,2015-07-13,all-access,all-agents,12480
en.wikipedia,Rocket_League,daily,2015-07-14,all-access,all-agents,12753
en.wikipedia,Rocket_League,daily,2015-07-15,all-access,all-agents,12445
en.wikipedia,Rocket_League,daily,2015-07-16,all-access,all-agents,11129
en.wikipedia,Rocket_League,daily,2015-07-17,all-access,all-agents,9657
en.wikipedia,Rocket_League,daily,2015-07-18,all-access,all-agents,12078
en.wikipedia,Rocket_League,daily,2015-07-19,all-access,all-agents,11640
en.wikipedia,Rocket_League,daily,2015-07-20,all-access,all-agents,16348
en.wikipedia,Rocket_League,daily,2015-07-21,all-access,all-agents,11768
en.wikipedia,Rocket_League,daily,2015-07-22,all-access,all-agents,11504
en.wikipedia,Rocket_League,daily,2015-07-23,all-access,all-agents,11424
en.wikipedia,Rocket_League,daily,2015-07-24,all-access,all-agents,10341
en.wikipedia,Rocket_League,daily,2015-07-25,all-access,all-agents,8453
en.wikipedia,Rocket_League,daily,2015-07-26,all-access,all-agents,8412
en.wikipedia,Rocket_League,daily,2015-07-27,all-access,all-agents,9012
en.wikipedia,Rocket_League,daily,2015-07-28,all-access,all-agents,8574
en.wikipedia,Rocket_League,daily,2015-07-29,all-access,all-agents,9152
en.wikipedia,Rocket_League,daily,2015-07-30,all-access,all-agents,10176
en.wikipedia,Rocket_League,daily,2015-07-31,all-access,all-agents,7384
en.wikipedia,Rocket_League,daily,2015-08-01,all-access,all-agents,6849
en.wikipedia,Rocket_League,daily,2015-08-02,all-access,all-agents,7158
en.wikipedia,Rocket_League,daily,2015-08-03,all-access,all-agents,6631
en.wikipedia,Rocket_League,daily,2015-08-04,all-access,all-agents,7454
en.wikipedia,Rocket_League,daily,2015-08-05,all-access,all-agents,5837
en.wikipedia,Rocket_League,daily,2015-08-06,all-access,all-agents,4928
