project,article,granularity,timestamp,access,agent,views
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-01,all-access,all-agents,1411
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-02,all-access,all-agents,1515
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-03,all-access,all-agents,1463
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-04,all-access,all-agents,1547
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-05,all-access,all-agents,1596
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-06,all-access,all-agents,1659
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-07,all-access,all-agents,2088
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-08,all-access,all-agents,1517
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-09,all-access,all-agents,1457
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-10,all-access,all-agents,1373
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-11,all-access,all-agents,1282
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-12,all-access,all-agents,1427
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-13,all-access,all-agents,1367
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-14,all-access,all-agents,1423
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-15,all-access,all-agents,1254
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-16,all-access,all-agents,1392
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-17,all-access,all-agents,1277
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-18,all-access,all-agents,1422
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-19,all-access,all-agents,1540
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-20,all-access,all-agents,1588
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-21,all-access,all-agents,1393
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-22,all-access,all-agents,1532
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-23,all-access,all-agents,1504
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-24,all-access,all-agents,1449
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-25,all-access,all-agents,1405
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-26,all-access,all-agents,1292
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-27,all-access,all-agents,1436
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-28,all-access,all-agents,1479
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-29,all-access,all-agents,1440
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-30,all-access,all-agents,1367
en.wikipedia,Shadow_of_the_Colossus,daily,2015-07-31,all-access,all-agents,1206
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-01,all-access,all-agents,3793
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-02,all-access,all-agents,1486
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-03,all-access,all-agents,1299
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-04,all-access,all-agents,1408
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-05,all-access,all-agents,1469
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-06,all-access,all-agents,1385
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-07,all-access,all-agents,2635
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-08,all-access,all-agents,3112
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-09,all-access,all-agents,2136
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-10,all-access,all-agents,1818
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-11,all-access,all-agents,1553
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-12,all-access,all-agents,2519
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-13,all-access,all-agents,2593
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-14,all-access,all-agents,1883
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-15,all-access,all-agents,1639
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-16,all-access,all-agents,2189
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-17,all-access,all-agents,2558
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-18,all-access,all-agents,1819
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-19,all-access,all-agents,1882
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-20,all-access,all-agents,1614
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-21,all-access,all-agents,1716
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-22,all-access,all-agents,1893
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-23,all-access,all-agents,1605
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-24,all-access,all-agents,1542
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-25,all-access,all-agents,1307
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-26,all-access,all-agents,1279
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-27,all-access,all-agents,1164
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-28,all-access,all-agents,1374
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-29,all-access,all-agents,1598
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-30,all-access,all-agents,2764
en.wikipedia,Shadow_of_the_Colossus,daily,2015-08-31,all-access,all-agents,1514
en.wikipedia,Shadow_of_the_Colossus,daily,2015-09-01,all-access,all-agents,1415
en.wikipedia,Shadow_of_the_Colossus,daily,2015-09-02,all-access,all-agents,1491
en.wikipedia,Shadow_of_the_Colossus,daily,2015-09-03,all-access,all-agents,1570
en.wikipedia,Shadow_of_the_Colossus,daily,2015-09-04,all-access,all-agents,1315
en.wikipedia,Shadow_of_the_Colossus,daily,2015-09-05,all-access,all-agents,4737
en.wikipedia,Shadow_of_the_Colossus,daily,2015-09-06,all-access,all-agents,2287
en.wikipedia,Shadow_of_the_Colossus,daily,2015-09-07,all-access,all-agents,1886
en.wikipedia,Shadow_of_the_Colossus,daily,2015-09-08,all-access,all-agents,1547
en.wikipedia,Shadow_of_the_Colossus,daily,2015-09-09,all-access,all-agents,1373
en.wikipedia,Shadow_of_the_Colossus,daily,2015-09-10,all-access,all-agents,2009
en.wikipedia,Shadow_of_the_Colossus,daily,2015-09-11,all-access,all-agents,2751
en.wikipedia,Shadow_of_the_Colossus,daily,2015-09-12,all-access,all-agents,1892
en.wikipedia,Shadow_of_the_Colossus,daily,2015-09-13,all-access,all-agents,1843
en.wikipedia,Shadow_of_the_Colossus,daily,2015-09-14,all-access,all-agents,1547
en.wikipedia,Shadow_of_the_Colossus,daily,2015-09-15,all-access,all-agents,1406
en.wikipedia,Shadow_of_the_Colossus,daily,2015-09-16,all-access,all-agents,1533
en.wikipedia,Shadow_of_the_Colossus,daily,2015-09-17,all-access,all-agents,1943
en.wikipedia,Shadow_of_the_Colossus,daily,2015-09-18,all-access,all-agents,1421
en.wikipedia,Shadow_of_the_Colossus,daily,2015-09-19,all-access,all-agents,1385
