project,article,granularity,timestamp,access,agent,views
en.wikipedia,Stardew_Valley,daily,2016-01-03,all-access,all-agents,2
en.wikipedia,Stardew_Valley,daily,2016-01-04,all-access,all-agents,1
en.wikipedia,Stardew_Valley,daily,2016-01-05,all-access,all-agents,2
en.wikipedia,Stardew_Valley,daily,2016-01-06,all-access,all-agents,1
en.wikipedia,Stardew_Valley,daily,2016-01-11,all-access,all-agents,1
en.wikipedia,Stardew_Valley,daily,2016-01-12,all-access,all-agents,1
en.wikipedia,Stardew_Valley,daily,2016-01-15,all-access,all-agents,1
en.wikipedia,Stardew_Valley,daily,2016-01-19,all-access,all-agents,1
en.wikipedia,Stardew_Valley,daily,2016-01-20,all-access,all-agents,1
en.wikipedia,Stardew_Valley,daily,2016-01-23,all-access,all-agents,1
en.wikipedia,Stardew_Valley,daily,2016-01-24,all-access,all-agents,1
en.wikipedia,Stardew_Valley,daily,2016-01-25,all-access,all-agents,2
en.wikipedia,Stardew_Valley,daily,2016-01-29,all-access,all-agents,5
en.wikipedia,Stardew_Valley,daily,2016-01-30,all-access,all-agents,57
en.wikipedia,Stardew_Valley,daily,2016-01-31,all-access,all-agents,71
en.wikipedia,Stardew_Valley,daily,2016-02-01,all-access,all-agents,60
en.wikipedia,Stardew_Valley,daily,2016-02-02,all-access,all-agents,56
en.wikipedia,Stardew_Valley,daily,2016-02-03,all-access,all-agents,55
en.wikipedia,Stardew_Valley,daily,2016-02-04,all-access,all-agents,61
en.wikipedia,Stardew_Valley,daily,2016-02-05,all-access,all-agents,38
en.wikipedia,Stardew_Valley,daily,2016-02-06,all-access,all-agents,51
en.wikipedia,Stardew_Valley,daily,2016-02-07,all-access,all-agents,50
en.wikipedia,Stardew_Valley,daily,2016-02-08,all-access,all-agents,58
en.wikipedia,Stardew_Valley,daily,2016-02-09,all-access,all-agents,63
en.wikipedia,Stardew_Valley,daily,2016-02-10,all-access,all-agents,59
en.wikipedia,Stardew_Valley,daily,2016-02-11,all-access,all-agents,44
en.wikipedia,Stardew_Valley,daily,2016-02-12,all-access,all-agents,57
en.wikipedia,Stardew_Valley,daily,2016-02-13,all-access,all-agents,49
en.wikipedia,Stardew_Valley,daily,2016-02-14,all-access,all-agents,47
en.wikipedia,Stardew_Valley,daily,2016-02-15,all-access,all-agents,62
en.wikipedia,Stardew_Valley,daily,2016-02-16,all-access,all-agents,57
en.wikipedia,Stardew_Valley,daily,2016-02-17,all-access,all-agents,59
en.wikipedia,Stardew_Valley,daily,2016-02-18,all-access,all-agents,56
en.wikipedia,Stardew_Valley,daily,2016-02-19,all-access,all-agents,53
en.wikipedia,Stardew_Valley,daily,2016-02-20,all-access,all-agents,57
en.wikipedia,Stardew_Valley,daily,2016-02-21,all-access,all-agents,77
en.wikipedia,Stardew_Valley,daily,2016-02-22,all-access,all-agents,83
en.wikipedia,Stardew_Valley,daily,2016-02-23,all-access,all-agents,99
en.wikipedia,Stardew_Valley,daily,2016-02-24,all-access,all-agents,98
en.wikipedia,Stardew_Valley,daily,2016-02-25,all-access,all-agents,139
en.wikipedia,Stardew_Valley,daily,2016-02-26,all-access,all-agents,217
en.wikipedia,Stardew_Valley,daily,2016-02-27,all-access,all-agents,189
en.wikipedia,Stardew_Valley,daily,2016-02-28,all-access,all-agents,190
en.wikipedia,Stardew_Valley,daily,2016-02-29,all-access,all-agents,264
en.wikipedia,Stardew_Valley,daily,2016-03-01,all-access,all-agents,298
en.wikipedia,Stardew_Valley,daily,2016-03-02,all-access,all-agents,1489
en.wikipedia,Stardew_Valley,daily,2016-03-03,all-access,all-agents,1701
en.wikipedia,Stardew_Valley,daily,2016-03-04,all-access,all-agents,1249
en.wikipedia,Stardew_Valley,daily,2016-03-05,all-access,all-agents,1969
en.wikipedia,Stardew_Valley,daily,2016-03-06,all-access,all-agents,1464
en.wikipedia,Stardew_Valley,daily,2016-03-07,all-access,all-agents,1613
en.wikipedia,Stardew_Valley,daily,2016-03-08,all-access,all-agents,1926
en.wikipedia,Stardew_Valley,daily,2016-03-09,all-access,all-agents,2068
