project,article,granularity,timestamp,access,agent,views
en.wikipedia,Super_Mario_Odyssey,daily,2017-01-13,all-access,all-agents,18912
en.wikipedia,Super_Mario_Odyssey,daily,2017-01-14,all-access,all-agents,9474
en.wikipedia,Super_Mario_Odyssey,daily,2017-01-15,all-access,all-agents,6193
en.wikipedia,Super_Mario_Odyssey,daily,2017-01-16,all-access,all-agents,4969
en.wikipedia,Super_Mario_Odyssey,daily,2017-01-17,all-access,all-agents,6838
en.wikipedia,Super_Mario_Odyssey,daily,2017-01-18,all-access,all-agents,7398
en.wikipedia,Super_Mario_Odyssey,daily,2017-01-19,all-access,all-agents,6951
en.wikipedia,Super_Mario_Odyssey,daily,2017-01-20,all-access,all-agents,4067
en.wikipedia,Super_Mario_Odyssey,daily,2017-01-21,all-access,all-agents,3321
en.wikipedia,Super_Mario_Odyssey,daily,2017-01-22,all-access,all-agents,3490
en.wikipedia,Super_Mario_Odyssey,daily,2017-01-23,all-access,all-agents,2959
en.wikipedia,Super_Mario_Odyssey,daily,2017-01-24,all-access,all-agents,2705
en.wikipedia,Super_Mario_Odyssey,daily,2017-01-25,all-access,all-agents,2673
en.wikipedia,Super_Mario_Odyssey,daily,2017-01-26,all-access,all-agents,2303
en.wikipedia,Super_Mario_Odyssey,daily,2017-01-27,all-access,all-agents,2078
en.wikipedia,Super_Mario_Odyssey,daily,2017-01-28,all-access,all-agents,2124
en.wikipedia,Super_Mario_Odyssey,daily,2017-01-29,all-access,all-agents,2085
en.wikipedia,Super_Mario_Odyssey,daily,2017-01-30,all-access,all-agents,2186
en.wikipedia,Super_Mario_Odyssey,daily,2017-01-31,all-access,all-agents,2233
en.wikipedia,Super_Mario_Odyssey,daily,2017-02-01,all-access,all-agents,2167
en.wikipedia,Super_Mario_Odyssey,daily,2017-02-02,all-access,all-agents,2074
en.wikipedia,Super_Mario_Odyssey,daily,2017-02-03,all-access,all-agents,2035
en.wikipedia,Super_Mario_Odyssey,daily,2017-02-04,all-access,all-agents,2309
en.wikipedia,Super_Mario_Odyssey,daily,2017-02-05,all-access,all-agents,2333
en.wikipedia,Super_Mario_Odyssey,daily,2017-02-06,all-access,all-agents,1973
en.wikipedia,Super_Mario_Odyssey,daily,2017-02-07,all-access,all-agents,1597
en.wikipedia,Super_Mario_Odyssey,daily,2017-02-08,all-access,all-agents,1629
en.wikipedia,Super_Mario_Odyssey,daily,2017-02-09,all-access,all-agents,1769
en.wikipedia,Super_Mario_Odyssey,daily,2017-02-10,all-access,all-agents,1739
en.wikipedia,Super_Mario_Odyssey,daily,2017-02-11,all-access,all-agents,1699
en.wikipedia,Super_Mario_Odyssey,daily,2017-02-12,all-access,all-agents,1883
en.wikipedia,Super_Mario_Odyssey,daily,2017-02-13,all-access,all-agents,1772
en.wikipedia,Super_Mario_Odyssey,daily,2017-02-14,all-access,all-agents,1708
en.wikipedia,Super_Mario_Odyssey,daily,2017-02-15,all-access,all-agents,1717
en.wikipedia,Super_Mario_Odyssey,daily,2017-02-16,all-access,all-agents,1969
