project,article,granularity,timestamp,access,agent,views
en.wikipedia,The_Last_of_Us,daily,2015-07-01,all-access,all-agents,9405
en.wikipedia,The_Last_of_Us,daily,2015-07-02,all-access,all-agents,7138
en.wikipedia,The_Last_of_Us,daily,2015-07-03,all-access,all-agents,6474
en.wikipedia,The_Last_of_Us,daily,2015-07-04,all-access,all-agents,6768
en.wikipedia,The_Last_of_Us,daily,2015-07-05,all-access,all-agents,6852
en.wikipedia,The_Last_of_Us,daily,2015-07-06,all-access,all-agents,7579
en.wikipedia,The_Last_of_Us,daily,2015-07-07,all-access,all-agents,7341
en.wikipedia,The_Last_of_Us,daily,2015-07-08,all-access,all-agents,6664
en.wikipedia,The_Last_of_Us,daily,2015-07-09,all-access,all-agents,6310
en.wikipedia,The_Last_of_Us,daily,2015-07-10,all-access,all-agents,5995
en.wikipedia,The_Last_of_Us,daily,2015-07-11,all-access,all-agents,5874
en.wikipedia,The_Last_of_Us,daily,2015-07-12,all-access,all-agents,6690
en.wikipedia,The_Last_of_Us,daily,2015-07-13,all-access,all-agents,6932
en.wikipedia,The_Last_of_Us,daily,2015-07-14,all-access,all-agents,6802
en.wikipedia,The_Last_of_Us,daily,2015-07-15,all-access,all-agents,6873
en.wikipedia,The_Last_of_Us,daily,2015-07-16,all-access,all-agents,6741
en.wikipedia,The_Last_of_Us,daily,2015-07-17,all-access,all-agents,5846
en.wikipedia,The_Last_of_Us,daily,2015-07-18,all-access,all-agents,5789
en.wikipedia,The_Last_of_Us,daily,2015-07-19,all-access,all-agents,6799
en.wikipedia,The_Last_of_Us,daily,2015-07-20,all-access,all-agents,6519
en.wikipedia,The_Last_of_Us,daily,2015-07-21,all-access,all-agents,6787
en.wikipedia,The_Last_of_Us,daily,2015-07-22,all-access,all-agents,6195
en.wikipedia,The_Last_of_Us,daily,2015-07-23,all-access,all-agents,6095
en.wikipedia,The_Last_of_Us,daily,2015-07-24,all-access,all-agents,5458
en.wikipedia,The_Last_of_Us,daily,2015-07-25,all-access,all-agents,5355
en.wikipedia,The_Last_of_Us,daily,2015-07-26,all-access,all-agents,6593
en.wikipedia,The_Last_of_Us,daily,2015-07-27,all-access,all-agents,6364
en.wikipedia,The_Last_of_Us,daily,2015-07-28,all-access,all-agents,6486
en.wikipedia,The_Last_of_Us,daily,2015-07-29,all-access,all-agents,6768
en.wikipedia,The_Last_of_Us,daily,2015-07-30,all-access,all-agents,5804
en.wikipedia,The_Last_of_Us,daily,2015-07-31,all-access,all-agents,5419
en.wikipedia,The_Last_of_Us,daily,2015-08-01,all-access,all-agents,5674
en.wikipedia,The_Last_of_Us,daily,2015-08-02,all-access,all-agents,6772
en.wikipedia,The_Last_of_Us,daily,2015-08-03,all-access,all-agents,5527
en.wikipedia,The_Last_of_Us,daily,2015-08-04,all-access,all-agents,6007
en.wikipedia,The_Last_of_Us,daily,2015-08-05,all-access,all-agents,5969
en.wikipedia,The_Last_of_Us,daily,2015-08-06,all-access,all-agents,5234
en.wikipedia,The_Last_of_Us,daily,2015-08-07,all-access,all-agents,5348
en.wikipedia,The_Last_of_Us,daily,2015-08-08,all-access,all-agents,5156
en.wikipedia,The_Last_of_Us,daily,2015-08-09,all-access,all-agents,6003
en.wikipedia,The_Last_of_Us,daily,2015-08-10,all-access,all-agents,5862
en.wikipedia,The_Last_of_Us,daily,2015-08-11,all-access,all-agents,6151
en.wikipedia,The_Last_of_Us,daily,2015-08-12,all-access,all-agents,5776
en.wikipedia,The_Last_of_Us,daily,2015-08-13,all-access,all-agents,5453
en.wikipedia,The_Last_of_Us,daily,2015-08-14,all-access,all-agents,5448
en.wikipedia,The_Last_of_Us,daily,2015-08-15,all-access,all-agents,5312
en.wikipedia,The_Last_of_Us,daily,2015-08-16,all-access,all-agents,5909
en.wikipedia,The_Last_of_Us,daily,2015-08-17,all-access,all-agents,5816
en.wikipedia,The_Last_of_Us,daily,2015-08-18,all-access,all-agents,5580
en.wikipedia,The_Last_of_Us,daily,2015-08-19,all-access,all-agents,5644
en.wikipedia,The_Last_of_Us,daily,2015-08-20,all-access,all-agents,5438
en.wikipedia,The_Last_of_Us,daily,2015-08-21,all-access,all-agents,5322
en.wikipedia,The_Last_of_Us,daily,2015-08-22,all-access,all-agents,5141
en.wikipedia,The_Last_of_Us,daily,2015-08-23,all-access,all-agents,5646
en.wikipedia,The_Last_of_Us,daily,2015-08-24,all-access,all-agents,5728
en.wikipedia,The_Last_of_Us,daily,2015-08-25,all-access,all-agents,5599
en.wikipedia,The_Last_of_Us,daily,2015-08-26,all-access,all-agents,5454
en.wikipedia,The_Last_of_Us,daily,2015-08-27,all-access,all-agents,5663
en.wikipedia,The_Last_of_Us,daily,2015-08-28,all-access,all-agents,5522
en.wikipedia,The_Last_of_Us,daily,2015-08-29,all-access,all-agents,5525
en.wikipedia,The_Last_of_Us,daily,2015-08-30,all-access,all-agents,6417
en.wikipedia,The_Last_of_Us,daily,2015-08-31,all-access,all-agents,6141
en.wikipedia,The_Last_of_Us,daily,2015-09-01,all-access,all-agents,5508
en.wikipedia,The_Last_of_Us,daily,2015-09-02,all-access,all-agents,5548
en.wikipedia,The_Last_of_Us,daily,2015-09-03,all-access,all-agents,5369
en.wikipedia,The_Last_of_Us,daily,2015-09-04,all-access,all-agents,5328
en.wikipedia,The_Last_of_Us,daily,2015-09-05,all-access,all-agents,5974
en.wikipedia,The_Last_of_Us,daily,2015-09-06,all-access,all-agents,6280
en.wikipedia,The_Last_of_Us,daily,2015-09-07,all-access,all-agents,6631
en.wikipedia,The_Last_of_Us,daily,2015-09-08,all-access,all-agents,5823
en.wikipedia,The_Last_of_Us,daily,2015-09-09,all-access,all-agents,5476
en.wikipedia,The_Last_of_Us,daily,2015-09-10,all-access,all-agents,5729
en.wikipedia,The_Last_of_Us,daily,2015-09-11,all-access,all-agents,5079
en.wikipedia,The_Last_of_Us,daily,2015-09-12,all-access,all-agents,5212
en.wikipedia,The_Last_of_Us,daily,2015-09-13,all-access,all-agents,8010
en.wikipedia,The_Last_of_Us,daily,2015-09-14,all-access,all-agents,7429
en.wikipedia,The_Last_of_Us,daily,2015-09-15,all-access,all-agents,5823
en.wikipedia,The_Last_of_Us,daily,2015-09-16,all-access,all-agents,6872
en.wikipedia,The_Last_of_Us,daily,2015-09-17,all-access,all-agents,6044
en.wikipedia,The_Last_of_Us,daily,2015-09-18,all-access,all-agents,5408
en.wikipedia,The_Last_of_Us,daily,2015-09-19,all-access,all-agents,5542
en.wikipedia,The_Last_of_Us,daily,2015-09-20,all-access,all-agents,6617
en.wikipedia,The_Last_of_Us,daily,2015-09-21,all-access,all-agents,6471
en.wikipedia,The_Last_of_Us,daily,2015-09-22,all-access,all-agents,5863
en.wikipedia,The_Last_of_Us,daily,2015-09-23,all-access,all-agents,6158
en.wikipedia,The_Last_of_Us,daily,2015-09-24,all-access,all-agents,6639
en.wikipedia,The_Last_of_Us,daily,2015-09-25,all-access,all-agents,6044
en.wikipedia,The_Last_of_Us,daily,2015-09-26,all-access,all-agents,5825
en.wikipedia,The_Last_of_Us,daily,2015-09-27,all-access,all-agents,6464
en.wikipedia,The_Last_of_Us,daily,2015-09-28,all-access,all-agents,6116
en.wikipedia,The_Last_of_Us,daily,2015-09-29,all-access,all-agents,5630
en.wikipedia,The_Last_of_Us,daily,2015-09-30,all-access,all-agents,5482
en.wikipedia,The_Last_of_Us,daily,2015-10-01,all-access,all-agents,4970
en.wikipedia,The_Last_of_Us,daily,2015-10-02,all-access,all-agents,5047
en.wikipedia,The_Last_of_Us,daily,2015-10-03,all-access,all-agents,5512
en.wikipedia,The_Last_of_Us,daily,2015-10-04,all-access,all-agents,6208
en.wikipedia,The_Last_of_Us,daily,2015-10-05,all-access,all-agents,5637
en.wikipedia,The_Last_of_Us,daily,2015-10-06,all-access,all-agents,5444
en.wikipedia,The_Last_of_Us,daily,2015-10-07,all-access,all-agents,5321
en.wikipedia,The_Last_of_Us,daily,2015-10-08,all-access,all-agents,5666
en.wikipedia,The_Last_of_Us,daily,2015-10-09,all-access,all-agents,5399
en.wikipedia,The_Last_of_Us,daily,2015-10-10,all-access,all-agents,5813
en.wikipedia,The_Last_of_Us,daily,2015-10-11,all-access,all-agents,6880
en.wikipedia,The_Last_of_Us,daily,2015-10-12,all-access,all-agents,6137
en.wikipedia,The_Last_of_Us,daily,2015-10-13,all-access,all-agents,6086
en.wikipedia,The_Last_of_Us,daily,2015-10-14,all-access,all-agents,5483
en.wikipedia,The_Last_of_Us,daily,2015-10-15,all-access,all-agents,5996
en.wikipedia,The_Last_of_Us,daily,2015-10-16,all-access,all-agents,5361
en.wikipedia,The_Last_of_Us,daily,2015-10-17,all-access,all-agents,5821
en.wikipedia,The_Last_of_Us,daily,2015-10-18,all-access,all-agents,6676
en.wikipedia,The_Last_of_Us,daily,2015-10-19,all-access,all-agents,6335
en.wikipedia,The_Last_of_Us,daily,2015-10-20,all-access,all-agents,5208
en.wikipedia,The_Last_of_Us,daily,2015-10-21,all-access,all-agents,4999
en.wikipedia,The_Last_of_Us,daily,2015-10-22,all-access,all-agents,5470
en.wikipedia,The_Last_of_Us,daily,2015-10-23,all-access,all-agents,5230
en.wikipedia,The_Last_of_Us,daily,2015-10-24,all-access,all-agents,5482
en.wikipedia,The_Last_of_Us,daily,2015-10-25,all-access,all-agents,5771
en.wikipedia,The_Last_of_Us,daily,2015-10-26,all-access,all-agents,5570
en.wikipedia,The_Last_of_Us,daily,2015-10-27,all-access,all-agents,5802
en.wikipedia,The_Last_of_Us,daily,2015-10-28,all-access,all-agents,5197
en.wikipedia,The_Last_of_Us,daily,2015-10-29,all-access,all-agents,4854
en.wikipedia,The_Last_of_Us,daily,2015-10-30,all-access,all-agents,4662
en.wikipedia,The_Last_of_Us,daily,2015-10-31,all-access,all-agents,4907
en.wikipedia,The_Last_of_Us,daily,2015-11-01,all-access,all-agents,5614
en.wikipedia,The_Last_of_Us,daily,2015-11-02,all-access,all-agents,5820
en.wikipedia,The_Last_of_Us,daily,2015-11-03,all-access,all-agents,5532
en.wikipedia,The_Last_of_Us,daily,2015-11-04,all-access,all-agents,5369
en.wikipedia,The_Last_of_Us,daily,2015-11-05,all-access,all-agents,5177
en.wikipedia,The_Last_of_Us,daily,2015-11-06,all-access,all-agents,5185
en.wikipedia,The_Last_of_Us,daily,2015-11-07,all-access,all-agents,5444
en.wikipedia,The_Last_of_Us,daily,2015-11-08,all-access,all-agents,6041
en.wikipedia,The_Last_of_Us,daily,2015-11-09,all-access,all-agents,5846
en.wikipedia,The_Last_of_Us,daily,2015-11-10,all-access,all-agents,5757
en.wikipedia,The_Last_of_Us,daily,2015-11-11,all-access,all-agents,5800
en.wikipedia,The_Last_of_Us,daily,2015-11-12,all-access,all-agents,5399
en.wikipedia,The_Last_of_Us,daily,2015-11-13,all-access,all-agents,5125
en.wikipedia,The_Last_of_Us,daily,2015-11-14,all-access,all-agents,5048
en.wikipedia,The_Last_of_Us,daily,2015-11-15,all-access,all-agents,5548
en.wikipedia,The_Last_of_Us,daily,2015-11-16,all-access,all-agents,5176
en.wikipedia,The_Last_of_Us,daily,2015-11-17,all-access,all-agents,4884
en.wikipedia,The_Last_of_Us,daily,2015-11-18,all-access,all-agents,5734
en.wikipedia,The_Last_of_Us,daily,2015-11-19,all-access,all-agents,6096
en.wikipedia,The_Last_of_Us,daily,2015-11-20,all-access,all-agents,5118
en.wikipedia,The_Last_of_Us,daily,2015-11-21,all-access,all-agents,5443
en.wikipedia,The_Last_of_Us,daily,2015-11-22,all-access,all-agents,5801
en.wikipedia,The_Last_of_Us,daily,2015-11-23,all-access,all-agents,5698
en.wikipedia,The_Last_of_Us,daily,2015-11-24,all-access,all-agents,5451
en.wikipedia,The_Last_of_Us,daily,2015-11-25,all-access,all-agents,5030
en.wikipedia,The_Last_of_Us,daily,2015-11-26,all-access,all-agents,5420
en.wikipedia,The_Last_of_Us,daily,2015-11-27,all-access,all-agents,6345
en.wikipedia,The_Last_of_Us,daily,2015-11-28,all-access,all-agents,6269
en.wikipedia,The_Last_of_Us,daily,2015-11-29,all-access,all-agents,6379
en.wikipedia,The_Last_of_Us,daily,2015-11-30,all-access,all-agents,6231
en.wikipedia,The_Last_of_Us,daily,2015-12-01,all-access,all-agents,5704
en.wikipedia,The_Last_of_Us,daily,2015-12-02,all-access,all-agents,5095
