project,article,granularity,timestamp,access,agent,views
en.wikipedia,Undertale,daily,2015-09-26,all-access,all-agents,1
en.wikipedia,Undertale,daily,2015-09-28,all-access,all-agents,613
en.wikipedia,Undertale,daily,2015-09-29,all-access,all-agents,1284
en.wikipedia,Undertale,daily,2015-09-30,all-access,all-agents,1191
en.wikipedia,Undertale,daily,2015-10-01,all-access,all-agents,1319
en.wikipedia,Undertale,daily,2015-10-02,all-access,all-agents,1591
en.wikipedia,Undertale,daily,2015-10-03,all-access,all-agents,1713
en.wikipedia,Undertale,daily,2015-10-04,all-access,all-agents,2100
en.wikipedia,Undertale,daily,2015-10-05,all-access,all-agents,2697
en.wikipedia,Undertale,daily,2015-10-06,all-access,all-agents,2459
en.wikipedia,Undertale,daily,2015-10-07,all-access,all-agents,2445
en.wikipedia,Undertale,daily,2015-10-08,all-access,all-agents,2315
en.wikipedia,Undertale,daily,2015-10-09,all-access,all-agents,1948
en.wikipedia,Undertale,daily,2015-10-10,all-access,all-agents,2111
en.wikipedia,Undertale,daily,2015-10-11,all-access,all-agents,3623
en.wikipedia,Undertale,daily,2015-10-12,all-access,all-agents,4447
en.wikipedia,Undertale,daily,2015-10-13,all-access,all-agents,3230
en.wikipedia,Undertale,daily,2015-10-14,all-access,all-agents,2960
en.wikipedia,Undertale,daily,2015-10-15,all-access,all-agents,2859
en.wikipedia,Undertale,daily,2015-10-16,all-access,all-agents,3299
en.wikipedia,Undertale,daily,2015-10-17,all-access,all-agents,3011
en.wikipedia,Undertale,daily,2015-10-18,all-access,all-agents,3637
en.wikipedia,Undertale,daily,2015-10-19,all-access,all-agents,4138
en.wikipedia,Undertale,daily,2015-10-20,all-access,all-agents,4095
en.wikipedia,Undertale,daily,2015-10-21,all-access,all-agents,3778
en.wikipedia,Undertale,daily,2015-10-22,all-access,all-agents,4116
en.wikipedia,Undertale,daily,2015-10-23,all-access,all-agents,4182
en.wikipedia,Undertale,daily,2015-10-24,all-access,all-agents,5272
en.wikipedia,Undertale,daily,2015-10-25,all-access,all-agents,7381
en.wikipedia,Undertale,daily,2015-10-26,all-access,all-agents,7441
en.wikipedia,Undertale,daily,2015-10-27,all-access,all-agents,6403
en.wikipedia,Undertale,daily,2015-10-28,all-access,all-agents,6773
en.wikipedia,Undertale,daily,2015-10-29,all-access,all-agents,6709
en.wikipedia,Undertale,daily,2015-10-30,all-access,all-agents,6526
en.wikipedia,Undertale,daily,2015-10-31,all-access,all-agents,7279
en.wikipedia,Undertale,daily,2015-11-01,all-access,all-agents,9291
en.wikipedia,Undertale,daily,2015-11-02,all-access,all-agents,10215
en.wikipedia,Undertale,daily,2015-11-03,all-access,all-agents,9738
en.wikipedia,Undertale,daily,2015-11-04,all-access,all-agents,11158
en.wikipedia,Undertale,daily,2015-11-05,all-access,all-agents,10827
en.wikipedia,Undertale,daily,2015-11-06,all-access,all-agents,9560
en.wikipedia,Undertale,daily,2015-11-07,all-access,all-agents,9336
en.wikipedia,Undertale,daily,2015-11-08,all-access,all-agents,10531
en.wikipedia,Undertale,daily,2015-11-09,all-access,all-agents,11357
en.wikipedia,Undertale,daily,2015-11-10,all-access,all-agents,10432
en.wikipedia,Undertale,daily,2015-11-11,all-access,all-agents,9752
en.wikipedia,Undertale,daily,2015-11-12,all-access,all-agents,8973
en.wikipedia,Undertale,daily,2015-11-13,all-access,all-agents,9294
en.wikipedia,Undertale,daily,2015-11-14,all-access,all-agents,9103
en.wikipedia,Undertale,daily,2015-11-15,all-access,all-agents,10831
en.wikipedia,Undertale,daily,2015-11-16,all-access,all-agents,9885
en.wikipedia,Undertale,daily,2015-11-17,all-access,all-agents,10138
en.wikipedia,Undertale,daily,2015-11-18,all-access,all-agents,9422
en.wikipedia,Undertale,daily,2015-11-19,all-access,all-agents,8567
en.wikipedia,Undertale,daily,2015-11-20,all-access,all-agents,8676
en.wikipedia,Undertale,daily,2015-11-21,all-access,all-agents,9453
en.wikipedia,Undertale,daily,2015-11-22,all-access,all-agents,10052
en.wikipedia,Undertale,daily,2015-11-23,all-access,all-agents,9869
en.wikipedia,Undertale,daily,2015-11-24,all-access,all-agents,10600
en.wikipedia,Undertale,daily,2015-11-25,all-access,all-agents,9857
en.wikipedia,Undertale,daily,2015-11-26,all-access,all-agents,8958
en.wikipedia,Undertale,daily,2015-11-27,all-access,all-agents,8589
en.wikipedia,Undertale,daily,2015-11-28,all-access,all-agents,9666
en.wikipedia,Undertale,daily,2015-11-29,all-access,all-agents,11339
en.wikipedia,Undertale,daily,2015-11-30,all-access,all-agents,11357
en.wikipedia,Undertale,daily,2015-12-01,all-access,all-agents,11369
en.wikipedia,Undertale,daily,2015-12-02,all-access,all-agents,11482
en.wikipedia,Undertale,daily,2015-12-03,all-access,all-agents,9923
en.wikipedia,Undertale,daily,2015-12-04,all-access,all-agents,13058
en.wikipedia,Undertale,daily,2015-12-05,all-access,all-agents,10680
en.wikipedia,Undertale,daily,2015-12-06,all-access,all-agents,11057
en.wikipedia,Undertale,daily,2015-12-07,all-access,all-agents,12740
en.wikipedia,Undertale,daily,2015-12-08,all-access,all-agents,13696
en.wikipedia,Undertale,daily,2015-12-09,all-access,all-agents,12435
en.wikipedia,Undertale,daily,2015-12-10,all-access,all-agents,10911
