project,article,granularity,timestamp,access,agent,views
en.wikipedia,World_of_Warcraft,daily,2015-07-01,all-access,all-agents,2510
en.wikipedia,World_of_Warcraft,daily,2015-07-02,all-access,all-agents,2754
en.wikipedia,World_of_Warcraft,daily,2015-07-03,all-access,all-agents,2814
en.wikipedia,World_of_Warcraft,daily,2015-07-04,all-access,all-agents,2394
en.wikipedia,World_of_Warcraft,daily,2015-07-05,all-access,all-agents,2643
en.wikipedia,World_of_Warcraft,daily,2015-07-06,all-access,all-agents,2881
en.wikipedia,World_of_Warcraft,daily,2015-07-07,all-access,all-agents,2984
en.wikipedia,World_of_Warcraft,daily,2015-07-08,all-access,all-agents,2818
en.wikipedia,World_of_Warcraft,daily,2015-07-09,all-access,all-agents,3129
en.wikipedia,World_of_Warcraft,daily,2015-07-10,all-access,all-agents,2782
en.wikipedia,World_of_Warcraft,daily,2015-07-11,all-access,all-agents,2774
en.wikipedia,World_of_Warcraft,daily,2015-07-12,all-access,all-agents,3283
en.wikipedia,World_of_Warcraft,daily,2015-07-13,all-access,all-agents,3159
en.wikipedia,World_of_Warcraft,daily,2015-07-14,all-access,all-agents,3170
en.wikipedia,World_of_Warcraft,daily,2015-07-15,all-access,all-agents,3128
en.wikipedia,World_of_Warcraft,daily,2015-07-16,all-access,all-agents,3508
en.wikipedia,World_of_Warcraft,daily,2015-07-17,all-access,all-agents,3419
en.wikipedia,World_of_Warcraft,daily,2015-07-18,all-access,all-agents,2936
en.wikipedia,World_of_Warcraft,daily,2015-07-19,all-access,all-agents,2822
en.wikipedia,World_of_Warcraft,daily,2015-07-20,all-access,all-agents,3216
en.wikipedia,World_of_Warcraft,daily,2015-07-21,all-access,all-agents,2992
en.wikipedia,World_of_Warcraft,daily,2015-07-22,all-access,all-agents,2761
en.wikipedia,World_of_Warcraft,daily,2015-07-23,all-access,all-agents,2903
en.wikipedia,World_of_Warcraft,daily,2015-07-24,all-access,all-agents,2597
en.wikipedia,World_of_Warcraft,daily,2015-07-25,all-access,all-agents,2581
en.wikipedia,World_of_Warcraft,daily,2015-07-26,all-access,all-agents,3100
en.wikipedia,World_of_Warcraft,daily,2015-07-27,all-access,all-agents,3040
en.wikipedia,World_of_Warcraft,daily,2015-07-28,all-access,all-agents,3108
en.wikipedia,World_of_Warcraft,daily,2015-07-29,all-access,all-agents,4177
en.wikipedia,World_of_Warcraft,daily,2015-07-30,all-access,all-agents,4268
en.wikipedia,World_of_Warcraft,daily,2015-07-31,all-access,all-agents,3610
en.wikipedia,World_of_Warcraft,daily,2015-08-01,all-access,all-agents,3202
en.wikipedia,World_of_Warcraft,daily,2015-08-02,all-access,all-agents,3675
en.wikipedia,World_of_Warcraft,daily,2015-08-03,all-access,all-agents,3458
en.wikipedia,World_of_Warcraft,daily,2015-08-04,all-access,all-agents,4522
en.wikipedia,World_of_Warcraft,daily,2015-08-05,all-access,all-agents,4862
en.wikipedia,World_of_Warcraft,daily,2015-08-06,all-access,all-agents,11889
en.wikipedia,World_of_Warcraft,daily,2015-08-07,all-access,all-agents,9445
en.wikipedia,World_of_Warcraft,daily,2015-08-08,all-access,all-agents,5486
en.wikipedia,World_of_Warcraft,daily,2015-08-09,all-access,all-agents,4824
en.wikipedia,World_of_Warcraft,daily,2015-08-10,all-access,all-agents,4509
en.wikipedia,World_of_Warcraft,daily,2015-08-11,all-access,all-agents,4512
en.wikipedia,World_of_Warcraft,daily,2015-08-12,all-access,all-agents,4361
en.wikipedia,World_of_Warcraft,daily,2015-08-13,all-access,all-agents,4014
en.wikipedia,World_of_Warcraft,daily,2015-08-14,all-access,all-agents,3555
en.wikipedia,World_of_Warcraft,daily,2015-08-15,all-access,all-agents,3269
en.wikipedia,World_of_Warcraft,daily,2015-08-16,all-access,all-agents,3527
en.wikipedia,World_of_Warcraft,daily,2015-08-17,all-access,all-agents,3585
en.wikipedia,World_of_Warcraft,daily,2015-08-18,all-access,all-agents,3568
en.wikipedia,World_of_Warcraft,daily,2015-08-19,all-access,all-agents,3414
en.wikipedia,World_of_Warcraft,daily,2015-08-20,all-access,all-agents,3150
en.wikipedia,World_of_Warcraft,daily,2015-08-21,all-access,all-agents,3017
en.wikipedia,World_of_Warcraft,daily,2015-08-22,all-access,all-agents,2975
en.wikipedia,World_of_Warcraft,daily,2015-08-23,all-access,all-agents,3135
en.wikipedia,World_of_Warcraft,daily,2015-08-24,all-access,all-agents,3198
