project,article,granularity,timestamp,access,agent,views
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-01,all-access,all-agents,1110
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-02,all-access,all-agents,1070
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-03,all-access,all-agents,1103
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-04,all-access,all-agents,1081
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-05,all-access,all-agents,1186
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-06,all-access,all-agents,1164
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-07,all-access,all-agents,1340
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-08,all-access,all-agents,1113
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-09,all-access,all-agents,1162
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-10,all-access,all-agents,1114
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-11,all-access,all-agents,1110
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-12,all-access,all-agents,1119
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-13,all-access,all-agents,1239
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-14,all-access,all-agents,1237
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-15,all-access,all-agents,1117
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-16,all-access,all-agents,1112
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-17,all-access,all-agents,1087
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-18,all-access,all-agents,1080
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-19,all-access,all-agents,1183
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-20,all-access,all-agents,1225
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-21,all-access,all-agents,1200
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-22,all-access,all-agents,1154
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-23,all-access,all-agents,1030
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-24,all-access,all-agents,1043
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-25,all-access,all-agents,1161
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-26,all-access,all-agents,1091
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-27,all-access,all-agents,1154
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-28,all-access,all-agents,1183
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-29,all-access,all-agents,1044
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-30,all-access,all-agents,1181
en.wikipedia,Xenoblade_Chronicles,daily,2015-07-31,all-access,all-agents,1050
en.wikipedia,Xenoblade_Chronicles,daily,2015-08-01,all-access,all-agents,1043
en.wikipedia,Xenoblade_Chronicles,daily,2015-08-02,all-access,all-agents,1106
en.wikipedia,Xenoblade_Chronicles,daily,2015-08-03,all-access,all-agents,965
en.wikipedia,Xenoblade_Chronicles,daily,2015-08-04,all-access,all-agents,998
en.wikipedia,Xenoblade_Chronicles,daily,2015-08-05,all-access,all-agents,1896
en.wikipedia,Xenoblade_Chronicles,daily,2015-08-06,all-access,all-agents,1588
en.wikipedia,Xenoblade_Chronicles,daily,2015-08-07,all-access,all-agents,1299
en.wikipedia,Xenoblade_Chronicles,daily,2015-08-08,all-access,all-agents,1325
en.wikipedia,Xenoblade_Chronicles,daily,2015-08-09,all-access,all-agents,1348
en.wikipedia,Xenoblade_Chronicles,daily,2015-08-10,all-access,all-agents,1217
en.wikipedia,Xenoblade_Chronicles,daily,2015-08-11,all-access,all-agents,1293
en.wikipedia,Xenoblade_Chronicles,daily,2015-08-12,all-access,all-agents,1321
en.wikipedia,Xenoblade_Chronicles,daily,2015-08-13,all-access,all-agents,1446
en.wikipedia,Xenoblade_Chronicles,daily,2015-08-14,all-access,all-agents,1475
en.wikipedia,Xenoblade_Chronicles,daily,2015-08-15,all-access,all-agents,1208
en.wikipedia,Xenoblade_Chronicles,daily,2015-08-16,all-access,all-agents,1147
