,links
0,Advance Wars: Days of Ruin
1,Advance Wars: Dual Strike
2,Advance Wars 1+2: Re-Boot Camp
3,Advance Wars 2: Black Hole Rising
4,AllGame
5,Alleyway (video game)
6,Australasia
7,Battalion Wars
8,Battalion Wars 2
9,Battle Clash
10,Code Name: S.T.E.A.M.
11,Comedy
12,Commanding officer
13,Computing platform
14,Console game
15,Costume design
16,Crashmo
17,Cubivore: Survival of the Fittest
18,De facto
19,Debugging
20,Devil World
21,Doppelganger
22,Dragon Hopper
23,Dragon Quest Wars
24,Duck Hunt
25,E3 (Electronic Entertainment Expo)
26,E3 2021
27,EP Daily
28,Eco Shooter: Plant 530
29,Edge (magazine)
30,Electronic Gaming Monthly
31,Eurogamer
32,Europe
33,Famicom Wars
34,Fire Emblem
35,Fire Emblem: Genealogy of the Holy War
36,Fire Emblem: Mystery of the Emblem
37,Fire Emblem: New Mystery of the Emblem
38,Fire Emblem: Path of Radiance
39,Fire Emblem: Radiant Dawn
40,Fire Emblem: Shadow Dragon
41,Fire Emblem: Shadow Dragon and the Blade of Light
42,Fire Emblem: The Binding Blade
43,Fire Emblem: The Blazing Blade
44,Fire Emblem: The Sacred Stones
45,Fire Emblem: Thracia 776
46,Fire Emblem: Three Houses
47,Fire Emblem Awakening
48,Fire Emblem Echoes: Shadows of Valentia
49,Fire Emblem Engage
50,Fire Emblem Fates
51,Fire Emblem Gaiden
52,Fire Emblem Heroes
53,Fire Emblem Warriors
54,Fog of war
55,Future plc
56,Galactic Pinball
57,GamePro
58,GameSpot
59,GameSpy
60,Game & Wario
61,Game Boy Advance
62,Game Boy Color
63,Game Boy Player
64,Game Boy Wars
65,Game Informer
66,Game mechanic
67,Game mechanics
68,Handheld game console
69,Health (game mechanic)
70,Helicopter
71,Hepburn romanization
72,Hogan's Alley (video game)
73,IGN
74,ISBN (identifier)
75,Infantry
76,Intelligent Systems
77,Japan
78,Japanese language
79,Julian Gollop
80,Kaeru no Tame ni Kane wa Naru
81,Kousoku Card Battle: Card Hero
82,Launch title
83,List of Wario video games
84,List of video games considered the best
85,Mario Kart: Super Circuit
86,Mario Paint
87,Metacritic
88,Metal Combat: Falcon's Revenge
89,Metal Gear Solid 2: Sons of Liberty
90,Metroid (video game)
91,MobyGames
92,Multiplayer video game
93,Nintendo
94,Nintendo DS
95,Nintendo Power
96,Nintendo Puzzle Collection
97,Nintendo Switch
98,North America
99,Novice
100,Official Nintendo Magazine
101,Pace (narrative)
102,Paper Mario
103,Paper Mario: Color Splash
104,Paper Mario: Sticker Star
105,Paper Mario: The Origami King
106,Paper Mario: The Thousand-Year Door
107,Paper Mario (video game)
108,Planet Puzzle League
109,Pokémon Puzzle Challenge
110,Product bundling
111,Pushmo
112,Pushmo World
113,Puzzle League
114,Rebelstar: Tactical Command
115,Review aggregator
116,Rhythm game
117,September 11 attacks
118,Shooter game
119,Shouzou Kaga
120,Single-player
121,Soccer (1985 video game)
122,Stretchmo
123,Super Famicom Wars
124,Super Game Boy
125,Super Metroid
126,Super Paper Mario
127,Tennis (1984 video game)
128,Tetris Attack
129,Tokyo Mirage Sessions ♯FE
130,Trade & Battle: Card Hero
131,Turn-based strategy
132,Turn-based tactics
133,Tutorial
134,Video game
135,Video game composer
136,Video game creative director
137,Video game developer
138,Video game genre
139,Video game producer
140,Video game publisher
141,"WarioWare, Inc.: Mega Party Games!"
142,WarioWare: Get It Together!
143,WarioWare: Smooth Moves
144,WarioWare: Snapped!
145,WarioWare: Touched!
146,WarioWare: Twisted!
147,WarioWare D.I.Y.
148,WarioWare Gold
149,Wars (series)
150,WayForward
151,Weather conditions
152,Wild Gunman
153,Wrecking Crew (video game)
154,X-COM (series)
155,Yakuman (video game)
156,Yuka Tsujiyoko
157,Template:Intelligent Systems
158,Template:Wars series
159,Template talk:Intelligent Systems
160,Template talk:Wars series
