,links
0,4Gamer.net
1,Amiibo
2,Android (operating system)
3,Animal Crossing: Amiibo Festival
4,Animal Crossing: City Folk
5,Animal Crossing: Happy Home Designer
6,Animal Crossing: New Horizons
7,Animal Crossing: New Leaf
8,Animal Crossing: Pocket Camp
9,Animal Crossing: Wild World
10,Animal Crossing (disambiguation)
11,Animal Crossing (video game)
12,Animal Crossing Plaza
13,Animal Talking with Gary Whitta
14,Anime
15,Anthropomorphism
16,Art Style
17,Autosave
18,Aya Kyogoku
19,Big Brain Academy
20,Bit Generations
21,BoxBoy!
22,Box office
23,Brain Age
24,CBS Interactive
25,CNET
26,COVID-19 pandemic
27,Characters in the Animal Crossing series
28,Chibi-Robo!
29,Cruis'n
30,Custom Robo
31,DeNA
32,Destructoid
33,Donkey Kong
34,Downloadable content
35,Dr. Mario (series)
36,Dōbutsu no Mori (film)
37,Dōbutsu no Mori e+
38,E3 2010
39,F-Zero
40,Famicom Detective Club
41,Famitsu
42,Film adaptation
43,Fire Emblem
44,Fossil Fighters
45,GameCube
46,GameSpot
47,GamesRadar+
48,Gekijōban Dōbutsu no Mori
49,Golden Sun
50,Hepburn romanization
51,Hisashi Nogami
52,IBT Media
53,IOS
54,IQue Player
55,ISSN (identifier)
56,International Business Times
57,Isabelle (Animal Crossing)
58,Iyashikei
59,Japanese language
60,Japanese raccoon dog
61,Japanese yen
62,K.K. Slider
63,Katsuya Eguchi
64,Kazumi Totaka
65,Kid Icarus (series)
66,Kirby (series)
67,Kotaku
68,Layoff
69,List of Animal Crossing media
70,List of best-selling video games
71,List of fastest-selling products
72,MBS (identifier)
73,Mario (franchise)
74,Mario Kart
75,Mario Kart 8
76,Mario Kart 8 Deluxe
77,Mario Party
78,Mario vs. Donkey Kong
79,Metacritic
80,Metroid
81,Mii
82,Monolith Soft
83,Monster Hunter 4 Ultimate
84,Mother (video game series)
85,Mr. Resetti
86,Music piracy
87,NDcube
88,Nintendo
89,Nintendo 3DS
90,Nintendo 64
91,Nintendo DS
92,Nintendo DSi
93,Nintendo Direct
94,Nintendo EAD
95,Nintendo Entertainment Planning & Development
96,Nintendo GameCube
97,Nintendo Land
98,Nintendo Switch
99,Nintendo Wi-Fi Connection
100,Nintendo e-Reader
101,Nintendo mobile games
102,Nonlinear gameplay
103,Nookazon
104,"OLM, Inc."
105,Online game
106,PC Magazine
107,Paper Mario
108,Party video game
109,Pikmin
110,Pilotwings
111,Player character
112,Pokémon (video game series)
113,Punch-Out!!
114,Puzzle League
115,Real time (media)
116,Satoru Iwata
117,Social commentary
118,Social distancing
119,Social simulation game
120,Soft launch
121,Splatoon
122,Star Fox
123,Stay-at-home order
124,Super Mario
125,Super Smash Bros.
126,Super Smash Bros. Brawl
127,Super Smash Bros. Ultimate
128,Super Smash Bros. for Nintendo 3DS and Wii U
129,Takashi Tezuka
130,TechRadar
131,The Game Awards 2020
132,The Legend of Zelda
133,The Legendary Starfy
134,Toho
135,Tom Nook
136,Touch! Generations
137,Video game
138,Video game console
139,Video game developer
140,Video game genre
141,Video game music
142,Video game publisher
143,Villager (Animal Crossing)
144,Virtual Console
145,WaraWara Plaza
146,WarioWare: Smooth Moves
147,Wario (series)
148,Wars (series)
149,Wii
150,Wii (video game series)
151,Wii Music
152,Wii Speak
153,Wii U
154,Xenoblade Chronicles
155,Yoshi (series)
156,Ziff Davis
157,Template:Animal Crossing
158,Template:Nintendo franchises
159,Template talk:Animal Crossing
160,Template talk:Nintendo franchises
161,Help:Authority control
162,Category:Articles containing potentially dated statements from March 2021
163,Category:Articles with GND identifiers
164,Category:Articles with MusicBrainz series identifiers
165,Category:Articles with NKC identifiers
166,Category:Use mdy dates from April 2020
167,Portal:Japan
168,Portal:Video games
