,links
0,1001 Video Games You Must Play Before You Die
1,1UP.com
2,1Up.com
3,300 (film)
4,ACII
5,ASCII
6,Abbot
7,Academy of Interactive Arts & Sciences
8,Action-adventure game
9,Adam and Eve
10,Alamut (Bartol novel)
11,Alexios and Kassandra
12,Altaïr Ibn-La'Ahad
13,Altaïr Ibn-LaʼAhad
14,Always-online DRM
15,American Revolution
16,Angela Galuppo
17,Anvil (game engine)
18,Apennine Mountains
19,Apostolic Palace
20,Armor
21,Arno Dorian
22,Assassin's Creed
23,Assassin's Creed: Altaïr's Chronicles
24,Assassin's Creed: Blade of Shao Jun
25,Assassin's Creed: Bloodlines
26,Assassin's Creed: Brahman
27,Assassin's Creed: Brotherhood
28,Assassin's Creed: Embers
29,Assassin's Creed: Lineage
30,Assassin's Creed: Revelations
31,Assassin's Creed: The Chain
32,Assassin's Creed: The Fall
33,Assassin's Creed (book series)
34,Assassin's Creed (comic series)
35,Assassin's Creed (film)
36,Assassin's Creed (video game)
37,Assassin's Creed Chronicles
38,Assassin's Creed Freedom Cry
39,Assassin's Creed II: Discovery
40,Assassin's Creed III
41,Assassin's Creed III: Liberation
42,Assassin's Creed III: The Tyranny of King Washington
43,Assassin's Creed IV: Black Flag
44,Assassin's Creed Identity
45,Assassin's Creed Mirage
46,Assassin's Creed Odyssey
47,Assassin's Creed Odyssey – Legacy of the First Blade
48,Assassin's Creed Origins
49,Assassin's Creed Rogue
50,Assassin's Creed Syndicate
51,Assassin's Creed Syndicate: Jack the Ripper
52,Assassin's Creed Unity
53,Assassin's Creed Valhalla
54,Australasia
55,Avatar (Xbox 360)
56,Aveline de Grandpré
57,Bag
58,Barbarigo family
59,Bartolomeo d'Alviano
60,"Basilica of Santa Croce, Florence"
61,Basilica of Santa Maria Novella
62,Bayek of Siwa
63,Bonfire of the vanities
64,Boston
65,Bribery
66,CBS Interactive Inc.
67,COVID-19 pandemic
68,Capitol Records
69,Carlos Ferro (American actor)
70,Catacombs
71,Caterina Sforza
72,Cesare Borgia
73,Computer and Video Games
74,Computing platform
75,Connor (Assassin's Creed)
76,Corey May
77,Courtesans
78,Crave Online
79,Cristina Rosato
80,Cutlasses
81,Danny Wallace (humorist)
82,Death by burning
83,Denial-of-service attack
84,Desmond Miles
85,Destructoid
86,Digital rights management
87,Disarm
88,Downloadable content
89,Dye
90,Earth's magnetic field
91,Edge (magazine)
92,Edward Kenway
93,Elias Toufexis
94,Eliza Schneider
95,Ellen David
96,England in the Middle Ages
97,Eurogamer
98,Europe
99,Expansion packs
100,Ezio Auditore da Firenze
101,Feudal Japan
102,Florence
103,Florence Cathedral
104,Florin
105,Forlì
106,Fred Tatasciore
107,French Revolution
108,Friar
109,Frye twins
110,GamePro
111,GameSpot
112,GameSpy
113,GameTrailers
114,Game Developers Choice Awards
115,Game Informer
116,Game engine
117,GamesRadar+
118,Gawker Media
119,Genetic memory (psychology)
120,Girolamo Savonarola
121,Gizmodo Media Group
122,Glyphs
123,God
124,Gondola
125,Grand Canal (Venice)
126,Grand master (order)
127,Hack and slash
128,Haytham Kenway
129,Heroes Over Europe
130,Historical fiction
131,History of the firearm
132,House of Medici
133,IGN
134,IGN.com
135,IMDb
136,ISBN (identifier)
137,Interactive Achievement Awards
138,Italian Renaissance
139,Italy
140,Jeffrey Yohalem
141,Jesper Kyd
142,Justice (French band)
143,King Arthur
144,Knights Templar
145,Kotaku
146,Kristen Bell
147,Leonardo da Vinci
148,List of Assassin's Creed characters
149,List of video games considered the best
150,LittleBigPlanet (PlayStation 3)
151,Lorenzo de' Medici
152,Lucy Stillman
153,MBRG (identifier)
154,MacOS
155,Mace (bludgeon)
156,Margaret Easley
157,Medici family
158,Mercenaries
159,Metacritic
160,Michael Pachter
161,Microsoft Windows
162,Monteriggioni
163,Native Americans in the United States
164,Niccolò Machiavelli
165,Nintendo Switch
166,Nolan North
167,Non-player character
168,Nonlinear gameplay
169,North America
170,OS X
171,Oliver Bowden
172,Open world
173,Order of Assassins
174,Ornithopter
175,PC Gamer
176,Palazzo Medici Riccardi
177,Palazzo Vecchio
178,Papal cross
179,Parkour
180,Patrice Désilets
181,Pazzi
182,Pazzi conspiracy
183,Pazzi family
184,Penguin Books
185,Philip Proctor
186,Physician
187,Piazza della Signoria
188,PlayStation 3
189,PlayStation 4
190,PlayStation Home
191,PlayStation Network
192,PlayStation Portable
193,Ponte Vecchio
194,Pope Alexander VI
195,Prince of Persia
196,Prince of Persia (2008 video game)
197,Renaissance
198,Rialto Bridge
199,Roger Craig Smith
200,Romagna
201,Romano Orzari
202,Rome
203,San Gimignano
204,Santa Maria Gloriosa dei Frari
205,ScrewAttack
206,Short film
207,Silent Hunter 5
208,Sin City (film)
209,Single-player video game
210,Sistine Chapel
211,Solar flare
212,Sony Computer Entertainment
213,Spain
214,Spike Video Game Awards
215,St Mark's Basilica
216,Stealth game
217,TeamXbox
218,The New York Times
219,Thieves
220,Third-person view
221,Throwing knives
222,Tom Clancy's EndWar
223,Tom Clancy's H.A.W.X
224,Tuscany
225,Ubisoft
226,Ubisoft Montréal
227,Universal Hall Pass
228,Uplay
229,VIAF (identifier)
230,Vatican City
231,Venetian Arsenal
232,Venice
233,Video game
234,Video game artist
235,Video game compilation
236,Video game composer
237,Video game creative director
238,Video game designer
239,Video game developer
240,Video game genre
241,Video game journalism
242,Video game producer
243,Video game programmer
244,Video game publisher
245,Video game writer
246,Wanted poster
247,Warren Vidic
248,Watch Dogs
249,Wheellock
250,World War II
251,Xbox 360
252,Xbox Live
253,Xbox Live Marketplace
254,Xbox One
255,YouTube
256,Wikipedia:Citation needed
257,Wikipedia:Link rot
258,Template:Assassin's Creed
259,Template talk:Assassin's Creed
260,Help:Authority control
261,Category:Articles with BNF identifiers
262,Category:Articles with MusicBrainz release group identifiers
263,Category:Articles with VIAF identifiers
264,Category:Articles with dead external links from March 2016
265,Category:Articles with unsourced statements from December 2009
266,Category:Assassin's Creed
267,Category:Use mdy dates from June 2019
