,links
0,About.com
1,Academy of Interactive Arts & Sciences
2,Aftonbladet
3,Aircraft carrier
4,Allies of World War II
5,Alternate history (fiction)
6,Anti-aircraft guns
7,Armoured personnel carrier
8,Artificial intelligence (video games)
9,Aspyr Media
10,Axis Power
11,Battle of El Alamein
12,Battle of Wake Island
13,Battlefield: Bad Company
14,Battlefield: Bad Company 2
15,Battlefield (video game series)
16,Battlefield 1
17,Battlefield 1942: Secret Weapons of WWII
18,Battlefield 1942: The Road to Rome
19,Battlefield 1943
20,Battlefield 2
21,Battlefield 2042
22,Battlefield 2142
23,Battlefield 2: Modern Combat
24,Battlefield 3
25,Battlefield 4
26,Battlefield Hardline
27,Battlefield Heroes
28,Battlefield Online
29,Battlefield Play4Free
30,Battlefield V
31,Battlefield Vietnam
32,Benefactor (video game)
33,Bomber
34,British Armed Forces
35,CBS Interactive
36,CNN
37,Call of Duty (video game)
38,Call of Duty 4: Modern Warfare
39,Capital ship
40,Co-operative gameplay
41,Coastal artillery
42,Codename Eagle
43,Combat Engineer
44,Combat Medic
45,Commandos (United Kingdom)
46,Composition C
47,Computer Games Magazine
48,Computer Gaming World
49,Computer bug
50,Computing platform
51,Continuation War
52,D.I.C.E. Award for Game of the Year
53,DICE (company)
54,Diablo II
55,Digital Illusions
56,Diva Starz: Mall Mania
57,Dragon Age: Inquisition
58,EA Games
59,Eastern Front (World War II)
60,Edge (magazine)
61,Electronic Arts
62,Entertainment Weekly
63,Eurogamer
64,Europe
65,European Theater of World War II
66,Faith Connors
67,Fallout 4
68,Fallschirmjäger (World War II)
69,Fighter aircraft
70,FinnWars
71,First-person shooter
72,Fredrik Liljegren
73,Free French Forces
74,Frostbite (game engine)
75,GameCube
76,GamePro
77,GameRevolution
78,GameSpot
79,GameSpy
80,Game Informer
81,Game Revolution
82,Game engine
83,Gears of War (video game)
84,God of War (2005 video game)
85,God of War (2018 video game)
86,GoldenEye 007 (1997 video game)
87,Hades (video game)
88,Half-Life (video game)
89,Half-Life 2
90,Halo: Combat Evolved
91,Hasbro
92,IGN
93,IMDb
94,Imperial Japanese Army
95,Infantry
96,Inside Mac Games
97,Intellectual property
98,Interactive Achievement Awards
99,Internet
100,Iraq War
101,It Takes Two (video game)
102,Italian Campaign (World War II)
103,Jeep
104,Jet pack
105,Journey (2012 video game)
106,Land mine
107,Lapland War
108,LittleBigPlanet (2008 video game)
109,Local area network
110,Los Angeles Times
111,MacOS
112,Machine gun
113,Mass Effect 2
114,Metacritic
115,Michelin Rally Masters: Race of Champions
116,Microsoft Windows
117,Midtown Madness 3
118,Military history of the United States during World War II
119,Mirror's Edge
120,Mirror's Edge (2010 video game)
121,Mirror's Edge Catalyst
122,MobyGames
123,Mod (computer gaming)
124,Motorhead (video game)
125,Multiplayer
126,Nazi Germany
127,Newspapers.com
128,No One Lives Forever 2: A Spy in H.A.R.M.'s Way
129,North African campaign
130,North America
131,Origin (service)
132,Overwatch
133,PC Gamer
134,PC Gamer US
135,PC Magazine
136,PC Zone
137,Pacific Ocean theater of World War II
138,Pacific War
139,Patch (computing)
140,Pelit
141,Pinball Dreams
142,Pinball Fantasies
143,Pinball Illusions
144,PlayStation 4
145,PlayStation 5
146,PlayStation Network
147,Project Reality
148,RalliSport Challenge
149,RalliSport Challenge 2
150,Respawn
151,Review aggregator
152,Royal Italian Army during World War II
153,S40 Racing
154,Scout Sniper
155,Shrek (video game)
156,SilentHeroes
157,Single-player
158,Sniper
159,Sniper rifle
160,Software development kit
161,Spotter (sniping)
162,Star Wars: Battlefront
163,Star Wars Battlefront (2015 video game)
164,Star Wars Battlefront II (2017 video game)
165,Stopping power
166,Sub-machine gun
167,Submarine
168,Söldner: Secret Wars
169,Tank
170,TechTV
171,The Elder Scrolls V: Skyrim
172,The Last of Us
173,The Legend of Zelda: Breath of the Wild
174,The Legend of Zelda: Ocarina of Time
175,The Sims (video game)
176,Trauma Studios
177,True Pinball
178,Ultracore
179,Uncharted 2: Among Thieves
180,United Kingdom
181,Untitled Goose Game
182,Verdens Gang
183,Video game
184,Video game artist
185,Video game composer
186,Video game creative director
187,Video game designer
188,Video game developer
189,Video game genre
190,Video game producer
191,Video game programmer
192,Video game publisher
193,Waffen-SS
194,Winter War
195,World War I
196,World War II
197,X-Play
198,Xbox (console)
199,Xbox Live Arcade
200,Xbox One
201,Xbox Series X and Series S
202,Wikipedia:Citation needed
203,Template:Cite web
204,Template:DICE GOTY
205,Template:Digital Illusions
206,Template talk:DICE GOTY
207,Template talk:Digital Illusions
208,Help:Authority control
209,Category:Articles with BNF identifiers
210,Category:Articles with GND identifiers
211,Category:Articles with unsourced statements from August 2015
212,Category:Articles with unsourced statements from August 2017
213,Category:Articles with unsourced statements from August 2020
214,Category:CS1 maint: bot: original URL status unknown
215,Category:Use dmy dates from November 2016
