,links
0,7th Dragon
1,A Place Where the Sun Is Silent
2,A TV Dante
3,Acheron
4,Action-adventure
5,Action-adventure game
6,Adam
7,After Burner
8,Alagia Fieschi
9,Alex Kidd
10,Alichino (devil)
11,Anarchy Reigns
12,Anime
13,Anime News Network
14,Arnaut Daniel
15,As I Was Going Down Sackville Street
16,Assist Trophy
17,Astral Chain
18,Atlus
19,Atsushi Inaba
20,Babylon's Fall
21,Barbariccia
22,Bayonetta: Bloody Fate
23,Bayonetta (character)
24,Bayonetta (video game)
25,Bayonetta 2
26,Bayonetta 3
27,Beatrice Portinari
28,Beatrice d'Este (1268–1334)
29,Belacqua
30,Bernard of Clairvaux
31,Bertran de Born
32,Bingo Morihashi
33,Bonagiunta Orbicciani
34,Bonaventure
35,Bonconte I da Montefeltro
36,Bonturo Dati
37,Botticelli Inferno
38,Brunetto Latini
39,CBS Interactive
40,Cacciaguida
41,Cagnazzo
42,Caiaphas
43,Calcabrina
44,Capaneus
45,Capcom
46,Casella (Divine Comedy)
47,Cato the Younger
48,Cavalcante de' Cavalcanti
49,Cerberus
50,Charles Martel of Anjou
51,Charon
52,Chiron
53,Ciacco
54,Ciampolo
55,Ciriatto
56,Clover Studio
57,Cocytus
58,Columns (video game)
59,Condemned: Criminal Origins
60,Conrad Malaspina the Young
61,"Constance, Queen of Sicily"
62,Contrapasso
63,Crazy Taxi
64,Cunizza da Romano
65,Dante's Hell Animated
66,Dante's Inferno: An Animated Epic
67,Dante's Inferno (1924 film)
68,Dante's Inferno (1935 film)
69,Dante's Inferno (2007 film)
70,Dante's Inferno (song)
71,Dante's Inferno (video game)
72,Dante's Satan
73,Dante Alighieri
74,Dante Sonata
75,Dante Symphony
76,Dante XXI
77,Dante in Hell
78,Danteum
79,David
80,Daytona USA
81,Demon Lord Dante
82,Dept. Heaven
83,Devil May Cry
84,Devil Summoner
85,Dis (Divine Comedy)
86,Divine Comedy
87,Divine Comedy Illustrated by Botticelli
88,Divine Comedy in popular culture
89,Draghignazzo
90,Dragon Age: Inquisition
91,Earth Inferno
92,Ecco the Dolphin
93,Empyrean
94,Etrian Odyssey
95,Eunoe
96,Eurogamer
97,Fantasy Zone
98,Farfarello
99,Farinata degli Uberti
100,Fifth circle of hell
101,Filippo Argenti
102,First circle of hell
103,Folquet de Marselha
104,Football Manager
105,Forese Donati
106,Fourth circle of hell
107,Francesca da Rimini
108,Francesca da Rimini (Rachmaninoff)
109,Francesca da Rimini (Tchaikovsky)
110,Francesca da Rimini (Zandonai)
111,Francesca da Rimini and Paolo Malatesta Appraised by Dante and Virgil
112,Gabriel
113,Gaia da Camino
114,Gamasutra
115,Game Informer
116,Garden of Eden
117,Geryon (Divine Comedy)
118,Gherardo III da Camino
119,Gianni Schicchi
120,Gianni Schicchi de' Cavalcanti
121,Giovanna da Montefeltro
122,God
123,Golden Axe
124,Gonzo (studio)
125,Graffiacane
126,Granblue Fantasy: Relink
127,Great refusal
128,Growlanser
129,Gualdrada Berti
130,Guido Guerra
131,Guido Guinizelli
132,Guido I da Montefeltro
133,Hack and slash
134,Hatsune Miku: Project DIVA
135,Hepburn romanization
136,Hideki Kamiya
137,Hierarchy of angels
138,Hugh Capet
139,Iacopo Rusticucci
140,Imperial Eagle
141,Inferno (Brown novel)
142,Inferno (Dante)
143,Inferno (Metamorfosi album)
144,Inferno (Niven and Pournelle novel)
145,Inferno (opera)
146,Infinite Space
147,Jacopo del Cassero
148,James the Great
149,Japanese language
150,Jean Giraud
151,Jet Set Radio
152,Jimbo's Inferno
153,Joanna of Gallura
154,John the Apostle
155,Justinian I
156,Kotaku
157,Kwirk
158,L'Inferno
159,La Comédie humaine
160,La Laguna Estigia
161,La barca de Aqueronte
162,Landstalker
163,Lethe
164,Libicocco
165,Like a Dragon (franchise)
166,List of English translations of the Divine Comedy
167,List of Sega video game franchises
168,List of cultural references in the Divine Comedy
169,MadWorld
170,Majin Tensei
171,Majyūō
172,Malacoda
173,Malebolge
174,Malebranche (Divine Comedy)
175,"Manfred, King of Sicily"
176,Marco Lombardo
177,"Mary, mother of Jesus"
178,Matelda
179,Megami Tensei
180,Megami Tensei Gaiden: Last Bible
181,Metacritic
182,Metal Gear Rising: Revengeance
183,Microsoft Windows
184,Minos
185,Nella Donati
186,Nessus (mythology)
187,Nier: Automata
188,Nights into Dreams
189,Nino Visconti
190,Nintendo
191,Nintendo Direct
192,Nintendo Switch
193,Ninth circle of hell
194,Oderisi da Gubbio
195,Odysseus
196,Omberto Aldobrandeschi
197,Out Run
198,Palacio Barolo
199,Panzer Dragoon
200,Paolo Malatesta
201,Paolo and Francesca da Rimini
202,"Pape Satàn, pape Satàn aleppe"
203,Paradiso (Dante)
204,Persona (series)
205,Peter Damian
206,Peter Lombard
207,Phantasy Star
208,Phlegethon
209,Phlegyas
210,Pia de' Tolomei
211,Pia de' Tolomei (Rossetti painting)
212,Piccarda Donati
213,Pietro della Vigna
214,PlatinumGames
215,PlayStation 3
216,PlayStation 4
217,Plutus
218,Polygon (website)
219,Pope Adrian V
220,Pope Boniface VIII
221,Pope Nicholas III
222,Power Instinct
223,Purgatorio
224,Puyo Puyo
225,Raphèl mai amècche zabì almi
226,Review aggregator
227,Ripheus
228,Rubicante
229,Ruggieri degli Ubaldini
230,Saint Peter
231,Sakura Wars
232,Sapia Salvani
233,Scalebound
234,Scarmiglione
235,Second circle of hell
236,Sega
237,Sega Ages
238,Sega Rally
239,Sega Sammy Holdings
240,Seventh circle of hell
241,Shenmue
242,Shin Megami Tensei: Devil Children
243,Shin Megami Tensei: Liberation Dx2
244,Shining (series)
245,Shinji Mikami
246,Shinobi (series)
247,Sixth circle of hell
248,Snowboard Kids
249,Sol Cresta
250,Solomon
251,Sonic the Hedgehog
252,Sordello
253,Space Channel 5
254,Space Harrier
255,Star Fox Guard
256,Star Fox Zero
257,Statius
258,Streets of Rage
259,Styx
260,Super Monkey Ball
261,Super Smash Bros.
262,Super Smash Bros. Ultimate
263,Super Smash Bros. for Nintendo 3DS and Wii U
264,Teenage Mutant Ninja Turtles: Mutants in Manhattan
265,Terza rima
266,The Barque of Dante
267,The Barque of Dante (Manet)
268,The Cantos
269,The Dante Club
270,The Dante Quartet
271,The Divine Comedy (Smith)
272,The Game Award for Game of the Year
273,The Game Awards 2014
274,The Game Awards 2017
275,The Gates of Hell
276,The House of the Dead
277,The Kiss (Rodin sculpture)
278,The Legend of Korra (video game)
279,The Lost (video game)
280,The Story of Rimini
281,The System of Dante's Hell
282,The Thinker
283,The Wonderful 101
284,The Wood of the Self-Murderers: The Harpies and the Suicides
285,Third circle of hell
286,Thomas Aquinas
287,Thunder Force
288,Total War (video game series)
289,Trajan
290,Transformers: Devastation
291,Trauma Center (video game series)
292,USgamer
293,Ugolino della Gherardesca
294,Valkyria Chronicles
295,Vanni Fucci
296,Vanquish (video game)
297,Variety (magazine)
298,Video game developer
299,Video game genre
300,Video game publisher
301,Virgil
302,Virtua Cop
303,Virtua Fighter
304,Virtua Striker
305,Virtua Tennis
306,Virtual On
307,Wii U
308,Wonder Boy
309,World Series Baseball (video game series)
310,World of Demons
311,Xbox 360
312,Xbox One
313,Zaxxon
314,Template:Bayonetta
315,Template:Divine Comedy navbox
316,Template:PlatinumGames
317,Template:Sega Sammy franchises
318,Template talk:Bayonetta
319,Template talk:Divine Comedy navbox
320,Template talk:PlatinumGames
321,Template talk:Sega Sammy franchises
322,Category:Articles to be expanded from November 2021
323,Category:Bayonetta
324,Category:Divine Comedy
325,Category:PlatinumGames games
