,links
0,Antananarivo
1,Brooklyn
2,"Brooklyn, New York"
3,Cycle of poverty
4,Fast Company (magazine)
5,Food & Wine
6,"Lawrence, Kansas"
7,Madagascar
8,Peace Corps
9,Private company
10,United Nations
11,United States
12,Wayback Machine
13,Wine Spectator
14,Wikipedia:Citation needed
15,Wikipedia:External links
16,Wikipedia:Neutral point of view
17,Wikipedia:Spam
18,Wikipedia:What Wikipedia is not
19,Help:Maintenance template removal
20,Category:Articles with a promotional tone from March 2017
21,Category:Articles with unsourced statements from May 2020
