,links
0,1080i
1,1UP.com
2,1Up.com
3,4K resolution
4,Abstraction
5,AirBlade
6,Australasia
7,Back to the Future (series)
8,Barack Obama
9,Black (video game)
10,Burger King
11,Burnout (series)
12,Burnout (video game)
13,Burnout 2: Point of Impact
14,Burnout 3: Takedown
15,Burnout Crash!
16,Burnout Dominator
17,Burnout Legends
18,Burnout Revenge
19,Cardiology
20,CompUSA
21,Computing platform
22,Crackdown (video game)
23,Creative director
24,Criterion Games
25,D-pad
26,D3T
27,DMC DeLorean
28,Deep Fighter
29,Doi (identifier)
30,Downloadable content
31,EVGA Corporation
32,Ecto-1
33,Electronic Arts
34,Eurogamer
35,Europe
36,Forecourt
37,Frames per second
38,Gamasutra
39,GameRankings
40,GameSpot
41,GameTrailers
42,Game Informer
43,Game engine
44,Games on Demand
45,Geek.com
46,Ghostbusters (franchise)
47,Giant Bomb
48,Gillette (brand)
49,Greatest Hits (budget range)
50,Hotseat (multiplayer mode)
51,Hyper (magazine)
52,IGN
53,ISSN (identifier)
54,Imagine Publishing
55,In-game advertisement
56,In-game advertising
57,Internet browser
58,JL Audio
59,KITT
60,Kinect
61,Knight Rider (1982 TV series)
62,List of Xbox 360 games compatible with Xbox One
63,List of backward-compatible games for Xbox One and Series X
64,List of video games considered the best
65,Mercenaries: Playground of Destruction
66,Metacritic
67,Microsoft Windows
68,Multiplayer video game
69,My Nintendo
70,Need for Speed
71,Need for Speed: Hot Pursuit (2010 video game)
72,Need for Speed: Most Wanted (2012 video game)
73,Need for Speed Rivals
74,News Corporation (1980–2013)
75,Next Media
76,Nintendo Switch
77,North America
78,Nvidia
79,Official Xbox Magazine
80,Open world
81,Origin (service)
82,Origin Access
83,Pedagogy
84,Phenomenology (philosophy)
85,Platinum Hits
86,PlayStation 3
87,PlayStation 3 Trophies
88,PlayStation 4
89,PlayStation Camera
90,PlayStation Store
91,Play (UK magazine)
92,Polygon (website)
93,Polyvision
94,Racing video game
95,Redline Racer
96,RenderWare
97,Review aggregator
98,S2CID (identifier)
99,Single-player video game
100,Spike Video Game Awards
101,Sub Culture
102,Test Drive Unlimited
103,The Dukes of Hazzard
104,The General Lee
105,The Guardian
106,The Verge
107,TrickStyle
108,Twitter
109,United States
110,VG247
111,Video game artist
112,Video game creative director
113,Video game designer
114,Video game developer
115,Video game genre
116,Video game producer
117,Video game programmer
118,Video game publisher
119,Vizio
120,Vox Media
121,Wayback Machine
122,Webcam
123,Xbox 360
124,Xbox Live Gold
125,Xbox Live Marketplace
126,Xbox Live Vision
127,Xbox One
128,Template:Burnout series
129,Template:Criterion Games
130,Template talk:Burnout series
131,Template talk:Criterion Games
132,Help:Authority control
133,Category:Articles with BNF identifiers
134,Category:Use dmy dates from May 2020
135,Portal:Video games
