,links
0,13th Guards Rifle Division
1,1UP.com
2,1Up.com
3,2017 Wichita swatting
4,2D computer graphics
5,2nd Ranger Battalion (United States)
6,7th Armoured Division (United Kingdom)
7,8.8 cm Flak 18/36/37/41
8,Activision
9,Activision Blizzard
10,Addendum
11,Advertising Standards Authority (United Kingdom)
12,Afrika Korps
13,All Ghillied Up
14,Allies of World War II
15,Artificial intelligence
16,Artillery
17,Axis powers
18,BBC
19,Battle.net
20,Battle for Caen
21,Battle of Moscow
22,Battle of Stalingrad
23,Binoculars
24,Black Reign (EP)
25,Blizzard
26,British Army
27,Call of Duty
28,Call of Duty: Advanced Warfare
29,Call of Duty: Black Ops
30,Call of Duty: Black Ops: Declassified
31,Call of Duty: Black Ops 4
32,Call of Duty: Black Ops Cold War
33,Call of Duty: Black Ops II
34,Call of Duty: Black Ops III
35,Call of Duty: Black Ops – Zombies
36,Call of Duty: Elite
37,Call of Duty: Experience 2011
38,Call of Duty: Experience 2016
39,Call of Duty: Finest Hour
40,Call of Duty: Ghosts
41,Call of Duty: Heroes
42,Call of Duty: Infinite Warfare
43,Call of Duty: Mobile
44,Call of Duty: Modern Warfare: Mobilized
45,Call of Duty: Modern Warfare (2019 video game)
46,Call of Duty: Modern Warfare 2
47,Call of Duty: Modern Warfare 3
48,Call of Duty: Modern Warfare 3 downloadable content
49,Call of Duty: Modern Warfare 3 – Defiance
50,Call of Duty: Modern Warfare II (2022 video game)
51,Call of Duty: Modern Warfare Remastered
52,Call of Duty: Roads to Victory
53,Call of Duty: Strike Team
54,Call of Duty: United Offensive
55,Call of Duty: Vanguard
56,Call of Duty: WWII
57,Call of Duty: Warzone
58,Call of Duty: Warzone 2.0
59,Call of Duty: World at War
60,Call of Duty: World at War (Nintendo DS)
61,Call of Duty: World at War – Final Fronts
62,Call of Duty: World at War – Zombies
63,Call of Duty (video game)
64,Call of Duty 2: Big Red One
65,Call of Duty 3
66,Call of Duty 4: Modern Warfare
67,Call of Duty 4: Modern Warfare (Nintendo DS)
68,Call of Duty Championship
69,Call of Duty Endowment
70,Call of Duty League
71,Call of Duty Online
72,Call of Duty World League
73,Cannon
74,Captain Price
75,Carry On (Avenged Sevenfold song)
76,Central processing unit
77,Compass
78,Computer Games Magazine
79,Computing platform
80,Controversies surrounding Call of Duty: Modern Warfare 2
81,Counter-offensive
82,Crusader tank
83,Debris
84,Dust storm
85,Eastern Front (World War II)
86,Egypt
87,El Dabaa
88,Electronic Entertainment Expo
89,Eurogamer
90,Europe
91,Explosive material
92,Find Makarov: Operation Kingfish
93,Firearm
94,First-person shooter
95,Flak cannon
96,Flanking maneuver
97,Fragmentation grenade
98,Gamasutra
99,GamePro
100,GameSpot
101,GameSpy
102,Game engine
103,GamesRadar
104,Glossary of video game terms
105,Graeme Revell
106,Gray Matter Studios
107,Grenade
108,GtkRadiant
109,HUD (video gaming)
110,Hands-On Mobile
111,Health (gaming)
112,"Hill 400, Bergstein"
113,IGN
114,IMDb
115,IW Engine
116,IW engine
117,Id Tech 3
118,Infantry
119,Infinity Ward
120,Iron sight
121,Italian Libya
122,John Woo
123,LCVP (United States)
124,Los Angeles
125,MacOS
126,Machine gun
127,Mad Hatter (Avenged Sevenfold song)
128,"Matmata, Tunisia"
129,Medal of Honor: Pacific Assault
130,Metacritic
131,Michael Schiffer
132,Microsoft
133,Microsoft Windows
134,Mobile game
135,Mobile phone
136,MobyGames
137,Modern Warfare 2: Ghost
138,Mohammad Alavi (game developer)
139,Mortar (weapon)
140,Multiplayer video game
141,Nazi Germany
142,Newspapers.com
143,Nightmare (Avenged Sevenfold song)
144,No Russian
145,Normandy Landings
146,North Africa Campaign
147,North African campaign
148,North America
149,North Bay Nugget
150,Not Ready to Die
151,OS X
152,Official Xbox Magazine
153,Operation Little Saturn
154,Operation Overlord
155,Operation Plunder
156,Pocket PC
157,Pointe du Hoc
158,Press F to pay respects
159,Raven Software
160,Red Army
161,Review aggregator
162,Rhythm and Hues Studios
163,Second Battle of El Alamein
164,Shell (projectile)
165,Shepherd of Fire
166,Shoot 'em up
167,Sidearm (weapon)
168,Single-player video game
169,Sledgehammer Games
170,Smoke grenade
171,Soap MacTavish
172,Surround sound
173,Survival (Eminem song)
174,Tank
175,Tiger I
176,Toujane
177,Trench warfare
178,Treyarch
179,Tunisia
180,USA Today
181,United States Army
182,United States Army Rangers
183,Video game artist
184,Video game composer
185,Video game creative director
186,Video game designer
187,Video game developer
188,Video game genre
189,Video game producer
190,Video game programmer
191,Video game publisher
192,Video game writer
193,Vince Zampella
194,World War II
195,X-Play
196,Xbox 360
197,Xbox Live
198,Ziff Davis
199,Wikipedia:Contents/Portals
200,Wikipedia:Good articles
201,Template:Call of Duty series
202,Template:Infinity Ward
203,Template talk:Call of Duty series
204,Template talk:Infinity Ward
205,Help:Authority control
206,Category:Articles with BNF identifiers
207,Category:Call of Duty
208,Category:Infinity Ward games
209,Category:Use mdy dates from December 2020
210,Portal:History
211,Portal:Video games
212,Portal:World War II
