,links
0,1UP.com
1,1Up.com
2,2K Games
3,3D computer graphics
4,3D graphics
5,4X
6,4x
7,53rd Annual Grammy Awards
8,AI
9,Academy of Interactive Arts & Sciences
10,Advanced Civilization
11,Alpha Centauri
12,Artificial intelligence
13,Artificial intelligence (video games)
14,Aspyr
15,Avalon Hill's Advanced Civilization
16,Baba Yetu
17,Battlefield 2
18,Brian Reynolds (game designer)
19,C-evo
20,Call to Power II
21,Calling All Dawns
22,Christopher Tin
23,CivCity: Rome
24,Civics
25,Civilization
26,Civilization: A New Dawn
27,Civilization: Beyond Earth
28,Civilization: Beyond Earth – Rising Tide
29,Civilization: Call to Power
30,Civilization: The Card Game
31,Civilization (1980 board game)
32,Civilization (2002 board game)
33,Civilization (2010 board game)
34,Civilization (series)
35,Civilization (video game)
36,Civilization II
37,Civilization II: Conflicts in Civilization
38,Civilization II: Test of Time
39,Civilization III
40,Civilization III: Conquests
41,Civilization III: Play the World
42,Civilization IV: Beyond the Sword
43,Civilization IV: Colonization
44,Civilization IV: Warlords
45,Civilization Revolution
46,Civilization Revolution 2
47,Civilization V
48,Civilization V: Brave New World
49,Civilization V: Gods & Kings
50,Civilization VI
51,Civilization VI: Gathering Storm
52,Civilization VI: Rise and Fall
53,Civilization World
54,Computer Games Magazine
55,Computer and Video Games
56,Computing platform
57,Counterintelligence
58,Curlie
59,Demolition
60,Derek Paxton
61,Device driver
62,Digital River
63,Dynamic-link library
64,Empire
65,Entertainment Software Association
66,Entertainment and Leisure Software Publishers Association
67,Espionage
68,Eurogamer
69,Expansion pack
70,Experience point
71,F.E.A.R. (video game)
72,Fall from Heaven
73,Firaxis Games
74,Fog of war
75,FreeCol
76,Freeciv
77,Gamasutra
78,GameAgent
79,GameRankings
80,GameRevolution
81,GameSpot
82,GameSpy
83,Game AI
84,Game Revolution
85,Game engine
86,Gamebryo
87,Geek.com
88,Geoff Knorr
89,Government
90,Grammy Award
91,Grammy Award for Best Instrumental Arrangement Accompanying Vocalist(s)
92,Guild Wars
93,Hecataeus of Miletus
94,Historical realism
95,IGN
96,ISBN (identifier)
97,Incunabula (video game)
98,Interface (computing)
99,Ironclad Games
100,Jeff Briggs
101,Jeffery L. Briggs
102,Jon Shafer
103,Kieron Gillen
104,Leonard Nimoy
105,List of Civilization media
106,List of Game of the Year awards
107,List of games by Firaxis Games
108,List of video games considered the best
109,Lord's Prayer
110,MacOS
111,Mac OS X
112,Marvel's Midnight Suns
113,Metacritic
114,Microsoft Windows
115,MobyGames
116,Mod (video gaming)
117,Multiplayer video game
118,Music in the Civilization video game series
119,Music of the Civilization series
120,Narration
121,North America
122,Nuclear Gandhi
123,PAL region
124,PC Gamer US
125,PC Zone
126,PC game
127,Patch (computing)
128,People
129,Python (programming language)
130,Queue area
131,Random number generation
132,Rhye's and Fall of Civilization
133,Robinson projection
134,Senior producer
135,Sid Meier
136,Sid Meier's Alpha Centauri
137,Sid Meier's Antietam!
138,Sid Meier's Colonization
139,Sid Meier's Gettysburg!
140,Sid Meier's Pirates! (2004 video game)
141,Sid Meier's Railroads!
142,Sid Meier's SimGolf
143,Sid Meier's Starships
144,Single-player video game
145,Sleeper ship
146,Software Development Kit
147,Software development kit
148,Soren Johnson
149,Source code
150,Stand-alone expansion pack
151,Stanford University
152,Strategy video game
153,Supermajority
154,Swahili language
155,Take-Two Interactive
156,Talisman A Cappella
157,Technology tree
158,The Lion King
159,The NPD Group
160,The Times
161,Time (magazine)
162,Time Inc.
163,Turn-based strategy
164,United Nations
165,Video game artist
166,Video game composer
167,Video game creative director
168,Video game designer
169,Video game developer
170,Video game genre
171,Video game music
172,Video game producer
173,Video game programmer
174,Video game publisher
175,World Wonders
176,XCOM
177,XCOM: Chimera Squad
178,XCOM: Enemy Unknown
179,XCOM 2
180,XML
181,Wikipedia:Contents/Portals
182,Template:Civilization (series)
183,Template:Firaxis
184,Template talk:Civilization (series)
185,Template talk:Firaxis
186,Help:Authority control
187,Category:Articles with BNF identifiers
188,Category:Civilization (series)
189,Portal:Video games
