,links
0,Age of Empires IV
1,Android (operating system)
2,Battle of Berlin
3,Company of Heroes
4,Company of Heroes: Opposing Fronts
5,Company of Heroes: Tales of Valor
6,Company of Heroes (film)
7,Company of Heroes (video game)
8,Company of Heroes 2
9,Company of Heroes 3
10,Computer and Video Games
11,Essence Engine
12,GameSpot
13,Homeworld
14,Homeworld 2
15,IOS
16,Impossible Creatures
17,Linux
18,List of Relic Entertainment games
19,Massively multiplayer online real-time strategy
20,OS X
21,Operation Barbarossa
22,Real-time strategy
23,Red Army
24,Relic Entertainment
25,Relic Online
26,Sega
27,Shanda
28,Sonic & All-Stars Racing Transformed
29,Stand-alone expansion pack
30,THQ
31,The Outfit (video game)
32,Video game
33,Video game developer
34,Video game genre
35,Video game publisher
36,"Warhammer 40,000"
37,"Warhammer 40,000: Dawn of War"
38,"Warhammer 40,000: Dawn of War II"
39,"Warhammer 40,000: Dawn of War III"
40,"Warhammer 40,000: Dawn of War II – Chaos Rising"
41,"Warhammer 40,000: Dawn of War II – Retribution"
42,"Warhammer 40,000: Dawn of War – Dark Crusade"
43,"Warhammer 40,000: Dawn of War – Soulstorm"
44,"Warhammer 40,000: Dawn of War – Winter Assault"
45,"Warhammer 40,000: Space Marine"
46,Windows
47,World War II
48,Template:Relic Entertainment
49,Template talk:Relic Entertainment
