,links
0,.hack (video game series)
1,3D Dot Game Heroes
2,AKB48
3,Ace Combat
4,Action role-playing
5,Action role-playing game
6,Android (operating system)
7,Anor Londo
8,Another Century's Episode
9,Another Century's Episode: R
10,Another Century's Episode 2
11,Another Century's Episode 3: The Final
12,Another Century's Episode Portable
13,Armored Core
14,Armored Core: For Answer
15,Armored Core: Formula Front
16,Armored Core: Last Raven
17,Armored Core: Master of Arena
18,Armored Core: Nexus
19,Armored Core: Nine Breaker
20,Armored Core: Project Phantasma
21,Armored Core: Verdict Day
22,Armored Core (video game)
23,Armored Core 2
24,Armored Core 2: Another Age
25,Armored Core 3
26,Armored Core 4
27,Armored Core V
28,Babylonian Castle Saga
29,Bandai Namco Entertainment
30,Bandai Namco Group
31,Bandai Namco Holdings
32,Berserk (manga)
33,Bleach: Dark Souls
34,Bloodborne
35,Bookend
36,Boss (video games)
37,CBS Interactive
38,Character creation
39,Chouseishin Series
40,Chromehounds
41,Comic book
42,Compati Hero
43,Cooperative video game
44,Cutscene
45,Dark Souls: Artorias of the Abyss
46,Dark Souls: Remastered
47,Dark Souls (film)
48,Dark Souls (video game)
49,Dark Souls II
50,Dark Souls II: The Lost Crowns
51,Dark Souls III
52,Dark Souls III: The Ringed City
53,Dark Souls – The Board Game
54,Dark fantasy
55,Demon's Souls
56,Demon's Souls (2020 video game)
57,Destructoid
58,Doi (identifier)
59,Downloadable content
60,Déraciné
61,Echo Night
62,Echo Night: Beyond
63,Echo Night (video game)
64,Echo Night 2: The Lord of Nightmares
65,Elden Ring
66,Enchanted Arms
67,Endless runner
68,Eternal Ring
69,Eurogamer
70,Evergrace
71,Experience points
72,Family Stadium
73,Flavor text
74,Forbes
75,Forever Kingdom
76,Frame Gride
77,Free-to-play
78,FromSoftware
79,GPS
80,GameSpot
81,GameStop
82,Game difficulty
83,GamesRadar
84,GamesRadar+
85,God Eater
86,Greatest in video games
87,Greatest video games of all time
88,Grinding (gaming)
89,Health (gaming)
90,Hepburn romanization
91,Hidetaka Miyazaki
92,IGN
93,IOS
94,Ico
95,Item (gaming)
96,Japan
97,Japanese language
98,Jim Sterling
99,JoJo's Bizarre Adventure
100,Kadokawa Corporation
101,Kamen Rider
102,Katamari
103,Kickstarter
104,Kill Screen
105,King's Field
106,King's Field (video game)
107,King's Field II
108,King's Field III
109,King's Field IV
110,Klonoa
111,Kotaku
112,Kuon
113,Life (gaming)
114,List of Bandai Namco video game franchises
115,List of Digimon video games
116,List of Dragon Ball video games
117,List of Galaxian video games
118,List of Godzilla games
119,List of Gundam video games
120,List of JoJo's Bizarre Adventure video games
121,List of Naruto video games
122,List of One Piece video games
123,List of Pac-Man video games
124,List of Power Rangers video games
125,List of Sailor Moon video games
126,List of Saint Seiya video games
127,List of Xevious media
128,Lost Kingdoms
129,Lost Kingdoms II
130,Manga
131,Medieval fantasy
132,Metal Hero Series
133,Metal Wolf Chaos
134,Mobile Suit Gundam Unicorn (video game)
135,Monster Hunter Diary
136,Motoi Sakuraba
137,Mr. Driller
138,Murakumo: Renegade Mech Pursuit
139,Namco Museum
140,Ninja Blade
141,Nintendo Switch
142,Non-playable character
143,Ornstein and Smough
144,Otogi: Myth of Demons
145,Otogi 2: Immortal Warriors
146,PC Gamer
147,PC Games (magazine)
148,Paris
149,Pixel art
150,PlayStation (console)
151,PlayStation 3
152,PlayStation 4
153,PlayStation Network
154,Player versus player
155,Point Blank (video game series)
156,Polygon (website)
157,Raiden (series)
158,Ranni the Witch
159,Ridge Racer
160,Saint Seiya
161,Salle Pleyel
162,Sekiro
163,Sekiro: Shadows Die Twice
164,Shacknews
165,Shadow Tower
166,Shadow Tower Abyss
167,Sif (Dark Souls)
168,Silent Line: Armored Core
169,Simple (video game series)
170,Skill (role-playing games)
171,Slashy Souls
172,Social media
173,Solaire of Astora
174,Soulcalibur
175,Soulslike
176,Spawning (gaming)
177,Spiritual successor
178,Steel Battalion: Heavy Armor
179,Stranger Things
180,Summon Night
181,Super Robot Wars
182,Super Sentai
183,Sweet Land (arcade game)
184,Taiko no Tatsujin
185,Tales (video game series)
186,Tamagotchi
187,Tekken
188,Tenchu
189,The Adventures of Cookie & Cream
190,The Idolmaster
191,The Legend of Zelda
192,Third-person (video games)
193,Time Crisis
194,Titan Comics
195,Toho
196,USgamer
197,Ultraman
198,VG247
199,Vice (magazine)
200,Video game
201,Video game developer
202,Video game genre
203,Video game music
204,Video game publisher
205,Vox Media
206,Wangan Midnight
207,Wayback Machine
208,Windows
209,Xbox 360
210,Xbox One
211,Xenosaga
212,Yharnam
213,Yoshitsune Eiyūden: The Story of Hero Yoshitsune
214,Ziff Davis
215,Wikipedia:Citation needed
216,Wikipedia:Verifiability
217,Template:Bandai Namco franchises
218,Template:Dark Souls series
219,Template:FromSoftware
220,Template talk:Bandai Namco franchises
221,Template talk:Dark Souls series
222,Template talk:FromSoftware
223,Category:Articles containing potentially dated statements from March 2021
224,Category:Articles with unsourced statements from August 2022
225,Category:Dark Souls
226,Category:FromSoftware games
227,Category:Use mdy dates from November 2020
228,Category:Wikipedia articles needing factual verification from July 2022
