,links
0,1UP.com
1,1Up.com
2,3D Dot Game Heroes
3,4Gamer.net
4,ASCII Media Works
5,Academy of Interactive Arts & Sciences
6,Action role-playing
7,Action role-playing game
8,Active Gaming Media
9,Anor Londo
10,Another Century's Episode
11,Another Century's Episode: R
12,Another Century's Episode 2
13,Another Century's Episode 3: The Final
14,Another Century's Episode Portable
15,Armored Core
16,Armored Core: For Answer
17,Armored Core: Formula Front
18,Armored Core: Last Raven
19,Armored Core: Master of Arena
20,Armored Core: Nexus
21,Armored Core: Nine Breaker
22,Armored Core: Project Phantasma
23,Armored Core: Verdict Day
24,Armored Core (video game)
25,Armored Core 2
26,Armored Core 2: Another Age
27,Armored Core 3
28,Armored Core 4
29,Armored Core V
30,Atlus
31,Atlus USA
32,Bandai Namco Entertainment
33,Bloodborne
34,Bluepoint Games
35,Boss (video game)
36,Bushido Blade (video game)
37,Character class
38,Chromehounds
39,Computing platform
40,Conan the Barbarian (1982 film)
41,Cooperative video game
42,Dark Souls
43,Dark Souls: Artorias of the Abyss
44,Dark Souls (video game)
45,Dark Souls II
46,Dark Souls II: The Lost Crowns
47,Dark Souls III
48,Dark Souls III: The Ringed City
49,Dark Souls – The Board Game
50,Dark fantasy
51,Demon's Souls (2020 video game)
52,Destructoid
53,Déraciné
54,Echo Night
55,Echo Night: Beyond
56,Echo Night (video game)
57,Echo Night 2: The Lord of Nightmares
58,Edge (magazine)
59,Elden Ring
60,Enchanted Arms
61,Eternal Ring
62,Eurogamer
63,Evergrace
64,Excalibur (film)
65,Experience point
66,Famitsu
67,Forever Kingdom
68,Frame Gride
69,Frank Frazetta
70,FromSoftware
71,Future plc
72,G4 (U.S. TV channel)
73,Gamasutra
74,GamePro
75,GameSpot
76,GameTrailers
77,Game Informer
78,Game Revolution
79,Game over
80,Gamebook
81,GamesRadar
82,GamesRadar+
83,Ghost (video gaming)
84,Glossary of video game terms
85,Health (gaming)
86,Hepburn romanization
87,Hidetaka Miyazaki
88,Host (network)
89,IDG Entertainment
90,IGN
91,ISBN (identifier)
92,IXIT Corporation
93,Intellectual property
94,Interactive Achievement Awards
95,Japan
96,Japan Studio
97,Japanese language
98,Jesse Divnich
99,Kadokawa Corporation
100,King's Field
101,King's Field (video game)
102,King's Field II
103,King's Field III
104,King's Field IV
105,Kokia (singer)
106,Kotaku
107,Kuon
108,Level (video gaming)
109,List of video games considered the best
110,Lost Kingdoms
111,Lost Kingdoms II
112,MTV
113,Metacritic
114,Metal Wolf Chaos
115,Mobile Suit Gundam Unicorn (video game)
116,Monster Hunter
117,Monster Hunter Diary
118,Multiplayer
119,Multiplayer video game
120,Murakumo: Renegade Mech Pursuit
121,Namco Bandai Games
122,Namco Bandai Partners
123,Ninja Blade
124,North America
125,Official U.S. PlayStation Magazine
126,Ornstein and Smough
127,Otogi: Myth of Demons
128,Otogi 2: Immortal Warriors
129,PAL region
130,PC World (magazine)
131,Permanent death
132,PlayStation 3
133,PlayStation 5
134,PlayStation Blog
135,PlayStation Network
136,Player versus player
137,Polygon (website)
138,Ranni the Witch
139,ScrewAttack
140,Sekiro: Shadows Die Twice
141,Server (computing)
142,Shadow Tower
143,Shadow Tower Abyss
144,Shadow of the Colossus
145,Shadow of the Colossus (2018 video game)
146,Shuhei Yoshida
147,Sif (Dark Souls)
148,Silent Line: Armored Core
149,Single-player
150,Slashy Souls
151,Solaire of Astora
152,Sony Computer Entertainment
153,Sony Computer Entertainment Europe
154,Sony Greatest Hits
155,Sony Interactive Entertainment
156,Soulslike
157,Spawning (gaming)
158,Spiritual successor
159,Statistic (role-playing games)
160,Steel Battalion: Heavy Armor
161,Tales of the World: Radiant Mythology 2
162,Tenchu
163,The Adventures of Cookie & Cream
164,The Elder Scrolls IV: Oblivion
165,The Escapist (magazine)
166,The Guardian
167,Tokyo Game Show
168,USgamer
169,VG247
170,Video game artist
171,Video game composer
172,Video game creative director
173,Video game designer
174,Video game developer
175,Video game genre
176,Video game producer
177,Video game programmer
178,Video game publisher
179,Wayback Machine
180,Wizardry
181,X-Play
182,Yharnam
183,Yoshitsune Eiyūden: The Story of Hero Yoshitsune
184,Wikipedia:Contents/Portals
185,Template:Cite journal
186,Template:Dark Souls series
187,Template:FromSoftware
188,Template:Hidetaka Miyazaki
189,Template talk:Dark Souls series
190,Template talk:FromSoftware
191,Template talk:Hidetaka Miyazaki
192,Help:CS1 errors
193,Category:Dark Souls
194,Category:FromSoftware games
195,Portal:Japan
196,Portal:Video games
