,links
0,ARM architecture
1,Aaron Boulding
2,Academy of Interactive Arts and Sciences
3,Action-RPG
4,Action role-playing game
5,Activision Blizzard
6,Alpine climate
7,Alyssa Wong
8,Ambient industrial
9,Angkor Wat
10,Battle.net
11,Battlefield 1942
12,Berkshire Hathaway
13,Bill Roper (video game producer)
14,Blackthorne
15,Blitzchung controversy
16,BlizzCon
17,Blizzard Entertainment
18,Blizzard North
19,Business Wire
20,CBS Interactive
21,CNET
22,CNET Gamecenter
23,California Department of Fair Employment and Housing v. Activision Blizzard
24,Call of Duty (video game)
25,Call of Duty 4: Modern Warfare
26,Central America
27,Cheating in online games
28,Chris Metzen
29,Classic Mac OS
30,Collector's edition
31,Columbine High School massacre
32,Computer Gaming World
33,Computer and Video Games
34,Computing platform
35,Cow level
36,Cross-platform play
37,Crunch time (video gaming)
38,D.I.C.E. Award for Game of the Year
39,Dark fantasy
40,David A. Thomas (voice actor)
41,David Brevik
42,Deckard Cain
43,Destructoid
44,Diablo: Hellfire
45,Diablo (series)
46,Diablo (video game)
47,Diablo II: Lord of Destruction
48,Diablo II: Resurrected
49,Diablo III
50,Diablo III: Reaper of Souls
51,Diablo III: Rise of the Necromancer
52,Diablo II Soundtrack
53,Diablo IV
54,Diablo Immortal
55,Dragon Age: Inquisition
56,Dual wield
57,Echoes of War
58,Edge (magazine)
59,Egypt
60,Entertainment and Leisure Software Publishers Association
61,Eurogamer
62,Europe
63,Experience point
64,Experimental music
65,Fallout 4
66,Future US
67,Gamasutra
68,GameFAQs
69,GamePro
70,GameRankings
71,GameSpot
72,GameSpy
73,Game Informer
74,Gears of War (video game)
75,Gerald Brom
76,German language
77,God of War (2005 video game)
78,God of War (2018 video game)
79,GoldenEye 007 (1997 video game)
80,Gothic architecture
81,Greatest games of all time
82,Greg Street
83,Guinness Book of World Records
84,Hack and slash
85,Hades (video game)
86,Half-Life 2
87,Halo: Combat Evolved
88,Hearthstone
89,Heroes of the Storm
90,Hindu
91,Horror fiction
92,IGN
93,Imagine Media
94,Interactive Achievement Awards
95,It Takes Two (video game)
96,Jeff Kaplan
97,Jessica Straus (voice actress)
98,Josh Mosqueira
99,Journey (2012 video game)
100,Justice League Task Force (video game)
101,Kevin Martens
102,Korea StarCraft League
103,Larry B. Scott
104,Leonard Boyarsky
105,List of Blizzard Entertainment games
106,List of Diablo novels
107,List of PC exclusive titles
108,List of PC titles
109,LittleBigPlanet (2008 video game)
110,Local area network
111,Lucy Bradshaw (game developer)
112,MBW (identifier)
113,MacOS
114,Mark Kern
115,Martial arts
116,Mass Effect 2
117,Massively multiplayer online
118,Matt Uelmen
119,Mayan civilization
120,Mercenary
121,Metacritic
122,Michael Bell (actor)
123,Michael McConnohie
124,Michael Morhaime
125,Michio Okamura
126,Microsoft Windows
127,Multiplayer video game
128,NPD Group
129,Neal Acree
130,New York University
131,Newspapers.com
132,Next Generation (magazine)
133,Nintendo Switch
134,North America
135,Online video game
136,Overwatch
137,Overwatch (video game)
138,Overwatch 2
139,Overwatch Contenders
140,Overwatch League
141,Overwatch World Cup
142,PC Data
143,PC Gamer
144,PC Player (German magazine)
145,Pandora (console)
146,Patrick Wyatt
147,Permadeath
148,Personal computer
149,PlayStation 4
150,PlayStation 5
151,Porting
152,Proletariat (company)
153,RPM Racing
154,Retail software
155,Reverse engineering
156,Richard A. Knaak
157,Rob Pardo
158,Rock n' Roll Racing
159,Rod Fergusson
160,Russell Brower
161,Sam Lantinga
162,Samwise Didier
163,Single-player video game
164,Spectrasonics
165,StarCraft
166,StarCraft: Remastered
167,StarCraft (video game)
168,StarCraft II
169,StarCraft II World Championship Series
170,StarCraft II in esports
171,StarCraft in esports
172,Static recompilation
173,Stieg Hedlund
174,Taiga
175,Tank (video games)
176,The Death and Return of Superman
177,The Elder Scrolls V: Skyrim
178,The Last of Us
179,The Legend of Zelda: Breath of the Wild
180,The Legend of Zelda: Ocarina of Time
181,The Lost Vikings
182,The Lost Vikings 2
183,The Philadelphia Inquirer
184,The Sims (video game)
185,Time (magazine)
186,Time Inc.
187,Tom Chick
188,Uncharted 2: Among Thieves
189,Untitled Goose Game
190,VIAF (identifier)
191,Vicarious Visions
192,Video game
193,Video game artist
194,Video game composer
195,Video game creative director
196,Video game designer
197,Video game developer
198,Video game genre
199,Video game producer
200,Video game programmer
201,Video game publisher
202,Video game writer
203,Vivendi Games
204,Warcraft
205,Warcraft: Orcs & Humans
206,Warcraft II: Tides of Darkness
207,Warcraft III: Reforged
208,Warcraft III: Reign of Chaos
209,Warcraft III in esports
210,Wayback Machine
211,Windows 2000
212,Windows 95
213,Windows XP
214,World of Warcraft
215,World of Warcraft: Cataclysm
216,World of Warcraft: The Burning Crusade
217,World of Warcraft: Wrath of the Lich King
218,X86
219,Xbox One
220,Xbox Series X and Series S
221,Yahoo
222,Wikipedia:Citing sources
223,Wikipedia:Manual of Style/Dates and numbers
224,Wikipedia:No original research
225,Wikipedia:Verifiability
226,Template:Blizzard Entertainment
227,Template:DICE GOTY
228,Template:Diablo
229,Template talk:Blizzard Entertainment
230,Template talk:DICE GOTY
231,Template talk:Diablo
232,Help:Authority control
233,Help:Maintenance template removal
234,Category:Articles containing potentially dated statements from July 2016
235,Category:Articles that may contain original research from August 2020
236,Category:Articles to be expanded from November 2019
237,Category:Articles with BNF identifiers
238,Category:Articles with MusicBrainz work identifiers
239,Category:Articles with VIAF identifiers
240,Category:Diablo (series)
241,Category:Use mdy dates from September 2016
242,Category:Vague or ambiguous time from April 2015
243,Portal:Video games
