,links
0,1UP.com
1,Academy of Interactive Arts & Sciences
2,Adam Sessler
3,Air brake (road vehicle)
4,Amusement Vision
5,Analog stick
6,Arcade cabinet
7,Arcade game
8,Arcade system board
9,Audio mastering
10,BBC News
11,Background music
12,Captain Falcon
13,Cheat cartridge
14,Compact disc
15,Computer and Video Games
16,Computing platform
17,Daiki Kasho
18,Daytona USA (arcade game)
19,Daytona USA 2
20,Difficulty level
21,E3 (Electronic Entertainment Expo)
22,Edge (magazine)
23,Electronic Entertainment Expo
24,Electronic Gaming Monthly
25,Eurogamer
26,Europe
27,F-Zero
28,F-Zero: GP Legend (video game)
29,F-Zero: Maximum Velocity
30,F-Zero (video game)
31,F-Zero AX
32,F-Zero Climax
33,F-Zero X
34,Famitsu
35,Fighting Vipers 2
36,Full motion video
37,Future Publishing
38,Future plc
39,GameCube
40,GamePro
41,GameSpot
42,GameSpy
43,GameStats
44,GameTrailers
45,Ghost (video gaming)
46,Gran Turismo (series)
47,HUD (video gaming)
48,Health (game terminology)
49,Hidenori Shoji
50,IGN
51,ISBN (identifier)
52,ISSN (identifier)
53,JAMMA
54,Japan
55,Jeff Gerstmann
56,Life (video games)
57,List of F-Zero media
58,List of video games considered the best
59,Local area network
60,Magnetic stripe card
61,Mario Kart
62,Matt Casamassina
63,Memory card
64,Metacritic
65,Midway Games
66,Multiplayer video game
67,NDcube
68,Namco
69,Nintendo
70,Nintendo 64
71,Nintendo EAD
72,Nintendo Entertainment Analysis and Development
73,Nintendo GameCube
74,Nintendo Land
75,North America
76,Official Nintendo Magazine
77,Peer Schneider
78,Plasma (physics)
79,Player's Choice
80,Racing video game
81,Record label
82,Saved game
83,Scitron
84,Sega
85,Servomotor
86,Shigeru Miyamoto
87,Shin'en Multimedia
88,Shoulder button
89,Sic
90,Single-player video game
91,Super Monkey Ball (video game)
92,Super Smash Bros.
93,Suzak Inc.
94,Takaya Imamura
95,TechTV
96,Techno
97,The Orange County Register
98,Time Attack
99,Toshihiro Nagoshi
100,Triforce (Arcade Board)
101,Triforce (arcade system board)
102,Triforce project
103,United Kingdom
104,Vehicular combat
105,Video game composer
106,Video game creative director
107,Video game developer
108,Video game development parties
109,Video game genre
110,Video game producer
111,Video game publisher
112,Videoconferencing
113,X-Play
114,Zero Racers
115,Ziff Davis
116,Wikipedia:Contents/Portals
117,Wikipedia:Featured articles
118,Template:F-Zero
119,Template talk:F-Zero
120,Portal:Speculative fiction
121,Portal:Video games
