,links
0,22cans
1,Action role-playing game
2,Albion (Fable)
3,Association football
4,Australasia
5,BC (video game)
6,Black & White: Creature Isle
7,Black & White (video game)
8,Black & White 2
9,Black & White 2: Battle of the Gods
10,Bloodhound
11,British Academy Video Games Awards
12,British Academy of Film and Television Arts
13,Bullfrog Productions
14,CBS Corporation
15,Computing platform
16,Condom
17,Cooperative video game
18,Cot death
19,Dalmatian (dog)
20,Danny Elfman
21,Demis Hassabis
22,Downloadable content
23,E3 2008
24,Early modern period
25,Edge (magazine)
26,Electronic Gaming Monthly
27,Elixir Studios
28,Entertainment and Leisure Software Publishers Association
29,Eurogamer
30,Europe
31,Fable: The Balverine Order
32,Fable: The Journey
33,Fable (2004 video game)
34,Fable (upcoming video game)
35,Fable (video game series)
36,Fable Fortune
37,Fable Heroes
38,Fable III
39,Fable II Pub Games
40,Fable Legends
41,Gamasutra
42,GamePro
43,GameSpot
44,GameTrailers
45,Game Informer
46,GamesRadar+
47,Gary Carr (video game developer)
48,Greatest video games ever made
49,Husky
50,IGN
51,ISBN (identifier)
52,Lionhead Studios
53,List of Lionhead Studios games
54,Mark Healey
55,Mark Webley
56,Media Molecule
57,Metacritic
58,Microsoft
59,Microsoft Game Studios
60,Multiplayer
61,Music of the Fable series
62,North America
63,Official Xbox Magazine
64,Open world
65,People for the Ethical Treatment of Animals
66,Peter Molyneux
67,Platinum Hits
68,Project Milo
69,Rare (company)
70,Ron Glass
71,Russell Shaw (composer)
72,Same-sex marriage
73,Sexually transmitted disease
74,Single-player
75,Standard-definition television
76,Stephen Fry
77,Steve Jackson (British game designer)
78,Suggested retail price
79,System Link
80,The Movies
81,Two Point Studios
82,Unity (video game)
83,Video game
84,Video game composer
85,Video game designer
86,Video game developer
87,Video game genre
88,Video game publisher
89,X-Play
90,Xbox 360
91,Xbox Game Studios
92,Zoë Wanamaker
93,Template:Fable series
94,Template:Lionhead Studios
95,Template talk:Fable series
96,Template talk:Lionhead Studios
97,Help:Authority control
98,Category:Articles with BNF identifiers
99,Category:Use dmy dates from December 2015
