,links
0,2005 24 Hours of Le Mans
1,24 Hours of Le Mans
2,A. J. Allmendinger
3,AI
4,Acura NSX
5,Audi e-tron Vision Gran Turismo
6,BMW M5
7,Brake fade
8,Bugatti Vision Gran Turismo
9,Chevrolet Corvette (C6)
10,Circuit Ricardo Tormo
11,Circuit de la Sarthe
12,Computing platform
13,Courage C60
14,Credits (science fiction)
15,DMC DeLorean
16,Detroit Free Press
17,Drafting (racing)
18,Driving Force Pro
19,E3 2003
20,E3 2009
21,Edge (magazine)
22,Edmunds.com
23,Electronic Entertainment Expo
24,Entertainment and Leisure Software Publishers Association
25,Enzo Ferrari (automobile)
26,Eurogamer
27,Europe
28,Famitsu
29,Fittipaldi EF7
30,Ford GT
31,Fuji Speedway
32,GT Academy
33,GT Force Pro
34,GT by Citroën
35,Gamasutra
36,GamePro
37,GameRevolution
38,GameSpot
39,GameSpy
40,Game Critics Awards
41,Game Informer
42,Game Revolution
43,Game artificial intelligence
44,Geneva Motor Show
45,Gran Turismo (1997 video game)
46,Gran Turismo (2009 video game)
47,Gran Turismo (series)
48,Gran Turismo 2
49,Gran Turismo 3: A-Spec
50,Gran Turismo 5
51,Gran Turismo 5 Prologue
52,Gran Turismo 6
53,Gran Turismo 7
54,Gran Turismo Concept
55,Gran Turismo HD Concept
56,Gran Turismo Sport
57,Gran Turismo World Series
58,Gran Turismo official steering wheel
59,Grand Canyon
60,Haptic technology
61,Honda NSX
62,Honda NSX (first generation)
63,Hyundai N 2025 Vision Gran Turismo
64,IGN
65,JGTC
66,Japan
67,Japan National Route 246
68,Jay Leno Tank Car
69,Jeremy Clarkson
70,Kazunori Yamauchi
71,Laguna Seca Raceway
72,List of best-selling PlayStation 2 video games
73,Logicool
74,Logitech
75,Logitech Driving Force GT
76,Logitech G25
77,Logitech G27
78,Masahiro Andoh
79,Maxim (magazine)
80,Mazda MX-5
81,Mercedes-Benz AMG Vision Gran Turismo
82,Metacritic
83,Multiplayer video game
84,New York City
85,New York International Auto Show
86,"Nike, Inc."
87,Nike ONE
88,Nissan 350Z
89,Nissan GT-R
90,Nissan R89C
91,North America
92,Official U.S. PlayStation Magazine
93,Online chat
94,PSP Go
95,Pagani Zonda
96,Pit stop
97,PlayStation
98,PlayStation 2
99,PlayStation 3
100,PlayStation Portable
101,Polyphony Digital
102,Public beta
103,Racing video game
104,Red Bull X2010
105,Review aggregator
106,Ryo Michigami
107,SRT Tomahawk
108,Satoshi Motoyama
109,Sim racing
110,Single player video game
111,Sony
112,Sony Computer Entertainment
113,South Korea
114,Southeast Asia
115,Stock-keeping unit
116,Super GT
117,Sébastien Loeb
118,The Globe and Mail
119,The New York Times
120,The Sunday Times
121,The Sydney Morning Herald
122,The Times
123,Time Trial
124,Top Gear (current format)
125,Top Gear (series 7)
126,Tourist Trophy (video game)
127,Toyota 7
128,Toyota MTRC
129,Toyota Prius
130,Tsukuba Circuit
131,Typo
132,Video game artist
133,Video game composer
134,Video game creative director
135,Video game developer
136,Video game genre
137,Video game producer
138,Video game publisher
139,Vision Gran Turismo
140,Volkswagen GTI Roadster Vision Gran Turismo
141,Wayback Machine
142,World Rally Championship
143,Yahoo! Games
144,Template:Gran Turismo series
145,Template talk:Gran Turismo series
146,Help:Authority control
147,Category:Articles with BNF identifiers
148,Portal:Japan
149,Portal:Video games
