,links
0,1UP.com
1,3D Ultra Minigolf (game series)
2,A City Sleeps
3,Activision
4,Activision Blizzard
5,"Activision Publishers, Inc. vs Gibson Guitars Corp."
6,Adobe Flash
7,Advertising Age
8,Aerosmith
9,Amazon.com
10,"American Society of Composers, Authors and Publishers"
11,Amplitude (2003 video game)
12,Amplitude (2016 video game)
13,Arcade game
14,Ars Technica
15,Aspyr
16,Assault Heroes
17,Avatar (computing)
18,Band Hero
19,Bass guitar
20,Battle.net
21,Beatmania
22,Beenox
23,Beenox Studios
24,Behaviour Santiago
25,Billboard (magazine)
26,Billy Corgan
27,Bizarre Creations
28,Blink-182
29,Blizzard Entertainment
30,Boing Boing
31,BradyGames
32,Bret Michaels
33,Budcat Creations
34,CNBC
35,California Department of Fair Employment and Housing v. Activision Blizzard
36,Call of Duty
37,Carlos Santana
38,Cease and desist
39,Chris Prynoski
40,Clone (computing)
41,Clone Hero
42,Computer And Video Games
43,Courtney Love
44,Cover version
45,Cowboys From Hell
46,Crash Bandicoot
47,Cultural impact of the Guitar Hero series
48,Curlie
49,D-Pad Hero
50,DJ Hero
51,DJ Hero 2
52,DJ mix
53,Dance Central
54,Dance Central (video game)
55,Dance Central 2
56,Dance Central 3
57,Dance Central Spotlight
58,Dance Dance Revolution
59,Dave Mustaine
60,Death Magnetic
61,Demonware
62,Develop (magazine)
63,Downloadable content
64,DropMix
65,Drum kit
66,Eddie Van Halen
67,Edge (magazine)
68,Electronic Arts
69,Engadget
70,Entertainment Weekly
71,Eurogamer
72,EyeToy: AntiGrav
73,Fantasia: Music Evolved
74,Financial Times
75,First-person shooter
76,Flash Video
77,Foo Fighters
78,Forbes (magazine)
79,FreeStyleGames
80,Free Bird
81,Frequency (video game)
82,Fret
83,Frets on Fire
84,Fuser (video game)
85,G4 (U.S. TV channel)
86,Gamasutra
87,GameRankings
88,GameSpot
89,GameSpy
90,GameStop
91,Game Informer
92,Game Set Watch
93,Game controller
94,Gamepad
95,Gene Simmons
96,Geometry Wars: Retro Evolved
97,Giant Bomb
98,Gibson Explorer
99,Gibson Guitar Corporation
100,Gibson Les Paul
101,Gibson SG
102,Glu Mobile
103,Gray Matter Studios
104,Green Day: Rock Band
105,Guitar
106,Guitar Freaks
107,Guitar Hero: Aerosmith
108,Guitar Hero: Metallica
109,Guitar Hero: On Tour
110,Guitar Hero: On Tour series
111,Guitar Hero: Van Halen
112,Guitar Hero: Warriors of Rock
113,Guitar Hero (disambiguation)
114,Guitar Hero (video game)
115,Guitar Hero 5
116,Guitar Hero Encore: Rocks the 80s
117,Guitar Hero II
118,Guitar Hero III: Legends of Rock
119,Guitar Hero Live
120,Guitar Hero Mobile series
121,Guitar Hero On Tour: Decades
122,Guitar Hero On Tour: Modern Hits
123,Guitar Hero Smash Hits
124,Guitar Hero World Tour
125,Guitar Queer-O
126,Guitar chord
127,Guitar pick
128,Hammer-on
129,Handedness
130,Handheld electronic game
131,Hands-On Mobile
132,Harmonix
133,Hayley Williams
134,Health (game mechanic)
135,Heavy Metal Subculture
136,Heavy metal music
137,High Moon Studios
138,IGN
139,IOS
140,ISBN (identifier)
141,ITunes Store
142,Idiomag
143,Inc. (magazine)
144,Industry Gamers
145,Infinity Ward
146,Infocom
147,Jack McCauley
148,Jesse Divnich
149,Jimi Hendrix
150,Joe Perry (musician)
151,Johnny Cash
152,Karaoke
153,Karaoke Revolution
154,King's Quest
155,Kmart (United States)
156,Konami
157,Kotaku
158,Kurt Cobain
159,Laches (equity)
160,Late-2000s recession
161,Lead guitar
162,Lego Rock Band
163,List of Activision Value games
164,List of Activision games: 1980–1999
165,List of Activision games: 2000–2009
166,List of Activision games: 2010–2019
167,List of Activision games: 2020–present
168,List of Activision video games
169,List of Cabela's video games
170,List of Karaoke Revolution songs
171,List of songs in DJ Hero
172,List of songs in DJ Hero 2
173,List of songs in Green Day: Rock Band
174,List of songs in Guitar Hero
175,List of songs in Guitar Hero: Aerosmith
176,List of songs in Guitar Hero: Metallica
177,List of songs in Guitar Hero: Warriors of Rock
178,List of songs in Guitar Hero 5
179,List of songs in Guitar Hero II
180,List of songs in Guitar Hero III: Legends of Rock
181,List of songs in Guitar Hero Live
