,links
0,Advance Guardian Heroes
1,Alien Soldier
2,Arcade game
3,Arcade system board
4,Astro Boy: Omega Factor
5,Atari
6,Bangai-O
7,Bangai-O Spirits
8,Bleach: Dark Souls
9,Bleach: The Blade of Fate
10,Border Down
11,CBS Interactive
12,Computing platform
13,Cooperative video game
14,Destructoid
15,Dragon Drive: D-Masters Shot
16,Dreamcast
17,Dynamite Headdy
18,Entertainment Software Publishing
19,Eurogamer
20,Famitsu
21,G.rev
22,Gaist Crusher
23,Gamasutra
24,GameCube
25,GameSpot
26,GameTrailers
27,Game design
28,Game mechanics
29,Gemaga
30,Gradius V
31,Greg Kasavin
32,Guardian Heroes
33,Gun Beat
34,Gunstar Heroes
35,Gunstar Super Heroes
36,Hiroshi Iuchi
37,IGN
38,"Ikaruga, Nara"
39,Import gamers
40,Infogrames
41,Japan
42,Japanese grosbeak
43,Japanese language
44,Killer List of Videogames
45,Light Crusader
46,List of Sega arcade system boards
47,Masato Maegawa
48,McDonald's Treasure Land Adventure
49,Metacritic
50,Microsoft
51,Microsoft Windows
52,Mischief Makers
53,NESiCAxLive
54,Nicalis
55,Nintendo Life
56,Nintendo Switch
57,North America
58,PAL region
59,PlayStation 4
60,Power-up
61,Prototype
62,Radiant Silvergun
63,Rakugaki Showtime
64,"Rock, Paper, Shotgun"
65,Rock Paper Shotgun
66,Score (game)
67,ScrewAttack
68,ScrewAttack's Top 10
69,Sega NAOMI
70,Sega Saturn
71,Shinrei Jusatsushi Taromaru
72,Shoot 'em up
73,Silhouette Mirage
74,Silpheed: The Lost Planet
75,Sin & Punishment: Star Successor
76,Sin and Punishment
77,Single-player video game
78,Spiritual sequel
79,Spiritual successor
80,Steam (service)
81,Stretch Panic
82,Tiny Toon Adventures: Buster's Bad Dream
83,Tiny Toon Adventures: Defenders of the Universe
84,Treasure (company)
85,Treasure Co. Ltd.
86,UBM Technology Group
87,Vertically scrolling video game
88,Video game composer
89,Video game creative director
90,Video game designer
91,Video game developer
92,Video game genre
93,Video game producer
94,Video game programmer
95,Video game publisher
96,Wario World
97,Windows
98,Xbox 360
99,Xbox Live Arcade
100,Yu Yu Hakusho Makyō Tōitsusen
101,Wikipedia:Contents/Portals
102,Wikipedia:Good articles
103,Template:Treasure video games
104,Template talk:Treasure video games
105,Category:Articles containing potentially dated statements from 2011
106,Category:Articles containing potentially dated statements from July 2018
107,Category:Use dmy dates from January 2018
108,Portal:Video games
