,links
0,1001 Video Games You Must Play Before You Die
1,7th Dragon
2,Achievement (video gaming)
3,Acid jazz
4,Action game
5,Adventure game
6,After Burner
7,Aggressive inline skating
8,Alex Kidd
9,AllGame
10,Allgame
11,Analog stick
12,Android (operating system)
13,Anti-establishment
14,Archie Comics
15,Atlus
16,Bayonetta
17,Beastie Boys
18,Beat (character)
19,BlitWorks
20,Boss (video games)
21,Brooklyn
22,CBS Interactive
23,CNN
24,Cel shading
25,Color television
26,Columns (video game)
27,Computer and Video Games
28,Computing platform
29,Condemned: Criminal Origins
30,Crazy Taxi
31,Crazy Taxi (video game)
32,Crowdfunded
33,DC-UK
34,Daytona USA
35,Dept. Heaven
36,Destructoid
37,Devil Summoner
38,Dreamcast
39,Dreamcast Collection
40,E3 (Electronic Entertainment Expo)
41,Ecco the Dolphin
42,Edge (magazine)
43,Electronic dance music
44,Engadget
45,Eric Haze
46,Etrian Odyssey
47,Eurogamer
48,Europe
49,Famitsu
50,Fantasy Zone
51,Fight Club
52,Football Manager
53,Funk
54,Future US
55,Future plc
56,GameFan
57,GamePro
58,GameRankings
59,GameSpot
60,Game Boy Advance
61,Game Critics Awards
62,Game Developers Choice Awards
63,Game Informer
64,Gameinformer
65,Gamers' Republic
66,GamesRadar+
67,GamesTM
68,Games Done Quick
69,Golden Axe
70,Graffiti
71,Growlanser
72,Gum (character)
73,Hatsune Miku: Project DIVA
74,Health (game terminology)
75,Heavy metal music
76,Hepburn romanization
77,Hideki Naganuma
78,High-definition television
79,Hip hop music
80,IGN
81,IOS
82,ISBN (identifier)
83,ITunes
84,Imagine Media
85,Inline skates
86,Insomniac Games
87,Interactive Achievement Awards
88,International Data Group
89,Internet radio
90,Isometric video game graphics
91,J-pop
92,Japan
93,Japanese language
94,Japanese popular culture
95,"Java Platform, Micro Edition"
96,Jet Grind Radio
97,Jet Grind Radio (Game Boy Advance)
98,Jet Set Radio Future
99,Kaiju
100,Kotaku
101,Kwirk
102,Lag (video games)
103,Landstalker
104,Lethal League
105,Like a Dragon (franchise)
106,List of Sega video game franchises
107,List of Xbox games compatible with Xbox One
108,List of video games considered the best
109,Majin Tensei
110,Megami Tensei
111,Megami Tensei Gaiden: Last Bible
112,Metacritic
113,Motion sickness
114,Next Generation (magazine)
115,Nights into Dreams
116,Nintendo Switch
117,North America
118,Official Dreamcast Magazine (US)
119,Official Dreamcast Magazine (US magazine)
120,Ollie King
121,Out Run
122,PaRappa the Rapper
123,Panzer Dragoon
124,Panzer Dragoon Saga
125,Persona (series)
126,Phantasy Star
127,Pirate radio
128,Platform game
129,PlayStation (console)
130,PlayStation 2
131,PlayStation 3
132,PlayStation Plus
133,PlayStation Vita
134,Pocket Gamer
135,Polydor Records
136,Popular culture
137,Power Instinct
138,Public Enemy (music group)
139,Punk subculture
140,Puyo Puyo
141,Queens
142,Richard Jacques
143,Rob Zombie
144,Rock music
145,Roosevelt Avenue
146,Sakura Wars
147,Sampling (music)
148,"San Francisco, California"
149,Score (game)
150,Sega
151,Sega Ages
152,Sega Heroes
153,Sega Rally
154,Sega Sammy Holdings
155,Sega Saturn
156,Sega Superstars Tennis
157,Shenmue
158,Shenmue (video game)
159,Shibuya
160,Shin Megami Tensei: Devil Children
161,Shining (series)
162,Shinjuku
163,Shinobi (series)
164,Side-scrolling video game
165,Single-player video game
166,Smilebit
167,Snowboard Kids
168,Sonic & All-Stars Racing Transformed
169,Sonic & Sega All-Stars Racing
170,Sonic Universe
171,Sonic the Hedgehog
172,Sonic the Hedgehog (character)
173,Space Channel 5
174,Space Harrier
175,Speedrun
176,Sports game
177,Streets of Rage
178,Sumthing Else
179,Sunset Overdrive
180,Super Monkey Ball
181,Super Monkey Ball: Banana Mania
182,THQ
183,Team Andromeda
184,Ted Price
185,The House of the Dead
186,Thunder Force
187,Times Square
188,Tokyo
189,Tokyo Game Show
190,Tony Hawk's
191,Tony Hawk's Pro Skater 2
192,Total War (video game series)
193,TouchArcade
194,Tower Records
195,Trauma Center (video game series)
196,Trip hop
197,Universe Publishing
198,VMU
199,Valkyria Chronicles
200,Vicarious Visions
201,Vice (magazine)
202,Video game artist
203,Video game composer
204,Video game creative director
205,Video game designer
206,Video game developer
207,Video game genre
208,Video game producer
209,Video game publisher
210,Virtua Cop
211,Virtua Fighter
212,Virtua Striker
213,Virtua Tennis
214,Virtual On
215,Weekly Famitsu
216,Willie Brown (politician)
217,Windows
218,Wonder Boy
219,World Series Baseball (video game series)
220,Xbox (console)
221,Xbox 360
222,Xbox One
223,Xbox Series X and Series S
224,Yahoo!
225,YouTube
226,Zaxxon
227,Wikipedia:Good articles
228,Wikipedia:Link rot
229,Template:Jet Set Radio
230,Template:Sega Sammy franchises
231,Template talk:Jet Set Radio
232,Template talk:Sega Sammy franchises
233,Category:Articles with dead external links from September 2019
