,links
0,'Tis the Voice of the Lobster
1,101 Dalmatians (franchise)
2,20th Century Animation
3,20th Century Studios
4,20th Television
5,20th Television Animation
6,8-Bit Theater
7,A Corny Concerto
8,A Disney Halloween (1983 special)
9,A Disney Halloween (Walt Disney)
10,A New Alice in the Old Wonderland
11,ActRaiser
12,Action game
13,Action role-playing game
14,Adventures in Wonderland
15,Aerith Gainsborough
16,Air Bud (series)
17,Aladdin (1992 Disney film)
18,Aladdin (2019 film)
19,Aladdin (Disney character)
20,Aladdin (animated TV series)
21,Aladdin (franchise)
22,Aladdin and the King of Thieves
23,Alice's Adventures Under Ground (opera)
24,Alice's Adventures in Wonderland
25,Alice's Adventures in Wonderland (1910 film)
26,Alice's Adventures in Wonderland (1972 film)
27,Alice's Adventures in Wonderland (ballet)
28,Alice's Adventures in Wonderland Retold in Words of One Syllable
29,Alice's Shop
30,Alice's Wonderland Bakery
31,Alice: An Interactive Museum
32,Alice: Madness Returns
33,Alice (1982 film)
34,Alice (1988 film)
35,Alice (Alice's Adventures in Wonderland)
36,Alice (miniseries)
37,Alice Comedies
38,Alice Liddell
39,Alice Through the Looking Glass (1966 film)
40,Alice Through the Looking Glass (1987 film)
41,Alice Through the Looking Glass (2016 film)
42,Alice Through the Needle's Eye
43,Alice by Heart
44,Alice in Blunderland: An Iridescent Dream
45,Alice in Borderland
46,Alice in Murderland (manga)
47,Alice in Orchestralia
48,Alice in Verse: The Lost Rhymes of Wonderland
49,Alice in Wonderland (1903 film)
50,Alice in Wonderland (1915 film)
51,Alice in Wonderland (1931 film)
52,Alice in Wonderland (1933 film)
53,Alice in Wonderland (1949 film)
54,Alice in Wonderland (1951 film)
55,Alice in Wonderland (1962 film)
56,Alice in Wonderland (1966 TV play)
57,Alice in Wonderland (1976 film)
58,Alice in Wonderland (1981 film)
59,Alice in Wonderland (1985 film)
60,Alice in Wonderland (1985 video game)
61,Alice in Wonderland (1988 film)
62,Alice in Wonderland (1999 film)
63,Alice in Wonderland (2000 video game)
64,Alice in Wonderland (2010 film)
65,Alice in Wonderland (2010 video game)
66,Alice in Wonderland (franchise)
67,Alice in Wonderland (musical)
68,Alice in Wonderland (opera)
69,Alice in Wonderland or What's a Nice Kid Like You Doing in a Place Like This?
70,Alice in the Country of Hearts
71,Alice no Paint Adventure
72,Alice of Wonderland in Paris
73,Alice or the Last Escapade
74,Alice through the Looking Glass (1998 film)
75,Alien (franchise)
76,Alien Nation
77,Alien vs. Predator
78,Alinda of the Loch
