,links
0,1UP.com
1,1Up.com
2,28 Days Later
3,2Fort
4,Academy of Interactive Arts & Sciences
5,Alien Swarm
6,Allegheny National Forest
7,Aperture Desk Job
8,Aperture Hand Lab
9,Armored personnel carrier
10,Arstechnica
11,Artifact (video game)
12,Assault rifle
13,Asymptomatic carrier
14,Australasia
15,BAFTA
16,Back 4 Blood
17,Bay Raitt
18,Bit-tech
19,Boss (video games)
20,Brad Muir
21,British Academy Video Games Awards
22,British Academy of Film and Television Arts
23,C-130 Hercules
24,CBS Interactive
25,Campo Santo (company)
26,Certain Affinity
27,Chet Faliszek
28,Chris Remo
29,Clipping (computer graphics)
30,Color correction
31,Computer game bot
32,Computing platform
33,Contrast (vision)
34,Counter-Strike
35,Counter-Strike: Condition Zero
36,Counter-Strike: Global Offensive
37,Counter-Strike: Source
38,Counter-Strike (video game)
39,Cutscene
40,Dawn of the Dead (2004 film)
41,Day of Defeat
42,Day of Defeat: Source
43,Dead by Daylight
44,Dedicated server
45,Deep Rock Galactic
46,Dota
47,Dota 2
48,Dota Underlords
49,Doug Church
50,Downloadable content
51,Dual wield
52,Dust II
53,Dynamic game difficulty balancing
54,E3 2021
55,East Coast of the United States
56,Edge (magazine)
57,Electronic Entertainment Expo
58,Electronic Gaming Monthly
59,Emergent gameplay
60,Erik Wolpaw
61,Eurogamer
62,Europe
63,Evil Dead: The Game
64,Experimental music
65,Famitsu
66,Film grain
67,First-aid kit
68,First-person shooter
69,First-person shooter game
70,First aid kit
71,Florida Keys
72,Fred Tatasciore
73,Friendly fire
74,Future plc
75,Gabe Newell
76,GameSpot
77,GameSpy
78,GameStop
79,GameTrailers
80,Game Daily
81,Game Informer
82,Game artificial intelligence
83,Game engine
84,Garry's Mod
85,Georgia (U.S. state)
86,Giant Bomb
87,GoldSrc
88,Half-Life: Alyx
89,Half-Life: Blue Shift
90,Half-Life: Decay
91,Half-Life: Opposing Force
92,Half-Life (series)
93,Half-Life (video game)
94,Half-Life 2
95,Half-Life 2: Deathmatch
96,Half-Life 2: Episode One
97,Half-Life 2: Episode Two
98,Half-Life 2: Lost Coast
99,Health (game mechanic)
100,Helicopter
101,Hideo Kojima
102,IGN
103,IMDb
104,Jake Rodkin
105,Jane Ng
106,Jay Pinkerton
107,Jen Taylor
108,Jeri Ellsworth
109,Jess Cliffe
110,Jim French (radio)
111,John Patrick Lowrie
112,Kelly Bailey (composer)
113,Kim Swift
114,Kotaku
115,Left 4 Dead: The Sacrifice
116,Left 4 Dead (franchise)
117,Left 4 Dead (series)
118,Left 4 Dead 2
119,Leitmotif
120,List of Valve games
121,Mac OS X
122,Marc Laidlaw
123,Maximum PC
124,Melee
125,Metacritic
126,Metal Gear (series)
127,Michael Abrash
128,Microsoft
129,Microsoft Windows
130,Mike Ambinder
131,Mike Harrington
132,Mike Morasky
133,Mike Oeming
134,Mike Patton
135,Minh Le
136,Minigun
137,Molotov cocktail
138,Multi-core processor
139,Multiplayer
140,Muzzle flash
141,NoFrag
142,Normal mapping
143,North America
144,Official Xbox Magazine
145,Olly Moss
146,OpenVR
147,Outlaw motorcycle club
148,PC Gamer
149,PC Gamer UK
150,Pathogen
151,Payday: The Heist
152,Pennsylvania
153,Personal computer
154,Physics engine
155,Pipe bomb
156,Pixel Force: Left 4 Dead
157,Playtest
158,Polygon (website)
159,Portal (series)
160,Portal (video game)
161,Portal 2
162,Powers (comics)
163,Proton (software)
164,Psychosis
165,Pump action
166,QuakeCon 2007
167,Quarantine (2008 film)
168,Rabies
169,Rainbow Six Extraction
170,Redfall
171,Release to manufacture
172,Replay value
173,Resident Evil 6
174,Robin Walker (game designer)
175,Rock Paper Shotgun
176,Role-playing game
177,Sam Lantinga
178,"San Jose, California"
179,Sean Vanaman
180,Self-shadowing
181,Semi-automatic shotgun
182,Sequel
183,Shacknews
184,Single-player
185,SketchUp
186,Source (game engine)
187,Source 2
188,Source Filmmaker
189,Source engine
190,Spawn point
191,Spawning (computer gaming)
192,Special Forces (United States Army)
193,Spike TV
194,Split screen (computer graphics)
195,SteamOS
196,Steam (service)
197,Steam Awards
198,Steam Controller
199,Steam Deck
200,Steam Link
201,Steam Machine (computer)
202,Steam Trading Cards
203,Submachine gun
204,Survival horror
205,Survival mode
206,System Link
207,TeamXbox
208,Team Fortress 2
209,Team Fortress Classic
210,Teaser trailer
211,The Crossing (video game)
212,The Lab (video game)
213,The Orange Box
214,Turtle Rock Studios
215,Undead
216,United States Armed Forces
217,Unreleased Half-Life games
218,Unsharp masking
219,Valve
220,Valve Anti-Cheat
221,Valve Corporation
222,Valve Index
223,Valve South
224,Vertical-lift bridge
225,Vgchartz
226,Video game composer
227,Video game designer
228,Video game developer
229,Video game genre
230,Video game publisher
231,Video game writer
232,Video post-processing
233,Vietnam War
234,Vignetting
235,Warhammer: End Times – Vermintide
236,Warhammer: Vermintide 2
237,Wayback Machine
238,World Opponent Network
239,X-Play
240,Xbox 360
241,Zombie
242,Zombie Army 4: Dead War
243,Zombie Army Trilogy
244,Zombie film
245,Zombie outbreak
246,Zombies
247,Wikipedia:Link rot
248,Template:Left 4 Dead
249,Template:Valve
250,Template talk:Left 4 Dead
251,Template talk:Valve
252,Category:Articles with dead external links from February 2020
253,Category:Left 4 Dead (franchise)
254,Category:Use mdy dates from June 2019
255,Category:Valve Corporation
