,links
0,1UP.com
1,3D computer graphics
2,AM2R
3,Action-adventure game
4,Album
5,AllGame
6,Ammunition
7,Arcade game
8,Arrangement
9,"Austin, Texas"
10,Australasia
11,Bandai Namco Entertainment
12,Boss (video games)
13,Bounty hunter
14,Brazil
15,CBS Interactive
16,Captain N: The Game Master
17,Characters in the Metroid series
18,Circle strafing
19,ComputerAndVideoGames.com
20,Computer Entertainment Supplier's Association
21,Computing platform
22,Concept art
23,Crunch time (video gaming)
24,Cutscene
25,Dark Samus
26,Digital distribution
27,Distress signal
28,Dolby Pro Logic
29,Donkey Kong Country: Tropical Freeze
30,Donkey Kong Country Returns
31,Doom (1993 video game)
32,E3 2015
33,E3 2017
34,Edge (magazine)
35,Electronic Gaming Monthly
36,Entertainment Weekly
37,Eurogamer
38,Europe
39,Fallout 3
40,Filter (TV series)
41,First-person (gaming)
42,First-person (video games)
43,First-person shooter
44,Fuse Games
45,Future plc
46,G4 (U.S. TV channel)
47,Galactic Pinball
48,Gamasutra
49,GameCube
50,GameCube – Game Boy Advance link cable
51,GameFAQs
52,GamePro
53,GameRankings
54,GameSpot
55,GameSpy
56,Game Boy Advance
57,Game Developers Choice Award for Game of the Year
58,Game Developers Choice Awards
59,Game Developers Conference
60,Game Informer
61,Game demo
62,Game engine
63,GamesTM
64,Gears of War (video game)
65,Geist (video game)
66,Genetically modified
67,Geothermal power
68,God of War (2018 video game)
69,Grand Theft Auto: Vice City
70,Grand Theft Auto III
71,Greg Kasavin
72,Gunpei Yokoi
73,Gunship
74,HAL Laboratory
75,Hades (video game)
76,Half-Life 2
77,Halo: Combat Evolved
78,Hang (computing)
79,Heads-up display (video games)
80,Health (gaming)
81,Hiroji Kiyotake
82,Hirokazu Tanaka
83,Hiroyuki Kimura
84,History of the Electronic Entertainment Expo
85,IGN
86,ISBN (identifier)
87,Iguana Entertainment
88,Imagine Publishing
89,Inscryption
90,Intelligent Systems
91,Interactive Achievement Awards
92,Japan
93,Jeff Spangenberg
94,Jet Force Gemini
95,Journey (2012 video game)
96,"Kenji Yamamoto (composer, born 1964)"
97,Kenji Yamamoto (composer born 1964)
98,Kensuke Tanabe
99,Kevin Keene
100,Kotaku
101,Level design
102,List of Game of the Year awards
103,List of Metroid media
104,List of best-selling Nintendo GameCube video games
105,List of video games considered the best
106,Magma
107,Makoto Kano (video game designer)
108,Mario Kart 7
109,Mark Pacini
110,Matt Casamassina
111,Media Create
112,MercurySteam
113,Metacritic
114,Meteor
115,Metroid
116,Metroid: Other M
117,Metroid: Samus Returns
118,Metroid: Zero Mission
119,Metroid (fictional species)
120,Metroid (manga)
121,Metroid (video game)
122,Metroid Dread
123,Metroid Fusion
124,Metroid II: Return of Samus
125,Metroid Prime: Federation Force
126,Metroid Prime: Trilogy
127,Metroid Prime 2: Echoes
128,Metroid Prime 3: Corruption
129,Metroid Prime 4
130,Metroid Prime Hunters
131,Metroid Prime Pinball
132,Metroidvania
133,Middle-earth: Shadow of Mordor
134,Mother Brain
135,Multiple endings
136,MusicBrainz
137,NTSC
138,New Play Control!
139,News Corporation (1980–2013)
140,Next Generation Magazine
141,Next Level Games
142,Nintendo
143,Nintendo 3DS
144,Nintendo 64
145,Nintendo 64 controller
146,Nintendo DS
147,Nintendo EPD
148,Nintendo Entertainment Analysis and Development
149,Nintendo Land
150,Nintendo Power
151,Nintendo Research & Development 1
152,Nintendo Software Planning & Development
153,Nintendo Software Technology
154,Nintendo Space World
155,Nintendo Switch
156,Nintendo eShop
157,Nintendo of America
158,North America
159,Official Nintendo Magazine
160,Overwatch
161,PAL
162,PAL region
163,Parallel universe (fiction)
164,Platform game
165,Player's Choice
166,Portal (video game)
167,Power-up
168,Radiography
169,Rare (company)
170,Red Dead Redemption
171,Resident Evil 4
172,Retro Studios
173,Ridley (Metroid)
174,Samus Aran
175,Science fiction
176,Scitron
177,Sequence breaking
178,Shadow of the Colossus
179,Shigeru Miyamoto
180,Silverball Studios
181,Single-player
182,Spacecraft
183,Speed Demos Archive
184,Speedrun
185,Star Wars: Knights of the Old Republic (video game)
186,Star Wars: Republic Commando
187,Star Wars 1313
188,Super Metroid
189,Super Smash Bros.
190,Super Smash Bros. Brawl
191,Super Smash Bros. Ultimate
192,Surround sound
193,Team Ninja
194,The Elder Scrolls V: Skyrim
195,The Escapist (magazine)
196,The Last of Us
197,The Legend of Zelda: Breath of the Wild
198,The Legend of Zelda: The Wind Waker
199,The Michigan Daily
200,The Sims (video game)
201,The Verge
202,The Witcher 3: Wild Hunt
203,Thermography
204,Third-person view
205,Tommy Tallarico
206,Uncharted 2: Among Thieves
207,Untitled Goose Game
208,Video game artist
209,Video game composer
210,Video game creative director
211,Video game developer
212,Video game genre
213,Video game producer
214,Video game programmer
215,Video game publisher
216,Vox Media
217,Wii
218,Wii Remote
219,Wii U
220,Wired (magazine)
221,Yoshio Sakamoto
222,Ziff Davis
223,Ziff Davis Media
224,Wikipedia:Featured articles
225,Template:GDCA GOTY
226,Template:Metroid
227,Template:Metroid chronology
228,Template:Retro Studios
229,Template talk:GDCA GOTY
230,Template talk:Metroid
231,Template talk:Metroid chronology
232,Template talk:Retro Studios
233,Category:Articles containing potentially dated statements from July 2006
234,Category:Metroid
235,Category:Use mdy dates from November 2015
