,links
0,10th British Academy Games Awards
1,ABC News
2,A Short Hike
3,Academy of Interactive Arts & Sciences
4,Android (operating system)
5,Aquaria (video game)
6,Argo (2012 film)
7,Ars Technica
8,Australian Broadcasting Corporation
9,BAFTA Video Games Awards
10,BBC
11,Bad Milk
12,Beholder (video game)
13,"Ben ""Yahtzee"" Croshaw"
14,Berlin Wall
15,Blueberry Garden
16,Border checkpoint
17,Bourne (film series)
18,British Academy of Film and Television Arts
19,CBC News
20,CBS Interactive
21,Canadian Broadcasting Corporation
22,Cart Life
23,Censorship by Apple
24,Computer and Video Games
25,Computing platform
26,Condé Nast Digital
27,Crayon Physics Deluxe
28,CultureMass
29,D.I.C.E. Awards
30,Darwinia (video game)
31,Downloadable content
32,Dystopia
33,East Germany
34,Eastern Bloc
35,Edge (magazine)
36,Engadget
37,Eurogamer
38,Fez (video game)
39,Fire and Darkness
40,Forgery
41,Future plc
42,Gamasutra
43,GameSpot
44,Game Developers Choice Awards
45,Game Developers Conference
46,Game engine
47,Games for Change
48,Gamescom
49,Gish (video game)
50,Good Game (television series)
51,Haxe
52,Her Story (video game)
53,HyperCard
54,IGN
55,IOS
56,IPad
57,Igor Savochkin
58,Immersive technology
59,Immigration officer
60,Independent Games Festival
61,Indie game
62,Inscryption
63,Linux
64,List of video games considered the best
65,Lucas Pope
66,Metacritic
67,Microsoft Windows
68,Minecraft
69,MobyGames
70,Monaco: What's Yours Is Mine
71,Multiple endings
72,NME (framework)
73,Naughty Dog
74,Nazi Party
75,Night in the Woods
76,OS X
77,Oasis (video game)
78,Open-source software
79,OpenFL
80,Open Content & Software Magazine
81,Orwellian
82,Outer Wilds
83,PC Gamer
84,PlayStation Vita
85,Police state
86,Polygon (website)
87,Puzzle video game
88,Quadrilateral Cowboy
89,Return of the Obra Dinn
90,SXSW Gaming Awards
91,"Saitama, Japan"
92,Savage: The Battle for Newerth
93,Seumas McNally Grand Prize
94,Shattered Galaxy
95,Simulation video game
96,Single-player video game
97,South by Southwest
98,Spike Video Game Awards
99,Steam (service)
100,Stephanie Bendixsen
101,Sydney Morning Herald
102,TIGSource
103,The Daily Telegraph
104,The Escapist (magazine)
105,The Guardian
106,The New Yorker
107,The Republia Times
108,The Sydney Morning Herald
109,The Verge
110,The Westport Independent
111,Totalitarianism
112,TouchArcade
113,Touch Arcade
114,Tread Marks
115,Twitter
116,Umurangi Generation
117,Uncharted (series)
118,Uncharted 2: Among Thieves
119,Unity (game engine)
120,Unlockable (gaming)
121,VG247
122,Variety (magazine)
123,Video game
124,Video game designer
125,Video game developer
126,Video game genre
127,Video game publisher
128,Video games as an art form
129,Vox Media
130,West Germany
131,Wik and the Fable of Souls
132,Wild Earth (video game)
133,Wired (magazine)
134,YouTube
135,"Your papers, please"
136,Zero Punctuation
137,Ziff Davis
138,Wikipedia:Contents/Portals
139,Template:Lucas Pope
140,Template:Seumas McNally Grand Prize
141,Template talk:Lucas Pope
142,Template talk:Seumas McNally Grand Prize
143,Help:Authority control
144,Category:Articles with BNF identifiers
145,Category:Articles with J9U identifiers
146,Category:Articles with LCCN identifiers
147,Category:Use mdy dates from May 2021
148,Portal:Video games
