,links
0,1UP.com
1,1Up.com
2,22/7 (TV series)
3,86 (novel series)
4,A-1 Pictures
5,ASCII Media Works
6,Agatha Christie
7,Aigis (Shin Megami Tensei: Persona)
8,Amazon.com
9,Amazon (company)
10,Anime
11,Anime Expo
12,Anime International Company
13,Anime Network
14,Anime News Network
15,Aniplex
16,Ann Takamaki
17,Anohana
18,Arc System Works
19,Arthur Conan Doyle
20,Atlus
21,Atlus USA
22,Australasia
23,Billboard (magazine)
24,Birdy the Mighty
25,Black Butler
26,Black Butler: Book of the Atlantic
27,BlazBlue
28,BlazBlue: Cross Tag Battle
29,Blue Exorcist: Kyoto Saga
30,Blue Exorcist: The Movie
31,Brenda Brathwaite
32,Brotherhood: Final Fantasy XV
33,Catherine: Full Body
34,Cheeky Parade
35,Chie Satonaka
36,Classmates (manga)
37,CloverWorks
38,Computer Entertainment Supplier's Association
39,Computing platform
40,Cospa
41,Crunchyroll
42,Dengeki Black Maoh
43,Dengeki Bunko
44,Dengeki Maoh
45,Destructoid
46,Dragalia Lost
47,E3 2012
48,Edge (magazine)
49,Eisen Flügel
50,Enterbrain
51,Eromanga Sensei
52,Etrian Odyssey
53,Europe
54,Fairy Tail
55,Fairy Tail: Dragon Cry
56,Fairy Tail the Movie: Phoenix Priestess
57,Famicom
58,Famitsu
59,Fan art
60,Fate/strange fake
61,Fighting game
62,Filling station
63,Floodplain
64,Future plc
65,G4 (U.S. TV channel)
66,Gamasutra
67,GamePro
68,GameSpot
69,GameTrailers
70,GamesRadar
71,Games Radar
72,Garakowa: Restore the World
73,Giant Bomb
74,Goro Akechi
75,Greatest games of all time
76,Growlanser VI
77,Guilty Gear
78,Hepburn romanization
79,High School Fleet: The Movie
80,Homosexuality
81,Hyper (magazine)
82,IGN
83,ISBN (identifier)
84,ISSN (identifier)
85,Isamu Tanonaka
86,Ishaan
87,Izanami
88,Japan
89,Japanese honorifics
90,Japanese language
91,Jeff Gerstmann
92,Joker (Persona)
93,Juria Kawakami
94,Kaguya-sama: Love Is War
95,Kanji Tatsumi
96,Kappei Yamaguchi
97,Katsura Hashino
98,Kazuma Kaneko
99,Kazé
100,Kiyotaka Haimura
101,Kosuke Kindaichi
102,Kouji Okada
103,Language localisation
104,Layton's Mystery Journey
105,Light novel
106,List of Persona: Trinity Soul episodes
107,List of Persona 3 characters
108,List of Persona 4: The Animation episodes
109,List of Persona 4: The Golden Animation episodes
110,List of Persona 4 characters
111,List of Persona 5 characters
112,Lonely Castle in the Mirror
113,"Los Angeles, California"
114,"Love Me, Love Me Not (manga)"
115,MBW (identifier)
116,Mainichi Broadcasting System
117,Major Arcana
118,Makoto Niijima
119,Manga
120,Manga Entertainment
121,Media Create
122,Megami Tensei
123,Metacritic
124,Minami Tsukui
125,Mitsuru Kirijo
126,Motohiro Ota
127,Mount Fuji
128,Movie theater
129,NIS America
130,Nanako Dojima
131,Naoto Shirogane
132,Next Media
133,Nintendo 3DS
134,Nintendo Switch
135,North America
136,Oreimo
137,Oricon
138,PCGamesN
139,Persona: Trinity Soul
140,Persona (series)
141,Persona 2: Eternal Punishment
142,Persona 2: Innocent Sin
143,Persona 3
144,Persona 3: Dancing in Moonlight
145,Persona 3: The Weird Masquerade
146,Persona 3 FES
147,Persona 3 Portable
148,Persona 3 The Movie
149,"Persona 3 The Movie: No. 1, Spring of Birth"
150,"Persona 3 The Movie: No. 2, Midsummer Knight's Dream"
151,"Persona 3 The Movie: No. 3, Falling Down"
152,"Persona 3 The Movie: No. 4, Winter of Rebirth"
153,Persona 4: Dancing All Night
154,Persona 4: The Animation
155,Persona 4 Arena
156,Persona 4 Arena Ultimax
157,Persona 5
158,Persona 5: Dancing in Starlight
159,Persona 5: The Animation
160,Persona 5 Strikers
161,Persona Q2: New Cinema Labyrinth
162,Persona Q: Shadow of the Labyrinth
163,Persona Stalker Club
164,Phoenix Wright: Ace Attorney − Spirit of Justice
165,PlayStation 2
166,PlayStation 3
167,PlayStation 4
168,PlayStation Portable
169,PlayStation Vita
170,Play (US magazine)
171,Protagonist (Persona 3)
172,Radiant Historia
173,Revelations: Persona
174,Rhythm game
175,Rie Kugimiya
176,Risa Yoshiki
177,Role-playing video game
178,SUDOC (identifier)
179,Saint Young Men
180,Samurai from Outer Space: Understanding Japanese Animation
181,Satoshi Shiki
182,Scooby-Doo
183,Sega
184,Seiji Kishi
185,Seinen manga
186,Seishi Yokomizo
187,Sentai Filmworks
188,Sex in Video Games
189,Sexism
190,Sexual orientation
191,Shelter (Porter Robinson and Madeon song)
192,Shigenori Soejima
193,Shin Megami Tensei
194,Shin Megami Tensei: Nocturne
195,Shoji Meguro
196,Shotaro Mamiya
197,Shōnen manga
198,Simulation video game
199,Single-player
200,Social simulation game
201,Space Brothers (manga)
202,Square Enix
203,Steam (service)
204,Studio Hibari
205,Super Smash Bros. Ultimate
206,Sword Art Online
207,Sword Art Online Progressive: Aria of a Starless Night
208,Sword Art Online The Movie: Ordinal Scale
209,T-shirt
210,Takahisa Maeyama
211,Tankōbon
212,Tatsuya Suou
213,Television antenna
214,The Anthem of the Heart
215,The Idolmaster Million Live!
216,The Idolmaster Movie: Beyond the Brilliant Future!
217,The Idolmaster Shiny Festa
218,The Seven Deadly Sins (manga)
219,The Seven Deadly Sins the Movie: Prisoners of the Sky
220,Toru Baba
221,Tote bag
222,Trauma Center: New Blood
223,USgamer
224,Udon Entertainment
225,Uta no Prince-sama
226,VG247
227,VIAF (identifier)
228,Valkyria Chronicles
229,Valkyria Chronicles II
230,Video Games Chronicle
231,Video game artist
232,Video game composer
233,Video game creative director
234,Video game designer
235,Video game developer
236,Video game genre
237,Video game producer
238,Video game programmer
239,Video game publisher
240,Video game writer
241,Wayback Machine
242,Welcome to the Space Show
243,Windows
244,Wired (magazine)
245,Wotakoi: Love Is Hard for Otaku
246,X-Play
247,Xbox 360
248,Xbox One
249,Xbox Series X/S
250,Your Lie in April
251,Yu Narukami
252,Yumi Sugimoto
253,Yuri Lowenthal
254,Wikipedia:Contents/Portals
255,Wikipedia:Good articles
256,Template:A-1 Pictures
257,Template:Persona series
258,Template talk:A-1 Pictures
259,Template talk:Persona series
260,Help:Authority control
261,Category:A-1 Pictures
262,Category:Articles with LCCN identifiers
263,Category:Articles with MusicBrainz work identifiers
264,Category:Articles with SUDOC identifiers
265,Category:Articles with VIAF identifiers
266,Category:Use mdy dates from December 2017
267,Portal:Japan
268,Portal:Speculative fiction
269,Portal:Video games
