,links
0,2D side-scrolling
1,Action game
2,Alchemists
3,Amazon Fire TV
4,Amiibo
5,Apple Arcade
6,Arby's
7,Audio channel
8,Azure Striker Gunvolt 2
9,Bandcamp
10,Bard
11,Battletoads (characters)
12,Blade Strangers
13,Blaster Master Zero
14,Bloodstained: Ritual of the Night
15,Brawlhalla
16,CBS Interactive
17,Castlevania III: Dracula's Curse
18,Chiptune
19,Computing platform
20,Crypt of the NecroDancer
21,Cyber Shadow
22,Dark Souls
23,Downloadable content
24,DuckTales (video game)
25,Dungeon crawler
26,Enter the Gungeon
27,Eurogamer
28,For Honor
29,Forbes
30,GUI
31,Gamasutra
32,GameSpot
33,Game Grumps
34,Game Informer
35,Gamer Network
36,Giant Bomb
37,God of War (franchise)
38,History of video game consoles (third generation)
39,IGN
40,Indie Pogo
41,Jake Kaufman
42,Japan
43,Joystiq
44,Just Shapes & Beats
45,Katana Zero
46,Kickstarter
47,Kratos (God of War)
48,Linux
49,List of video games considered the best
50,Manami Matsumae
51,Mega Man
52,Mega Man (video game)
53,Metacritic
54,Microsoft Windows
55,Mina the Hollower
56,Move or Die
57,Multiplayer video game
58,Mutant Mudds
59,New Game Plus
60,Nintendo 3DS
61,Nintendo Entertainment System
62,Nintendo Life
63,Nintendo Switch
64,Nitrome
65,North America
66,OS X
67,PAL region
68,Penny Arcade Expo
69,Platform game
70,PlayStation 3
71,PlayStation 4
72,PlayStation Vita
73,Polygon (website)
74,Puzzle game
75,Rare (company)
76,Resurrection
77,Retronym
78,Review aggregator
79,Rivals of Aether
80,Road Redemption
81,Roguelite
82,Runbow
83,Runner3
84,Shield Knight
85,Shovel Knight Dig
86,Shovel Knight Pocket Dungeon
87,Single-player video game
88,SpotPass and StreetPass
89,Steam (service)
90,Super Mario Bros. 3
91,Super Smash Bros. Ultimate
92,The Game Awards
93,Twitter
94,U.N. Squadron
95,Undead
96,VRC6
97,Video game
98,Video game artist
99,Video game composer
100,Video game creative director
101,Video game designer
102,Video game developer
103,Video game genre
104,Video game programmer
105,Video game publisher
106,Voez
107,Wii U
108,World map (videogame)
109,Xbox One
110,Yacht Club Games
111,Yooka-Laylee
112,Zelda II: The Adventure of Link
113,Ziff Davis
114,Wikipedia:Contents/Portals
115,Wikipedia:Link rot
116,File:Shovel Knight - Strike the Earth! sample.ogg
117,Template:Yacht Club
118,Template talk:Yacht Club
119,Help:Media
120,Category:AC with 0 elements
121,Category:Articles with dead external links from May 2018
122,Category:Use mdy dates from September 2019
123,Portal:1980s
124,Portal:Video games
