,links
0,2B (Nier: Automata)
1,Academy of Interactive Arts & Sciences
2,Alan Moore
3,Angel Medina (artist)
4,Angela (comics)
5,Animation Magic
6,Arcade game
7,Arcade system board
8,Astaroth (Soulcalibur)
9,Bandai Namco Games
10,Batman/Spawn: War Devil
11,Ben Drowned
12,Billy Kincaid
13,Brian Haberlin
14,Brian Holguin
15,CD-i games from The Legend of Zelda series
16,Cadence of Hyrule
17,Capcom
18,Cassandra Alexandra
19,Celestine (comics)
20,Cervantes de Leon
21,Chai Xianghua
22,Chapel (comics)
23,Characters of The Legend of Zelda
24,Cloud Strife
25,Cogliostro
26,Complex (magazine)
27,Computing platform
28,Curse (comics)
29,Curse of the Spawn
30,DIC Entertainment
31,"Dance, Voldo, Dance"
32,Darth Vader
33,David Hine
34,Disciple (comics)
35,Discography of the Soul series
36,Edge (magazine)
37,Eiji Aonuma
38,Electronic Arts
39,Electronic Gaming Monthly
40,Entertainment and Leisure Software Publishers Association
41,Epona (The Legend of Zelda)
42,Eurogamer
43,Europe
44,Ezio Auditore da Firenze
45,Fi (The Legend of Zelda)
46,Fighting game
47,Final Fantasy VII
48,Flagship (company)
49,Freak (Image Comics)
50,Freshly-Picked Tingle's Rosy Rupeeland
51,Future plc
52,Gamasutra
53,GameCube
54,GamePro
55,GameRankings
56,GameSpot
57,GameSpy
58,Game Informer
59,Ganon
60,Geralt of Rivia
61,Greg Capullo
62,Grezzo
63,Haohmaru
64,Haunt (comics)
65,Heap (comics)
66,Heihachi Mishima
67,Heishiro Mitsurugi
68,Hellspawn (Spawn)
69,Hellspawn (comics)
70,Hidemaro Fujibayashi
71,High-definition video
72,Hildegard von Krone
73,Hyrule Warriors
74,Hyrule Warriors: Age of Calamity
75,IGN
76,I am Error
77,Image Comics
78,Image Universe
79,Impa
80,It's dangerous to go alone!
81,Ivy Valentine
82,Japan
83,Jason Wynn
84,Jessica Priest
85,Jin Kazama
86,Junichi Nakatsuru
87,KOS-MOS
88,Kayane
89,Kensuke Tanabe
90,Koei Tecmo
91,Koji Kondo
92,Kratos (God of War)
93,LCD games from The Legend of Zelda series
94,Li Long
95,Link's Crossbow Training
96,Link: The Faces of Evil and Zelda: The Wand of Gamelon
97,Link (The Legend of Zelda)
98,Linkle
99,List of Soulcalibur characters
100,List of Spawn characters
101,List of The Legend of Zelda media
102,List of best-selling Nintendo GameCube video games
103,MBW (identifier)
104,Malebolgia
105,Mammon (comics)
106,Man of Miracles (comics)
107,Mario Kart 8
108,Master Sword
109,McFarlane Toys
110,Metacritic
111,Midna
112,Mipha
113,MobyGames
114,Mortal Kombat 11
115,Multiplayer video game
116,Music of the Soulcalibur series
117,NES Remix
118,Namco
119,Namco System 246
120,Namco × Capcom
121,Navi (The Legend of Zelda)
122,Necrid
123,Necroplasm
124,Neil Gaiman
125,Next Generation (magazine)
126,Nintendo
127,Nintendo GameCube
128,Nintendo Land
129,Nintendo Power
130,Nintendo gamebooks
131,Nintendo of Europe
132,North America
133,Nyx (Image Comics)
