,links
0,1UP.com
1,1Up.com
2,Australasia
3,Beat (music)
4,Bill Trinen
5,Boss (gaming)
6,Bowser's Fury
7,Bowser (character)
8,Bowser Jr.
9,Cameo appearance
10,Captain Toad: Treasure Tracker
11,Club Nintendo
12,ComputerAndVideoGames.com
13,Computing platform
14,Destructoid
15,Dex Manley
16,Donkey Kong (character)
17,Doppelgänger
18,E3 2009
19,Edge (magazine)
20,Eurogamer
21,Europe
22,Famitsu
23,G4tv.com
24,Galaxy
25,Galaxy 2
26,Galaxy 2 (disambiguation)
27,GamePro
28,GameRankings
29,GameSpot
30,GameSpy
31,GameTrailers
32,Game & Watch: Super Mario Bros.
33,Game Informer
34,Game Revolution
35,Game balance
36,Game engine
37,Game programmer
38,GamesMaster (magazine)
39,GamesRadar
40,GamesTM
41,Games Magazine
42,Giant Bomb
43,Hepburn romanization
44,IGN
45,Japan
46,Japanese language
47,Koji Kondo
48,Level (video gaming)
49,Level design
50,Level editor
51,List of Game of the Year awards
52,List of Wii games on Wii U eShop
53,List of best-selling Wii video games
54,List of video games considered the best
55,Luigi
56,MBW (identifier)
57,Mahito Yokota
58,Mario
59,Mario (franchise)
60,Mario Kart Wii
61,Metacritic
62,Metroid Prime: Trilogy
63,Minor planet
64,Multiplayer
65,Mushroom Kingdom
66,Music genre
67,New Super Luigi U
68,New Super Mario Bros.
69,New Super Mario Bros. 2
70,New Super Mario Bros. U
71,New Super Mario Bros. Wii
72,Nintendo
73,Nintendo Direct
74,Nintendo EAD Tokyo
75,Nintendo Life
76,Nintendo Power
77,Nintendo eShop
78,Nintendo of America
79,North America
80,Official Nintendo Magazine
81,Outer space
82,Overworld
83,Pikmin
84,Planet
85,Platform game
86,Power-up
87,Princess Peach
88,Punch-Out!! (Wii)
89,Record label
90,Reggie Fils-Aime
91,Rosalina (Mario)
92,Satoru Iwata
93,Shigeru Miyamoto
94,Single-player
95,Somersault
96,Soundtrack album
97,Starship
98,Super Mario
99,Super Mario 3D All-Stars
100,Super Mario 3D Land
101,Super Mario 3D World
102,Super Mario 64
103,Super Mario 64 DS
104,Super Mario Advance 4: Super Mario Bros. 3
105,Super Mario All-Stars
106,Super Mario Bros.
107,Super Mario Bros.: The Lost Levels
108,Super Mario Bros. 2
109,Super Mario Bros. 3
110,Super Mario Bros. 35
111,Super Mario Galaxy
112,Super Mario Land
113,Super Mario Land 2: 6 Golden Coins
114,Super Mario Maker
115,Super Mario Maker 2
116,Super Mario Odyssey
117,Super Mario Run
118,Super Mario Sunshine
119,Super Mario World
120,Super Princess Peach
121,Super Smash Bros.
122,Symphony orchestra
123,Takashi Tezuka
124,The Escapist (magazine)
125,The Legend of Zelda: Majora's Mask
126,Tutorial
127,Universe
128,Video game
129,Video game artist
130,Video game composer
131,Video game creative director
132,Video game designer
133,Video game developer
134,Video game genre
135,Video game music
136,Video game producer
137,Video game programmer
138,Video game publisher
139,Video monitor
140,Wall jump
141,Wario Land: Super Mario Land 3
142,Wii
143,Wii Remote
144,Wii Sports Resort
145,Wii U
146,Wired (magazine)
147,X-Play
148,Yoshi
149,Yoshi's Island
150,Yoshiaki Koizumi
151,Ziff Davis
152,Wikipedia:Contents/Portals
153,Wikipedia:Good articles
154,Template:Super Mario
155,Template talk:Super Mario
156,Help:Authority control
157,Category:Articles with BNF identifiers
158,Category:Articles with MusicBrainz work identifiers
159,Category:Use mdy dates from August 2014
160,Portal:2010s
161,Portal:Japan
162,Portal:Video games
