,links
0,1-Up
1,1-up
2,1080p
3,1UP.com
4,1Up.com
5,3D computer graphics
6,5th British Academy Games Awards
7,Academy of Interactive Arts & Sciences
8,Action-adventure game
9,Allgame
10,Ars Technica
11,Astronomical object
12,Australasia
13,BAFTA
14,BAFTA Interactive Entertainment Awards
15,BS Zelda no Densetsu
16,Baseball (1983 video game)
17,"Bath, Somerset"
18,Batman: Arkham Asylum
19,Bee
20,BioShock
21,Black hole
22,Bongo drum
23,Boo (character)
24,Boss (gaming)
25,Boss (video gaming)
26,Bottomless pit (video gaming)
27,Bowser
28,Bowser's Fury
29,Bowser (character)
30,Bowser Jr.
31,British Academy Games Award for Best Game
32,British Academy Games Awards
33,British Academy of Film and Television Arts
34,CBS Interactive
35,Call of Duty (video game)
36,Call of Duty 4: Modern Warfare
37,Captain Toad: Treasure Tracker
38,Checkpoint (video gaming)
39,China
40,Club Nintendo
41,Computer and Video Games
42,Computing platform
43,Conde Nast
44,Conga
45,Continue point
46,Cooperative video game
47,Dark matter
48,Debug
49,Destiny (video game)
50,Destructoid
51,Deus Ex (video game)
52,Devil World
53,Dishonored
54,Donkey Kong (video game)
55,Donkey Kong 3
56,Donkey Kong Jr.
57,Donkey Kong Jungle Beat
58,Duck Hunt
59,E3 2009
60,Edge (magazine)
61,Emulator
62,Eurogamer
63,Europe
64,Excitebike
65,Fallout 4
66,Famitsu
67,Flying saucer
68,Future plc
69,Galaxy
70,GameCube
71,GamePro
72,GameRankings
73,GameRevolution
74,GameSpot
75,GameSpy
76,Game & Watch: Super Mario Bros.
77,Game Informer
78,Game Revolution
79,Game engine
80,Game mechanics
81,Gamer Network
82,GamesRadar
83,GamesRadar+
84,God of War (2018 video game)
85,GoldenEye 007 (1997 video game)
86,Golf (1984 video game)
87,Gran Turismo 3: A-Spec
88,Grand Prix 4
89,Gravitational singularity
90,Gravity
91,Guinness World Records
92,Hades (video game)
93,Half-Life 2
94,Halo: Combat Evolved
95,Health (gaming)
96,Hepburn romanization
97,Hexagon
98,Hogan's Alley (video game)
99,IGN
100,IQiyi
101,ISS Pro Evolution 2
102,Ice skating
103,Immersion (virtual reality)
104,Interactive Achievement Awards
105,Invincibility (video gaming)
106,Japan
107,Japanese language
108,Kamek
109,Koji Kondo
110,Konpeito
111,Kotaku
112,Kung-Fu Master (video game)
113,Kyoto
114,Latin American music
115,Laws of physics
116,List of Game of the Year awards
117,List of best-selling Wii video games
118,List of video games considered the best
119,Long jump
120,Los Angeles
121,Luigi
122,MBW (identifier)
123,MIDI
124,Mahito Yokota
125,Manta ray
126,Mario
127,Mario (franchise)
128,Mario Bros.
129,Mass Effect 2
130,Max Payne (video game)
131,MediEvil II
132,Melee (gaming)
133,Metacritic
134,Metronome
135,Minor planet
136,Motion controller
137,Motion sensing
138,Multiplayer video game
139,Mushroom Kingdom
140,Music genre
141,NPD Group
142,Neverwinter Nights (2002 video game)
143,New Super Luigi U
144,New Super Mario Bros.
145,New Super Mario Bros. 2
146,New Super Mario Bros. U
147,New Super Mario Bros. Wii
148,Nintendo
149,Nintendo EAD
150,Nintendo EAD Tokyo
151,Nintendo Life
152,Nintendo Power
153,Nintendo Selects
154,Nintendo Space World
155,Nintendo Switch
156,Nintendo eShop
157,North America
158,Nvidia
159,Nvidia Lightspeed Studios
160,Nvidia Shield
161,Nvidia Shield (set-top box)
162,Obstacle course
163,Official Nintendo Magazine
164,Orchestra
165,Outer Wilds
166,Outer space
167,Overworld
168,Pac-Man Vs.
169,Phantasy Star Online
170,Planetoid
171,Platform game
172,Play (UK magazine)
173,Play (US magazine)
174,Player character
175,Pokémon: Yellow Version: Special Pikachu Edition
176,Popeye (video game)
177,Portal 2
178,Power-up
179,Princess Peach
180,Princess Rosalina
181,Product bundling
182,Quicksand
183,Record label
184,Record producer
185,Returnal (video game)
186,Satoru Iwata
187,Seventh generation of video game consoles
188,Sheriff (video game)
189,Shield Tablet
190,Shigeru Miyamoto
191,Side-scrolling video game
192,Single-player
193,Sky Skipper
194,Software prototyping
195,Somersault
196,Soundtrack album
197,Space Firebird
198,Spacecraft
199,Sphere
200,Star Fox (1993 video game)
201,Star Fox 64
202,Steelpan
203,Super Mario
204,Super Mario 128
205,Super Mario 3D All-Stars
206,Super Mario 3D Land
207,Super Mario 3D World
208,Super Mario 64
209,Super Mario 64 DS
210,Super Mario Advance 4: Super Mario Bros. 3
211,Super Mario All-Stars
212,Super Mario Bros.
213,Super Mario Bros.: The Lost Levels
214,Super Mario Bros. 2
215,Super Mario Bros. 3
216,Super Mario Bros. 35
217,Super Mario Galaxy 2
218,Super Mario Land
219,Super Mario Land 2: 6 Golden Coins
220,Super Mario Maker
221,Super Mario Maker 2
222,Super Mario Odyssey
223,Super Mario Run
224,Super Mario Sunshine
225,Super Mario World
226,Super Princess Peach
227,Supermassive black hole
228,Supernova
229,Surfing
230,Sydney 2000 (video game)
231,Symphony orchestra
232,Technology demonstration
233,Tennis (1984 video game)
234,The Last of Us
235,The Legend of Zelda: Ocarina of Time
236,The Legend of Zelda: Twilight Princess
237,The Legend of Zelda: Wind Waker
238,The Legend of Zelda (1986 video game)
239,The Legend of Zelda (video game)
240,Toad (Nintendo)
241,Tom Clancy's Ghost Recon Advanced Warfighter
242,Tony Hawk's Pro Skater 2
243,Two-player
244,Uncharted 4: A Thief's End
245,VIAF (identifier)
246,Video game artist
247,Video game composer
248,Video game creative director
249,Video game designer
250,Video game developer
251,Video game genre
252,Video game graphics
253,Video game music
254,Video game producer
255,Video game programmer
256,Video game publisher
257,Video game writer
258,Wall jump
259,Wario Land: Super Mario Land 3
260,What Remains of Edith Finch
261,Wii
262,Wii Message Board
263,Wii Nunchuk
264,Wii Remote
265,Wii U
266,Wild Gunman
267,Wired (magazine)
268,Yahoo! Games
269,Yoshi's Island
270,Yoshiaki Koizumi
271,Yume Kōjō: Doki Doki Panic
272,Wikipedia:Contents/Portals
273,Wikipedia:Featured articles
274,Wikipedia:Link rot
275,Template:BAFTA Games BG
276,Template:Shigeru Miyamoto
277,Template:Super Mario
278,Template talk:BAFTA Games BG
279,Template talk:Shigeru Miyamoto
280,Template talk:Super Mario
281,Help:Authority control
282,Category:Articles with BNF identifiers
283,Category:Articles with MusicBrainz work identifiers
284,Category:Articles with VIAF identifiers
285,Category:Articles with dead external links from October 2022
286,Category:Use British English from December 2016
287,Category:Use dmy dates from December 2016
288,Portal:2000s
289,Portal:Japan
290,Portal:Video games
