,links
0,1UP.com
1,Academy of Interactive Arts & Sciences
2,AllGame
3,Artificial intelligence
4,Australasia
5,Balloon Fight
6,Bandai Namco Studios
7,Banjo & Kazooie
8,Baseball bat
9,Bayonetta (character)
10,Blocking (martial arts)
11,Boss (video gaming)
12,Bowser
13,Bowser (character)
14,Bowser Jr.
15,Byleth (Fire Emblem)
16,CBS Interactive
17,Captain Falcon
18,Captain Olimar
19,Central processing unit
20,Characters in the Super Smash Bros. series
21,Charizard
22,Chrom
23,Cloud Strife
24,Clu Clu Land
25,Competitive gaming
26,Competitive video game
27,Computing platform
28,Corrin (Fire Emblem)
29,Crowd funding
30,Dead or Alive 3
31,Deathmatch
32,Diddy Kong
33,Dog (Duck Hunt)
34,Dolphin emulator
35,Donkey Kong (character)
36,Dwango (company)
37,Edge (magazine)
38,Electronic Gaming Monthly
39,Engadget
40,Enterbrain
41,Eurogamer
42,Europe
43,Evolution Championship Series
44,Excitebike
45,Falco Lombardi
46,Famicom Detective Club
47,Famitsu
48,Fictional crossover
49,Fighting game
50,Fire Emblem
51,Fox McCloud
52,Full motion video
53,Future Publishing
54,GameCube
55,GameFAQs
56,GameSpot
57,GameSpy
58,Game Arts
59,Ganon
60,Gawker Media
61,Grassroots
62,Greninja
63,HAL Laboratory
64,Health (gaming)
65,Hepburn romanization
66,Hideo Kojima
67,History of the Electronic Entertainment Expo
68,IGN
69,ISSN (identifier)
70,Ice Climber
71,Ike (Fire Emblem)
72,Inkling (Splatoon)
73,Internet meme
74,Isabelle (Animal Crossing)
75,Isai Alvarado
76,Japan
77,Japanese language
78,Jigglypuff
79,Joker (Persona)
80,Joseph Marquez
81,Kazuya Mishima
82,Ken Hoang
83,Ken Masters
84,King Dedede
85,King K. Rool
86,Kirby (character)
87,Koopalings
88,Kotaku
89,Las Vegas
90,Life (gaming)
91,Link (The Legend of Zelda)
92,List of Game of the Year awards
93,List of Pokémon
94,List of best-selling GameCube video games
95,List of best-selling Nintendo GameCube video games
96,List of video games considered the best
97,Little Mac
98,Lucario
99,Lucas (Mother 3)
100,Lucina (Fire Emblem)
101,Luigi
102,MBW (identifier)
103,MTV
104,Major League Gaming
105,Mario
106,Mario (franchise)
107,Marth (Fire Emblem)
108,Masahiro Sakurai
109,Mega Man (character)
110,Meta Knight
111,Metacritic
112,Metroid
113,Mew2King
114,Mewtwo
115,Mii
116,Min Min (character)
117,Mother 3
118,Mr. Game & Watch
119,Multiplayer video game
120,Music genre
121,N-Europe
122,NPD Group
123,Ness (EarthBound)
124,New Japan Philharmonic
125,Next Generation (magazine)
126,Niconico
127,Nintendo
128,Nintendo 64
129,Nintendo Power
130,Nintendo Selects
131,North America
132,Oddworld: Munch's Oddysee
133,Official Nintendo Magazine
134,Pac-Man (character)
135,Physics
136,Pichu
137,Pikachu
138,Piranha Plant
139,Pit (Kid Icarus)
140,PlayStation 2
141,Poké Ball
142,Pokémon (video game series)
143,Pokémon 4Ever
144,Polygon (website)
145,Princess Daisy
146,Princess Peach
147,Princess Zelda
148,Project M
149,R.O.B.
150,Record label
151,Ridley (Metroid)
152,Robin (Fire Emblem)
153,Rollback netcode
154,Rosalina (Mario)
155,Roy (Fire Emblem)
156,Ryu (Street Fighter)
157,Samus Aran
158,Satoru Iwata
159,Sephiroth (Final Fantasy)
160,Shigeru Miyamoto
161,Shulk
162,Side-scrolling video game
163,Simon Belmont
164,Single-player video game
165,Slamfest '99
166,Smash 64
167,Smashboards
168,Solid Snake
169,Sonic Team
170,Sonic the Hedgehog (character)
171,Sora (Kingdom Hearts)
172,Soundtrack album
173,Squirtle
174,Star Fox
175,Steve (Minecraft)
176,Super Smash Bros.
177,Super Smash Bros. (video game)
178,Super Smash Bros. Brawl
179,Super Smash Bros. Ultimate
180,Super Smash Bros. for Nintendo 3DS and Wii U
181,Super Smash Bros. in esports
182,Super Smash Flash
183,Super Smash Land
184,Terry Bogard
185,The Big House (tournament)
186,The Legend of Zelda
187,The Smash Brothers
188,Tokyo
189,Tomokazu Sugita
190,Triforce
191,Trophies
192,True Life
193,United Kingdom
194,United States dollar
195,Urban Champion
196,Video game artist
197,Video game composer
198,Video game creative director
199,Video game designer
200,Video game developer
201,Video game genre
202,Video game producer
203,Video game programmer
204,Video game publisher
205,Video game soundtrack
206,Villager (Animal Crossing)
207,Wario
208,Wayback Machine
209,Wenner Media
210,Wii
211,Wii Fit Trainer
212,Wolf O'Donnell
213,Wombo combo
214,Xbox (console)
215,Yoshi
216,Yuji Naka
217,Ziff Davis
218,Wikipedia:Contents/Portals
219,Wikipedia:Featured articles
220,Template:Super Smash Bros.
221,Template talk:Super Smash Bros.
222,Help:Authority control
223,Category:Articles with MusicBrainz work identifiers
224,Category:Use mdy dates from November 2016
225,Portal:Video games
