,links
0,20th Century Fox
1,3D computer graphics
2,3D modeling
3,ABC Software
4,AFL (video game series)
5,A Pattern Language
6,Abraham Maslow
7,Acquisition of 21st Century Fox by Disney
8,Adobe Flash
9,American Idol
10,American Idol (season 14)
11,American McGee's Alice
12,Amy Hennig
13,Ancient Empires (mobile game)
14,Andrew Wilson (businessman)
15,Android (operating system)
16,Andy Hollis
17,Army of Two (series)
18,Artificial intelligence
19,Bada
20,Battlefield (video game series)
21,Bejeweled (series)
22,Bing Gordon
23,BioWare
24,BlackBerry 10
25,BlackBerry OS
26,Black Eyed Peas
27,Board of directors
28,Bookworm (video game)
29,Boom Blox
30,Brian Lara Cricket (series)
31,Brian Lynch (writer)
32,Bullfrog Productions
33,Burnout (series)
34,Business Wire
35,Channel 4
36,Charles Hampden-Turner
37,Chat room
38,Chibi (term)
39,Chocolatier (video game)
40,Classic Mac OS
41,Codemasters
42,Colin McRae Rally and Dirt
43,Command & Conquer
44,Consumer culture
45,Cricket (video game series)
46,Criterion Games
47,Criticism of Electronic Arts
48,Crysis
49,Cut & Paste
50,DICE (company)
51,DROsoft
52,Danger Close Games
53,Darkspore
54,Dead Space
55,Deer Hunter (series)
56,Deluxe Music Construction Set
57,Deluxe Paint
58,Deluxe Paint Animation
59,Development hell
60,Development of Spore
61,Dimetric projection
62,Diner Dash
63,Distinctive Software
64,Dizzy (series)
65,Don Mattrick
66,Dragon Age
67,Drama
68,Dream Chronicles
69,Dungeon Keeper (series)
70,EA Black Box
71,EA Bright Light
72,EA Chicago
73,EA Gothenburg
74,EA Mobile
75,EA Montreal
76,EA Pacific
77,EA Phenomic
78,EA Play
79,EA Salt Lake
80,EA Sports
81,EA Sports FC
82,EA Sports NASCAR
83,EA Sports UFC
84,EA Tiburon
85,EA Vancouver
86,Ego (game engine)
87,Electronic Arts
88,Expansion pack
89,Expansion packs for The Sims
90,Expansion packs for The Sims 2
91,Expansion packs for The Sims 3
92,Expansion packs for The Sims 4
93,F1 (video game series)
94,FIFA Manager
95,Facebook
96,Feeding Frenzy (video game)
97,Fight Night (video game series)
98,Film
99,Firemonkeys Studios
100,Fred Haslam (game designer)
101,Free-to-play
102,Frostbite (game engine)
103,GameCube
104,GameFly
105,GameSpot
106,Game Boy Advance
107,Game engine
108,Game packs for The Sims 4
109,GamesIndustry.biz
110,Glu Mobile
111,Greg Kasavin
112,Grid (series)
113,Guinness World Records
114,Hasbro Family Game Night
115,How Videogames Changed the World
116,Hypnotix
117,IOS
118,IPod
119,IPod Classic
120,IPod Nano
121,ISBN (identifier)
122,Ignite (game engine)
123,Industrial Toys
124,Jacques Servin
125,Jade Raymond
126,Java ME
127,Jeff Braun
128,Jeff Green (writer)
129,Jerry Martin (composer)
130,Joe Ybarra
131,John Davis (producer)
132,John Riccitiello
133,Kelsey Impicciche
134,Kesmai
135,Kindle Fire
136,Kingsoft GmbH
137,Knockout Kings
138,LMA Manager
139,Laptop
140,Larry Probst
141,Laura Miele
142,Life simulation game
143,Lincity
144,List of Electronic Arts games
145,List of Electronic Arts games: 1983–1999
146,List of Electronic Arts games: 2000–2009
147,List of Electronic Arts games: 2010–2019
148,List of Electronic Arts games: 2020–present
149,List of Sim video games
150,List of The Sims video games
151,List of acquisitions by Electronic Arts
152,List of best-selling PC games
153,List of best-selling video game franchises
154,List of expansion packs for The Sims
155,Live action
156,Louis Castle
157,Lucy Bradshaw (game developer)
158,MVP Baseball (video game series)
159,MacOS
160,Madden NFL
161,Mark Skaggs
162,Maslow's hierarchy of needs
163,Mass Effect
164,Massively multiplayer online game
165,Maxis
166,Medal of Honor (video game series)
167,Mercenaries (series)
168,Metacritic
169,Micro Machines (video game series)
170,Microsoft Windows
171,Midnight Star (video game)
172,Mii
173,Mike Perry (game developer)
174,Mirror's Edge
175,Mod The Sims
176,Motive Studios
177,Music Construction Set
178,MySims
179,MySims Agents
180,MySims Kingdom
181,MySims Party
182,MySims Racing
183,MySims SkyHeroes
184,Myst
185,Mythic Entertainment
186,N-Gage (device)
187,NBA Live
188,NBA Street (video game series)
189,NCAA Basketball series
190,NCAA Football (video game series)
191,NFL Street (video game series)
192,NHL (video game series)
193,Need for Speed
194,Nintendo 3DS
195,Nintendo DS
196,NuFX
197,Oakland firestorm of 1991
198,Operation Flashpoint
199,Origin (service)
200,Origin Systems
201,Overlord (video game series)
202,PGA Tour (video game series)
203,Pandemic Studios
204,Patrick Söderlund
205,Peggle (series)
206,Peter Moore (businessman)
207,Plants vs. Zombies
208,PlayNation
209,PlayStation 2
210,PlayStation 3
211,PlayStation 4
212,PlayStation Portable
213,Playfish
214,Pogo.com
215,PopCap Games
216,Populous (series)
217,Project CARS
218,Project Highrise
219,Raid on Bungeling Bay
220,Ralph Guggenheim
221,Rawson Stovall
222,Rayvon Owen
223,Real Racing
224,Reality competition
225,RenderWare
226,Respawn Entertainment
227,Road Rash
228,Robin Hunicke
229,Rock Band
230,Rupture (social networking)
231,SSX (video game series)
232,Sandbox game
233,Shank (video game)
234,Shelley Day
235,Sid Meier's SimGolf
236,SimAnimals
237,SimAnt
238,SimCity
239,SimCity: BuildIt
240,SimCity (1989 video game)
241,SimCity (2013 video game)
242,SimCity 2000
243,SimCity 3000
244,SimCity 4
245,SimCity 4: Rush Hour
246,SimCity 64
247,SimCity Creator
248,SimCity Creator (Nintendo DS)
249,SimCity DS
250,SimCity Social
251,SimCity Societies
252,SimCopter
253,SimEarth
254,SimFarm
255,SimGolf
256,SimHealth
257,SimIsle: Missions in the Rainforest
258,SimLife
259,SimPark
260,SimRefinery
261,SimSafari
262,SimTower
263,SimTown
264,SimTunes
265,Simlish
266,SimsVille
267,Sims (disambiguation)
268,Skate (2007 video game)
269,Slightly Mad Studios
270,Social simulation game
271,Spin-off (media)
272,Spore (2008 video game)
273,Spore Bot Parts Pack
274,Spore Creature Creator
275,Spore Creatures
276,Spore Galactic Adventures
277,Spore Hero
278,Spore Hero Arena
279,Spore Origins
280,Sprite (computer graphics)
281,Star Wars: Battlefront
282,Steve Barcia
283,Streets of SimCity
284,Strike (video game series)
285,Stuff packs for The Sims 2
286,Stuff packs for The Sims 3
287,Super Mega Baseball
288,Syndicate (series)
289,System Shock
290,TBS (American TV channel)
291,TOCA (series)
292,Tayla Parx
293,The Sims: Hot Date
294,The Sims: House Party
295,The Sims: Livin' Large
296,The Sims: Makin' Magic
297,The Sims: Superstar
298,The Sims: Unleashed
299,The Sims: Vacation
300,The Sims (video game)
301,The Sims 2
302,The Sims 2: Apartment Life
303,The Sims 2: Apartment Pets
304,The Sims 2: Bon Voyage
305,The Sims 2: Castaway
306,The Sims 2: FreeTime
307,The Sims 2: Nightlife
308,The Sims 2: Open for Business
309,The Sims 2: Pets
310,The Sims 2: Seasons
311,The Sims 2: University
312,The Sims 3
313,The Sims 3: Ambitions
314,The Sims 3: Generations
315,The Sims 3: Into the Future
316,The Sims 3: Island Paradise
317,The Sims 3: Late Night
318,The Sims 3: Pets
319,The Sims 3: Seasons
320,The Sims 3: Showtime
321,The Sims 3: Supernatural
322,The Sims 3: University Life
323,The Sims 3: World Adventures
324,The Sims 4
325,The Sims 4: Cats & Dogs
326,The Sims 4: City Living
327,The Sims 4: Cottage Living
328,The Sims 4: Discover University
329,The Sims 4: Eco Lifestyle
330,The Sims 4: Get Famous
331,The Sims 4: Get Together
332,The Sims 4: Get to Work
333,The Sims 4: High School Years
334,The Sims 4: Island Living
335,The Sims 4: Seasons
336,The Sims 4: Snowy Escape
337,The Sims Bustin' Out
338,The Sims Carnival
339,The Sims Castaway Stories
340,The Sims FreePlay
341,The Sims Life Stories
342,The Sims Medieval
343,The Sims Mobile
344,The Sims Online
345,The Sims Pet Stories
346,The Sims Resource
347,The Sims Social
348,The Sims Spark'd
349,The Sims Stories
350,The Strangerhood
351,The Tower SP
352,The Urbz: Sims in the City
353,Theme Park Inc
354,Theme Park World
355,Titanfall
356,Trip Hawkins
357,Triple Play (video game series)
358,Ultima (series)
359,Unravel (video game)
360,Urban design
361,VIAF (identifier)
362,Video game console
363,Video game developer
364,Video game genre
365,Video game publisher
366,Virtual person
367,Visceral Games
368,Wayback Machine
369,Westwood Studios
370,Wii
371,Will Wright (game designer)
372,Windows Phone
373,Windows Phone 8
374,Wing Commander (franchise)
375,Xbox (console)
376,Xbox 360
377,Xbox One
378,Yahoo! Games
379,Yoot Tower
380,Zuma (video game)
381,Template:Cite web
382,Template:Electronic Arts
383,Template:Sim series
384,Template:The Sims
385,Template talk:Electronic Arts
386,Template talk:Sim series
387,Template talk:The Sims
388,Help:Authority control
389,Category:Articles with BNF identifiers
390,Category:Articles with VIAF identifiers
391,Category:CS1 maint: unfit URL
392,Category:Electronic Arts
393,Category:Maxis Sim games
394,Category:The Sims
395,Category:Use mdy dates from December 2014
396,Portal:Video games
