,links
0,Activision
1,Andrew Reynolds (skateboarder)
2,Apocalypse (video game)
3,App Store (iOS)
4,Arrow keys
5,Aspyr
6,Aspyr Media
7,BAFTA Interactive Entertainment Awards
8,Best Buy
9,Bob Burnquist
10,Bucky Lasek
11,CBS Interactive
12,Chad Muska
13,Computing platform
14,Console game
15,D-pad
16,D.I.C.E. Awards
17,Dell Axim
18,Disc jockey
19,Disney's Extreme Skate Adventure
20,Draw distance
21,Dreamcast
22,Edge (magazine)
23,Edge of Reality
24,Electronic Entertainment Expo
25,Electronic Gaming Monthly
26,Elissa Steamer
27,Engadget
28,Entertainment and Leisure Software Publishers Association
29,Eric Koston
30,Eurogamer
31,Europe
32,Famitsu
33,Fin.K.L
34,Fin.K.L.
35,Footedness
36,Freestyle skateboarding tricks
37,Future Publishing
38,Future US
39,Gamasutra
40,GameFan
41,GamePro
42,GameRanger
43,GameRankings
44,GameRevolution
45,GameShark
46,GameSpot
47,GameSpy
48,Game Boy Advance
49,Game Boy Color
50,Game Informer
51,GamesRadar+
52,Geoff Rowley
53,Girl group
54,Greatest Hits (PlayStation)
55,Guinness World Records
56,Hip hop music
57,Hotseat (multiplayer mode)
58,IGN
59,IOS
60,IPod Touch
61,Intel 2700G
62,Jamie Thomas
63,Jed the Fish
64,Jeff Gerstmann
65,KROQ-FM
66,Kadokawa Dwango
67,Kareem Campbell
68,Kelly Slater's Pro Surfer
69,Lee Hyori
70,Lee Jin
71,Level editor
72,Lip trick
73,List of video games considered the best
74,MBRG (identifier)
75,Macintosh
76,Marvel Comics
77,Mat Hoffman's Pro BMX
78,Mat Hoffman's Pro BMX 2
79,Metacritic
80,Mick West
81,Microsoft Windows
82,MobyGames
83,Multiplayer video game
84,Natsume (company)
85,Neversoft
86,Next Generation (magazine)
87,Nintendo 64
88,Nintendo 64 Game Pak
89,Nintendo DS
90,Nollie
91,North America
92,Ock Joo-hyun
93,Ock Joo Hyun
94,Official U.S. PlayStation Magazine
95,Official UK PlayStation Magazine
96,Platinum Range
97,PlayStation (console)
98,PlayStation 4
99,PlayStation Portable
100,PlayStation Underground
101,Pocket PC
102,Porting
103,Punk rock
104,Quake III
105,Robomodo
106,Rodney Mullen
107,Rune Glifberg
108,SSX
109,Screenrant
110,Shaun Palmer's Pro Snowboarder
111,Single-player video game
112,Skateboarding
113,Skateboarding trick
114,Soulcalibur (video game)
115,Spider-Man
116,Sports game
117,Steve Caballero
118,Sung Yu-ri
119,THUG Pro
120,Tag (game)
121,The Legend of Zelda: Majora's Mask
122,The NPD Group
123,The San Diego Union-Tribune
124,Tony Hawk
125,Tony Hawk's (series)
126,Tony Hawk's American Sk8land
127,Tony Hawk's American Wasteland
128,Tony Hawk's Downhill Jam
129,Tony Hawk's Motion
130,Tony Hawk's Pro Skater
131,Tony Hawk's Pro Skater (video game)
132,Tony Hawk's Pro Skater 1 + 2
133,Tony Hawk's Pro Skater 2x
134,Tony Hawk's Pro Skater 3
135,Tony Hawk's Pro Skater 4
136,Tony Hawk's Pro Skater 5
137,Tony Hawk's Pro Skater HD
138,Tony Hawk's Project 8
139,Tony Hawk's Proving Ground
140,Tony Hawk's Shred Session
141,Tony Hawk's Skate Jam
142,Tony Hawk's Underground
143,Tony Hawk's Underground 2
144,Tony Hawk's Underground 2: Remix
145,Tony Hawk: Ride
146,Tony Hawk: Shred
147,Tony Hawk: Vert
148,TouchArcade
149,Treyarch
150,Vert ramp
151,Vicarious Visions
152,Video game artist
153,Video game composer
154,Video game creative director
155,Video game designer
156,Video game developer
157,Video game genre
158,Video game producer
159,Video game programmer
160,Video game publisher
161,Wakeboarding Unleashed Featuring Shaun Murray
162,West Los Angeles
163,Windows Mobile
164,Windows Phone
165,Xbox (console)
166,Xbox One
167,Template:Tony Hawk games
168,Template talk:Tony Hawk games
169,Help:Authority control
170,Category:Articles with BNF identifiers
171,Category:Articles with MusicBrainz release group identifiers
172,Category:Use mdy dates from August 2021
