,links
0,100 Classic Book Collection
1,1UP.com
2,1Up.com
3,2007 in video gaming
4,80th Academy Awards
5,ABC News
6,Academy of Interactive Arts & Sciences
7,Accelerometer
8,Air sports
9,AllGame
10,Alvin and the Chipmunks: The Squeakquel
11,American Broadcasting Company
12,American Public Media
13,Animal Crossing: New Horizons
14,Animal Crossing: New Leaf
15,Archery
16,Art Academy
17,Artificial intelligence in video games
18,Aspect ratio (image)
19,Australasia
20,Australia
21,Avatar (computing)
22,Badminton
23,Barcade
24,Baseball
25,Baseball bat
26,Basketball
27,Batting (baseball)
28,Big Brain Academy: Wii Degree
29,Big Brain Academy (video game)
30,Bowling
31,Bowling ball
32,Boxing
33,Brain Age: Train Your Brain in Minutes a Day!
34,Brain Age 2: More Training in Minutes a Day
35,Brian Crecente
36,British Academy Video Games Awards
37,British Academy of Film and Television Arts
38,Broadway (microprocessor)
39,Brooklyn
40,Canadian Broadcasting Corporation
41,Canoeing
42,Check Mii Out Channel
43,Classic Controller
44,Clubhouse Games
45,Computer and Video Games
46,Computer data storage
47,Computing platform
48,Conan O'Brien
49,Cooking Guide: Can't Decide What to Eat?
50,Crosswords DS
51,Cycle sport
52,Dance Dance Revolution: Mario Mix
53,DarwiinRemote
54,Doi (identifier)
55,Dolphin (emulator)
56,Dragon Quest VIII
57,E3 2006
58,Edge (magazine)
59,Elden Ring
60,Electronic Entertainment Expo
61,Electronic Gaming Monthly
62,Elite Beat Agents
63,Endless Ocean
64,Endless Ocean 2: Adventures of the Deep
65,Enterbrain
66,Eurogamer
67,Europe
68,Everybody Votes Channel
69,Exploit (online gaming)
70,Famitsu
71,Fencing
72,Final Fantasy VII
73,Final Fantasy VIII
74,Final Fantasy X
75,Final Fantasy XI
76,Final Fantasy XII
77,Flash Focus: Vision Training in Minutes a Day
78,Frame rate
79,Frisbee
80,Future US
81,Future plc
82,Gamasutra
83,GameCube
84,GameCube controller
85,GamePro
86,GameSpot
87,GameSpy
88,GameTrailers
89,Game Critics Awards
90,Game Developers Choice Awards
91,Game Informer
92,Game demo
93,GamesRadar+
94,GamesTM
95,Ghost of Tsushima
96,Glenrose Rehabilitation Hospital
97,Golf
98,Golf (1984 video game)
99,Golf club (equipment)
100,Gothamist
101,Gravity Rush
102,Guinness World Records
103,Handedness
104,High-definition video
105,History of the Electronic Entertainment Expo
106,History of video game consoles (seventh generation)
107,Hotseat (multiplayer mode)
108,IGN
109,ISBN (identifier)
110,ISSN (identifier)
111,Imagine Publishing
112,Interactive Achievement Award
113,International Data Group
114,Internet Channel
115,Jamia Simone Nash
116,Japan
117,Japan Game Awards
118,Japan Media Arts Festival
119,Jean Chrétien
120,JoJo's Bizarre Adventure: All Star Battle
121,John C. Dvorak
122,Jon Stewart
123,Katsuya Eguchi
124,Kazumi Totaka
125,Kellogg Cereal
126,Landstuhl
127,Late Night with Conan O'Brien
128,List of GameCube games
129,List of Mario racing games
130,List of Mario sports games
131,List of Virtual Console games for Wii (Japan)
132,List of Virtual Console games for Wii (North America)
133,List of Virtual Console games for Wii (PAL region)
134,List of Virtual Console games for Wii (South Korea)
135,List of WiiWare games
136,List of WiiWare games (North America)
137,List of WiiWare games (PAL region)
138,List of Wii Wi-Fi Connection games
139,List of Wii games
140,List of Wii games on Wii U eShop
141,List of Wii games using WiiConnect24
142,List of Wii games with traditional control schemes
143,List of best-selling Wii video games
144,List of best-selling video games
145,List of games that support Wii Balance Board
146,List of games that support Wii MotionPlus
147,List of games with Wii-to-DS connectivity
148,List of streaming services for the Nintendo Wii
149,MCV (magazine)
150,Mario's Tennis
151,Mario & Sonic at the London 2012 Olympic Games
152,Mario & Sonic at the Olympic Games
153,Mario & Sonic at the Olympic Games Tokyo 2020
154,Mario & Sonic at the Olympic Winter Games
155,Mario & Sonic at the Rio 2016 Olympic Games
156,Mario & Sonic at the Sochi 2014 Olympic Winter Games
157,Mario (franchise)
158,Mario Golf: Advance Tour
159,Mario Golf: Super Rush
160,Mario Golf: Toadstool Tour
161,Mario Golf: World Tour
162,Mario Golf (video game)
163,Mario Hoops 3-on-3
164,Mario Kart Wii
165,Mario Power Tennis
166,Mario Sports Mix
167,Mario Sports Superstars
168,Mario Strikers: Battle League
169,Mario Strikers Charged
170,Mario Super Sluggers
171,Mario Superstar Baseball
172,Mario Tennis
173,Mario Tennis: Power Tour
174,Mario Tennis: Ultra Smash
175,Mario Tennis Aces
176,Mario Tennis Open
177,Mark Woodforde
178,Marketplace (radio program)
179,Matt Casamassina
180,Media Create
181,Melbourne
182,Metacritic
183,Metal Gear Solid 4: Guns of the Patriots
184,Mii
185,Mii Channel
186,Miiverse
187,Minneapolis
188,Monster Hunter: World
189,Monster Hunter (video game)
190,Monster Hunter 4
191,Monster Hunter Freedom 2
192,Monster Hunter Freedom Unite
193,Monster Hunter Portable 3rd
194,Monster Hunter Rise
195,Multiplayer video game
196,Myer
197,NBA Street V3
198,NBC
199,NBC News
200,NES Open Tournament Golf
201,Nancy Pelosi
202,New Play Control!
203,New Super Mario Bros. Wii
204,Nintendo
205,NintendoLife
206,Nintendo 64
207,Nintendo Channel
208,Nintendo DS
209,Nintendo Direct
210,Nintendo EAD
211,Nintendo Entertainment Analysis and Development
212,Nintendo Gamer
213,Nintendo Life
214,Nintendo Power
215,Nintendo Selects
216,Nintendo Switch
217,Nintendo Switch Sports
218,Nintendo Wi-Fi Connection
219,Nintendo Wi-Fi USB Connector
220,Nintendo eShop
221,Non-player character
222,North America
223,Nyko Kama
224,Nyko Wand
225,Official Nintendo Magazine
226,PC Magazine
227,PMID (identifier)
228,Pack-in game
229,Parachuting
230,Pat Cash
231,Personal Trainer: Walking
232,Personal water craft
233,Phantasy Star Online
234,Physical therapy
235,Picross 3D
236,Picross DS
237,Piloting (navigation)
238,Pilotwings
239,Pitcher
240,Planet Puzzle League
241,Play (UK magazine)
242,"Prescott, Arizona"
243,Product bundling
244,Professor Kageyama's Maths Training: The Hundred Cell Calculation Method
245,Progressive scan
246,Racket (sports equipment)
247,Racquet
248,"Raleigh, North Carolina"
249,Reggie Fils-Aime
250,Review aggregator
251,Rick Mercer
252,Rick Mercer Report
253,S2CID (identifier)
254,SSX on Tour
255,Sakura Wars (video game)
256,Satoru Iwata
257,Serena Williams
258,Shacknews
259,Shigeru Miyamoto
260,Simulation game
261,Single-player
262,Soccer
263,South Korea
264,"South San Francisco, California"
265,Speaker of the United States House of Representatives
266,Splatoon
267,Sports game
268,Stephen Colbert (character)
269,Strike (bowling)
270,Sudoku Gridmaster
271,Super Mario
272,Super Mario Spikers
273,Super Mario Strikers
274,Super Smash Bros.
275,Super Smash Bros. Ultimate
276,Super Smash Bros. for Nintendo 3DS and Wii U
277,Swordplay
278,Table tennis
279,Taiko no Tatsujin
280,Television
281,Television Friend Channel G-Guide for Wii
282,Ten-pin bowling
283,Tennis
284,Tennis (1984 video game)
285,Tennis racket
286,The Colbert Report
287,The Daily Courier (Arizona)
288,The Guardian
289,The Legend of Zelda: Breath of the Wild
290,The Legend of Zelda: Ocarina of Time
291,Third-party accessories for the Wii Remote
292,Time (magazine)
293,Toro Inoue
294,Touch! Generations
295,Tropic Thunder
296,Turn (game)
297,USA Today
298,Video game
299,Video game composer
300,Video game console
301,Video game creative director
302,Video game designer
303,Video game developer
304,Video game genre
305,Video game producer
306,Video game programmer
307,Video game publisher
308,Video game remake
309,Virtual Boy
310,Virtual Console
311,Volleyball
312,Wakeboarding
313,"Washington, D.C."
314,WaveBird Wireless Controller
315,Wii
316,WiiConnect24
317,WiiWare
318,Wii (series)
319,Wii (video game series)
320,Wii Balance Board
321,Wii Chess
322,Wii Fit
323,Wii Fit Plus
324,Wii Fit Trainer
325,Wii Fit U
326,Wii Freeloader
327,Wii Menu
328,Wii Message Board
329,Wii MotionPlus
330,Wii Music
331,Wii Party
332,Wii Party U
333,Wii Play
334,Wii Play: Motion
335,Wii Remote
336,Wii Shop Channel
337,Wii Speak
338,Wii Sports Club
339,Wii Sports Resort
340,Wii U
341,Wii Zapper
342,Wii launch
343,Wii no Ma
344,Wii sales
345,Wii system software
346,Wired (magazine)
347,Yo-kai Watch (video game)
348,Yo-kai Watch 2
349,Ziff Davis
350,Wikipedia:Contents/Portals
351,Wikipedia:Featured articles
352,Template:Cite web
353,Template:JGA GOTY
354,Template:Mario sports games
355,Template:Touch! Generations
356,Template:Wii
357,Template:Wii series
358,Template talk:JGA GOTY
359,Template talk:Mario sports games
360,Template talk:Touch! Generations
361,Template talk:Wii
362,Template talk:Wii series
363,Category:CS1 maint: url-status
364,Category:Use mdy dates from March 2018
365,Category:Wii
366,Portal:Video games
