,links
0,1Up.com
1,Action role-playing game
2,Amiibo
3,Animal Crossing
4,Art Style
5,Bandai Namco Entertainment
6,Big Brain Academy
7,Bit Generations
8,BoxBoy!
9,Brain Age
10,Characters of Xenogears
11,Chibi-Robo!
12,Computer Entertainment Supplier's Association
13,Creid
14,Cruis'n
15,Custom Robo
16,Donkey Kong
17,Dr. Mario (series)
18,Enterbrain
19,Eurogamer
20,Experience point
21,Experience points
22,F-Zero
23,Famicom Detective Club
24,Famitsu
25,Fire Emblem
26,Forbes
27,Fossil Fighters
28,GameStop
29,Game Informer
30,GamesRadar
31,GamesRadar+
32,Golden Sun
33,Good Smile Company
34,Health points
35,Hepburn romanization
36,Hiroyuki Sawano
37,ISBN (identifier)
38,Japanese language
39,KOS-MOS
40,Kid Icarus (series)
41,Kirby (series)
42,Kotaku
43,Kunihiko Tanaka
44,Lin Lee
45,List of Xenosaga characters
46,List of Xenosaga media
47,Mario (franchise)
48,Mario Kart
49,Mario Party
50,Mario vs. Donkey Kong
51,Metacritic
52,Metroid
53,Monolith Soft
54,Monster Games
55,Mother (video game series)
56,Music of Xenosaga
57,Myth: The Xenogears Orchestral Album
58,Namco × Capcom
59,New Nintendo 3DS
60,Nintendo
61,Nintendo Switch
62,Non-player character
63,Operation Rainfall
64,PC World
65,Pandora's Tower
66,Paper Mario
67,Pikmin
68,Pilotwings
69,Pokémon (video game series)
70,Polygon (website)
71,Project X Zone
72,Project X Zone 2
73,Punch-Out!!
74,Puzzle League
75,Shion Uzuki
76,Shulk
77,Siliconera
78,Soraya Saga
79,Spiritual successor
80,Splatoon
81,Square Enix
82,Star Fox
83,Super Mario
84,Super Mario Maker
85,Super Robot Taisen OG Saga: Endless Frontier
86,Super Robot Taisen OG Saga: Endless Frontier Exceed
87,Super Smash Bros.
88,Super Smash Bros. Ultimate
89,Super Smash Bros. for Nintendo 3DS and Wii U
90,Tetsuya Takahashi
91,The Last Story
92,The Legend of Zelda
93,The Legend of Zelda: Breath of the Wild
94,The Legendary Starfy
95,Time-keeping systems in games
96,Touch! Generations
97,VG247
98,Video game artist
99,Video game developer
100,Video game genre
101,Video game music
102,Video game publisher
103,Video game writer
104,Wario (series)
105,Wars (series)
106,Wii
107,Wii (video game series)
108,Wii U
109,Xeno (series)
110,Xenoblade Chronicles: Definitive Edition
111,Xenoblade Chronicles: Future Connected
112,Xenoblade Chronicles (video game)
113,Xenoblade Chronicles 2
114,Xenoblade Chronicles 2: Torna – The Golden Country
115,Xenoblade Chronicles 3
116,Xenoblade Chronicles 3D
117,Xenoblade Chronicles X
118,Xenogears
119,Xenogears Original Soundtrack
120,Xenosaga
121,Xenosaga: Pied Piper
122,Xenosaga: The Animation
123,Xenosaga Episode I
124,Xenosaga Episode II
125,Xenosaga Episode III
126,Xenosaga I & II
127,Yasunori Mitsuda
128,Yoko Shimomura
129,Yoshi's Woolly World
130,Yoshi (series)
131,Template:Cite magazine
132,Template:Nintendo franchises
133,Template:Xeno
134,Template talk:Nintendo franchises
135,Template talk:Xeno
136,Help:CS1 errors
137,Category:Xeno (series)
