,linkshere
0,Duck Hunt
1,Game Boy Advance
2,Mario Kart: Super Circuit
3,Paper Mario (video game)
4,Tetris Attack
5,List of Game Boy Advance games
6,Wrecking Crew (video game)
7,5th Annual Interactive Achievement Awards
8,Fire Emblem
9,Yuka Tsujiyoko
10,Super Metroid
11,Intelligent Systems
12,Super Game Boy
13,Game Boy Player
14,Wario Land 4
15,Talk:Super Smash Bros. Melee/Archive 1
16,Pixel art
17,Pokémon Puzzle League
18,Sturm
19,List of years in games
20,Alleyway (video game)
21,Mario Paint
22,Fire Emblem: The Blazing Blade
23,Black hole (disambiguation)
24,Castlevania: Circle of the Moon
25,Fire Emblem: Genealogy of the Holy War
26,Wars (series)
27,Advance Wars 2: Black Hole Rising
28,Pokémon Puzzle Challenge
29,Hogan's Alley (video game)
30,File:GBA Advance Wars.png
31,Paper Mario: The Thousand-Year Door
32,Wild Gunman
33,WarioWare: Touched!
34,Advance Wars: Dual Strike
35,Edge (magazine)
36,WarioWare: Twisted!
37,"WarioWare, Inc.: Mega Party Games!"
38,Tennis (1984 video game)
39,2001 in video games
40,List of Nintendo products
41,Soccer (1985 video game)
42,IQue
43,NGC Magazine
44,Battle Clash
45,Metal Combat: Falcon's Revenge
46,Fire Emblem Gaiden
47,Age of Empires
48,Fire Emblem: The Sacred Stones
49,Nintendo Puzzle Collection
50,Talk:Advance Wars
51,Battalion Wars
52,Talk:Wars (series)
53,User:Agent CH
54,Military Madness
55,User:Gakon5/Infoboxes
56,Wikipedia talk:Featured topics
57,Famicom Wars
58,User:UnlimitedAccess/Games
59,Galactic Pinball
60,Wikipedia:Peer review/October 2005
61,Talk:Game Boy Wars 3
62,Wikipedia:Peer review/Lord Sturm/archive1
63,Game Boy Wars
64,Wikipedia:Articles for deletion/Log/2005 October 11
65,Wikipedia:Articles for deletion/Hachi
66,Talk:Bahamut Lagoon
67,User talk:A Man In Black/Archive2
68,Fire Emblem: Shadow Dragon and the Blade of Light
69,User:Erik the Appreciator
70,Wikipedia:Articles for deletion/Log/2005 November 4
71,Wikipedia:Articles for deletion/Advance Wars By Web
72,Template:Wars series
73,Shouzou Kaga
74,Fire Emblem: Path of Radiance
75,List of crossovers in video games
76,Fire Emblem: Thracia 776
77,Advanced Wars
78,Fire Emblem: The Binding Blade
79,Fire Emblem: Mystery of the Emblem
80,Wikipedia:Articles for deletion/Log/2006 January 26
81,Wikipedia:Articles for deletion/Allied Nations (Advance wars)
82,Wikipedia:Articles for deletion/Log/2006 January 27
83,Wikipedia:Articles for deletion/Army tanks
84,Talk:Blue–green distinction in language
85,WayForward
86,User talk:SyzygySmashed
87,Wikipedia:WikiProject Video games/Nintendo
88,Battalion Wars 2
89,User:Pilaz/United Nations in popular culture
90,Super Paper Mario
91,Fire Emblem: Radiant Dawn
92,WarioWare: Smooth Moves
93,Front Mission (video game)
94,Field Commander
95,User talk:FreeLance FoX
96,Kaeru no Tame ni Kane wa Naru
97,Dragon Hopper
98,Wikipedia:Articles for deletion/Log/2006 August 8
99,Wikipedia:Articles for deletion/Units in Nintendo Wars
100,User talk:84.63.34.212
101,User talk:A Man In Black/Archive10
102,User:Eric Herboso/Media
103,User talk:SCB '92
104,User:SCB '92
105,User:Remurmur/NintendoInfoRemoved
106,User:Allahweh1453/My Games
107,Band of Bugs
108,Planet Puzzle League
109,Wikipedia:WikiProject Spam/LinkSearch/mobygames.com
110,Wikipedia:WikiProject Spam/LinkSearch/Mobygames.com
111,User:Java7837/archive1
112,User:Java7837/Userboxes
113,User:Jacoplane/Logs/200307 7
114,User:Aveyn Knight
115,File:Advance Wars Coverart.jpg
116,Talk:Boss (video games)/Archive 1
117,Wikipedia:WikiProject Video games/Reference library/Electronic Gaming Monthly
118,Wikipedia:WikiProject Military history/Assessment/Drive/51
119,Wikipedia:WikiProject Spam/LinkReports/web.archive.org
120,Puzzle League
121,Andy (given name)
122,Advance Wars: Days of Ruin
123,Patapon
124,Fire Emblem: Shadow Dragon
125,Drone Tactics
126,Strategy video game
127,Kousoku Card Battle: Card Hero
128,Trade & Battle: Card Hero
129,Talk:4X/Archive 2
130,List of video game remakes and remastered ports
131,Age of Empires: Mythologies
132,Wikipedia talk:WikiProject Video games/Archive 45
133,User:JohnnyMrNinja/vgproj2
134,User talk:86.156.26.142
135,Sonia (name)
136,Talk:List of video game genres/Archive 2
137,User:Unknown the Hedgehog/Sandbox
138,WarioWare D.I.Y.
139,WarioWare: Snapped!
140,Mech Platoon
141,List of Advance Wars COs
142,List of turn-based tactics video games
143,Talk:Advance Wars: Dual Strike/Archive 1
144,Template talk:Nintendo franchises
145,Dragon Quest Wars
146,User:Suddhadeep
147,User:Masem/top100
148,Transformers G1: Awakening
149,Matthew Pyke
150,User:Colonel Warden/Fictional military organisations
151,Paper Mario: Sticker Star
152,Battle Dex
153,Tom Clancy's Ghost Recon: Shadow Wars
154,Wikipedia:WikiProject Video games/Article alerts/Archive
155,User talk:Gary/Archives/2008
156,Yakuman (video game)
157,User talk:Rex01081995
158,Skulls of the Shogun
159,Wikipedia:Peer review/Advance Wars/archive1
160,Wikipedia:Peer review/July 2011
161,Wikipedia:WikiProject Video games/Reference library/Games
162,Fire Emblem Awakening
163,Wikipedia:WikiProject Spam/LinkReports/warscentral.com
164,Wikipedia:WikiProject Spam/Local/warscentral.com
165,User:Tony414/NP Top 200
166,Pushmo
167,Call of Cthulhu: The Wasted Land
168,Game & Wario
169,Great Big War Game
170,Wikipedia:Redirects for discussion/Log/2012 September 23
171,User:Arkhandar/sandbox
172,Talk:List of Advance Wars COs
173,User:Johnsirett/sandbox
174,Crashmo
175,List of Virtual Console games for Wii U (North America)
176,Tokyo Mirage Sessions ♯FE
177,List of Virtual Console games for Wii U (PAL region)
178,List of Virtual Console games for Wii U (Japan)
179,List of video games considered the best
180,Talk:Project M
181,Ancient Trader
182,User:Eeroko/sandbox
183,Pushmo World
184,Code Name: S.T.E.A.M.
185,Wikipedia:Featured article candidates/Ancient Trader/archive1
186,Wikipedia:Featured article candidates/Archived nominations/August 2014
187,Wikipedia talk:WikiProject Video games/CVGurls
188,Fire Emblem Fates
189,Wikipedia:WikiProject Video games/Nintendo/Franchises
190,Stretchmo
191,D.I.C.E. Awards
192,Paper Mario: Color Splash
193,Max (given name)
194,Wikipedia:Articles for creation/Redirects and categories/2016-06
195,Fire Emblem: New Mystery of the Emblem
196,User:Acer/Simple1
197,Fire Emblem Heroes
198,Fire Emblem Echoes: Shadows of Valentia
199,Wikipedia:WikiProject Video games/Nintendo/Popular pages
200,Wargroove
201,Paper Mario
202,Tiny Metal
203,WarioWare Gold
204,User:Maplestrip/List of video games published by Nintendo
205,Fire Emblem: Three Houses
206,User:Major Video game Association/sandbox
207,Wikipedia:Redirects for discussion/Log/2019 August 11
208,Byleth (Fire Emblem)
209,Paper Mario: The Origami King
210,User:Abryn/To improve
211,Template:Intelligent Systems
212,WarioWare: Get It Together!
213,Advance Wars 1+2: Re-Boot Camp
214,Advance wars
215,Talk:King of All Cosmos/Archive 1
216,User talk:Graffiti master 32
217,User talk:2601:280:CA7F:9490:9498:FB85:1DC3:1946
218,Fire Emblem Engage
219,Draft:Advance Wars: Re-boot Camp
