,linkshere
0,Blaise Pascal
1,F-Zero: Maximum Velocity
2,Game Boy Advance
3,Handheld game console
4,Kid Icarus
5,Mario Kart
6,Nintendo
7,Octavian (disambiguation)
8,Scrooge McDuck
9,The Legend of Zelda
10,Kuru Kuru Kururin
11,GameCube
12,AC
13,Story within a story
14,The Legend of Zelda (video game)
15,Talk:Groundhog Day
16,Metroid
17,Tomcat
18,Jack Russell Terrier
19,H&M
20,User:Uyanga
21,64DD
22,List of fictional bears
23,List of Game & Watch games
24,Star Fox
25,List of miscellaneous fictional animals
26,Lionel (given name)
27,Rare (company)
28,Fire Emblem
29,Mother (video game series)
30,Cherry blossom
31,Kappa (folklore)
32,Nintendo e-Reader
33,Game Boy Player
34,Mario Party
35,Wikipedia talk:WikiProject Video games/Archive 13
36,List of Nintendo 64 games
37,Konpeitō
38,Dace
39,A Sunday Afternoon on the Island of La Grande Jatte
40,Claude (given name)
41,Animal Crossing (video game)
42,Balloon Fight
43,Story of Seasons
44,Excitebike
45,List of Internet phenomena
46,List of video game franchises
47,List of video game industry people
48,List of video game musicians
49,Doubutsu no Mori
50,Dobutsu no Mori
51,Doubutsu no mori
52,Dobutsu no mori
53,List of video game developers
54,List of anime based on video games
55,Satoru Iwata
56,List of Classic NES Series games
57,Animal Crossing: Wild World
58,Gulliver
59,Talk:Gulliver
60,Master Sword
61,Custom Robo
62,Mitsuo Iwata
63,Wars (series)
64,Latimeria
65,List of fictional politicians
66,Newton's cradle
67,Giftpia
68,List of messaging applications for Nintendo game consoles
69,Merlion
70,Nintendogs
71,List of fictional ducks
72,Hisao Egawa
73,User:Satori/moon
74,Ione
75,Nintendo Entertainment Analysis & Development
76,Pikmin
77,Joy to the World (Three Dog Night song)
78,Gaston
79,Goose (disambiguation)
80,List of Nintendo products
81,Pokémon (video game series)
82,Talk:Super Robot Wars
83,Super Smash Bros.
84,List of best-selling video games
85,Talk:AC
86,F-Zero
87,Password (video games)
88,User:NHaines
89,Talk:Axolotl
90,Sucker Punch Productions
91,Rolf
92,Francine
93,Del (disambiguation)
94,Talk:List of GameCube games
95,Paolo
96,Bell (fictional currency)
97,Stu
98,List of fictional postal employees
99,Drinking bird
100,List of University of Pennsylvania people
101,G-Phoria
102,Rodeo (disambiguation)
103,Tomy
104,User talk:204.63.137.150
105,Wikipedia talk:WikiProject Video games/Archive 5
106,User:Americanidiot
107,Monique
108,User:UnlimitedAccess/Games
109,Wikipedia:Articles for deletion/Log/2005 August 29
110,Wikipedia:Articles for deletion/The Green Foudation
111,The Blue Boy
112,Talk:List of video game musicians
113,User:Crumbworks
114,Gyaru
115,4koma Manga Kingdom
116,Wikipedia:Peer review/Animal Crossing/archive1
117,Illeism
118,Wikipedia:Peer review/October 2005
119,Talk:WarioWare: Twisted!
120,Wikipedia:Articles for deletion/Log/2005 October 15
121,Wikipedia:Articles for deletion/DUMMY
122,Striped beakfish
123,Doomguy
124,Wikipedia:Articles for deletion/Log/2005 October 29
125,Wikipedia:Articles for deletion/Animal Crossing 2
126,User:NDSGuy
127,Nintendo Player's Guide
128,Wikipedia talk:WikiProject Video games/Archive 6
129,Animal Forest/Crossing cameos
130,Naoki Tatsuta
131,Talk:Animal Crossing Wild World
132,Hedgehogs in culture
133,List of crossovers in video games
134,Talk:Haniwa
135,Animal Crossing: City Folk
136,User:XOSAF
137,Template:Animal Crossing
138,User:Undrhil
139,Shampoodle
140,Katsuya Eguchi
141,2-D (character)
142,Real time (media)
143,User:Urameshi2/Wikipedia Pages
144,"OLM, Inc."
145,Kazumi Totaka
146,Life simulation game
147,User:Kirbyrocks
148,Wikipedia:Articles for deletion/Log/2006 April 4
149,Wikipedia:Articles for deletion/Nookbay
150,The Legendary Starfy
151,Takatoshi Kaneko
152,List of video game publishers
153,Wikipedia:WikiProject Video games/Nintendo
154,Wikipedia:WikiProject Video games/Nintendo/Essential articles
155,Pitfall (Animal Crossing)
156,Glen Michael
157,Eric
158,T-Bone (disambiguation)
159,Gekijōban Dōbutsu no Mori
160,Talk:Gekijōban Dōbutsu no Mori
161,Category:Animal Crossing
162,User:FangzofBlood
163,Super Mario
164,Kid Icarus (series)
165,NDcube
166,Touch! Generations
167,User:ADeveria/My games
168,Takashi Tezuka
169,Pascal (given name)
170,GameNOW
171,User:General456
172,Bit Generations
173,User:Robertorulez
174,User:~Viper~
175,List of fictional foxes
176,List of breakout characters
177,User:GrimRepr39/videogames
178,Sanjeev Kohli
179,Donkey Kong
180,Wikipedia:Reference desk/Archives/Miscellaneous/2006 August 6
181,"Foxes in popular culture, films and literature"
182,Talk:Animal Crossing
183,Talk:Animal Crossing: City Folk
184,Template talk:Animal Crossing
185,Wii Menu
186,Unlockable game
187,User talk:A Man In Black/Archive10
188,User:Mariokid19
189,Wikipedia:Articles for creation/2006-09-29
190,History of Nintendo
191,Animal Crossing series
192,Talk:Rasher (comics)
193,Cruis'n
194,Talk:Super Smash Bros. Brawl/Archive 8
195,Carmen (given name)
196,Wikipedia:Categories for deletion/Log/2006 December 20
197,User:Midnight 7/Bio of Pooka
198,Dendrochirus zebra
199,Talk:Animal Crossing (video game)/Archive 1
200,Wikipedia:Disambiguation pages with links/2006-11-30 dump
201,User:Ryonslaught
202,Wikipedia talk:WikiProject Video games/Archive 20
203,Kangaroo emblems and popular culture
204,User:Groudon199
205,Talk:Super Mario Bros./Archive 1
206,User:PichuUmbreon
207,Wikipedia talk:WikiProject Video games/Archive 21
208,2000s in video games
209,Animal crossing series
210,Kirby (series)
211,Japanese popular culture
212,List of artificial pet games
213,User:Jacoplane/Logs/200307 4
214,User:Neo Samus
215,User:Daark
216,Kazuya Tatekabe
217,Educational video game
218,Killer Instinct
219,List of best-selling video game franchises
220,User:Vortex Dragon/Games
221,Jay (given name)
222,User:Mad Cheese Eater
223,Marcel (given name)
224,Talk:Virtual Console/Archive 3
225,Infamous (video game)
226,User:Tigerghost/Sandbox
227,User:Tigerghost/American Pop Culture (2000 - 2003)
228,User talk:CyberSkull/Archive 2
229,Talk:Darksiders (video game)
230,User:SakuraAvalon86
231,Wario (series)
232,Puzzle League
233,Talk:Gradius (video game)
234,User:Avenged Eightfold/Userboxes
235,User talk:SG/Computer and video games that have been considered the greatest ever
236,User talk:71.92.105.10
237,User talk:98.196.24.68
238,User talk:Vincent Slander
239,Final Fantasy Crystal Chronicles: My Life as a King
240,ACGC Chemical Research Communications
241,Wikipedia:Suspected sock puppets/Archive/November 2007
242,Wikipedia:WikiProject Spam/LinkReports/wii.nintendo.co.uk
243,Wikipedia:WikiProject Spam/LinkReports/nintendo.com
244,"Wikipedia:WikiProject Spam/COIReports/2007, Oct 26"
245,List of simulation video games
246,"Wikipedia:WikiProject Spam/COIReports/2007, Oct 27"
247,Wikipedia:WikiProject Video games/Nintendo/Right panel
248,User:Toadwildride
249,Wikipedia:Suspected sock puppets/Mega Man 5
250,Construction and management simulation
251,Tube Slider
