,linkshere
0,Diablo II
1,Machinima
2,The Sims (video game)
3,The Legend of Zelda: Ocarina of Time
4,GoldenEye 007 (1997 video game)
5,Neverwinter Nights (2002 video game)
6,Halo: Combat Evolved
7,5th Annual Interactive Achievement Awards
8,British Academy Games Awards
9,Game Developers Choice Awards
10,List of TCP and UDP port numbers
11,Multiplayer video game
12,2002 in video games
13,Call of Duty (video game)
14,Desert Combat
15,Video game modding
16,Talk:Battlefield 1942
17,Day of Defeat
18,List of Battlefield 1942 mods
19,Battlefield:1942
20,DICE (company)
21,List of Macintosh games
22,Massively multiplayer online game
23,2003 in video games
24,Battlefield Vietnam
25,Half-Life 2
26,Battlefield:1942 modifications
27,List of years in games
28,Dungeon Siege
29,User:Teh1337357
30,Pinball Fantasies
31,User:Paitum/ModificationReorganization
32,User:Paitum/ModificationReorganization2
33,Battlefield (video game series)
34,Battlefield 2
35,PunkBuster
36,Codename Eagle
37,Comparisons of Battlefield 1942 mods
38,Desert Combat Realism Mod
39,Talk:Desert Combat
40,Talk:Wolfenstein: Enemy Territory
41,Trauma Studios
42,Battlefield 2: Modern Combat
43,Pinball Dreams
44,Pinball Illusions
45,File:Battlefield 1942 Box Art.jpg
46,SCons
47,User talk:Taxman/Archive1
48,Wikipedia:Articles for deletion/Log/2005 March 11
49,Wikipedia:Articles for deletion/Dune Desert Power
50,Benefactor (video game)
51,Battle of Wake Island
52,God of War (2005 video game)
53,SSX 3
54,BF1942
55,List of Game of the Year awards
56,Gears of War (video game)
57,No One Lives Forever 2: A Spy in H.A.R.M.'s Way
58,Project Reality
59,List of Battlestar Galactica video games
60,G-Phoria
61,Terminator 3: War of the Machines
62,Midtown Madness 3
63,DC Final
64,User:UnlimitedAccess/Games
65,User:Lupin/watchlist
66,User:Tr9ccc/ohwell
67,List of World War II video games
68,Dc final
69,Talk:Comparisons of Battlefield 1942 mods
70,Mercedes Simplex
71,Talk:War Rock
72,8th Golden Satellite Awards
73,Macologist
74,User talk:Fr0
75,Talk:All your base are belong to us/Archive 1
76,User:Yakob~enwiki
77,Xianxingzhe
78,User:Commodore Kevles
79,User:Bob rulz/personal
80,Wikipedia:Articles for deletion/Log/2006 March 18
81,Wikipedia:Articles for deletion/Desert Combat Extended
82,S40 Racing
83,Battlefield 2142
84,Wikipedia:Articles for deletion/Log/2006 March 29
85,Wikipedia:Articles for creation/2006-03-30
86,Wikipedia:Articles for deletion/Wasteland 2042
87,Wikipedia:Articles for deletion/Log/2006 April 1
88,Wikipedia:Articles for deletion/Call to Arms
89,Wikipedia:Articles for deletion/Forgotten Hope
90,Wikipedia:Articles for deletion/Log/2006 April 2
91,Wikipedia:Articles for deletion/Next Threat
92,User:BF2MCguy
93,BF42
94,GameCube online functionality
95,Eve of Destruction
96,Wikipedia:Articles for deletion/Log/2006 May 13
97,Wikipedia:Articles for deletion/List of Battlefield 1942 mods
98,Wikipedia:Articles for deletion/ZQuake BF1942
99,Wikipedia:Articles for deletion/Stargate: Battle for Mankind (2nd nomination)
100,Wikipedia:Articles for deletion/Log/2006 May 19
101,BF 1942
102,User:USMA
103,RalliSport Challenge
104,RalliSport Challenge 2
105,Slam Tilt
106,User:Nucleusboy
107,User:MRProgrammer
108,User:Mofomojo
109,User:Lkjhgfdsa/Wikipedian Gamebox
