,linkshere
0,Talk:Borderland
1,User:SOADLuver
2,Wikipedia:Miscellany for deletion/Portal:Border
3,User talk:Bloodholds
4,User talk:ASOTMKX
5,User talk:Hugosworld92
6,User talk:Looney Guy
7,User:Thefamemonster x
8,Wikipedia:Articles for deletion/Role-playing shooter
9,Wikipedia:Articles for deletion/Log/2010 February 17
10,User talk:Mightymike96
11,User:Jayhalobeast
12,User:NeverDownEE
13,User:Wikialexdx/Sandbox3
14,User:Gregcrowe/draft article on game industry news
15,User:SamuelLloyd96
16,User:CapsulateMule/sandbox
17,User:Meowkin/sandbox
18,User:Losrakas/sandbox
19,Wikipedia:WikiProject Religion/Prospectus
20,User talk:Livitup/Archive 11
21,Template talk:Infobox video game/Archive 13
22,Wikipedia:WikiProject Academic Journals/Journals cited by Wikipedia/B29
23,User talk:Dannylopezwarz
24,Talk:Defense Grid 2
25,User talk:Jorgect74
26,User talk:BlaxJAx
27,User talk:Black-Desert-Bot
28,User talk:LaytonPuzzle27
29,User talk:Elan Morin Tedronai/Archive 1
30,User:Mieuxmieux1/sandbox/Rick Howell
31,User:MR.RockGamer17/sandbox
32,Draft:NVIZ
33,Draft:NVIZ (2)
