,linkshere
0,Lionhead Studios
1,Peter David
2,Stephen Fry
3,Zoë Wanamaker
4,Julia Sawalha
5,British Academy Games Awards
6,Sean Pertwee
7,Peter Molyneux
8,Xplay
9,Black & White (video game)
10,Highwayman
11,Bullfrog Productions
12,Adam Sessler
13,Ragdoll physics
14,Ron Glass
15,Yōsuke Akimoto
16,Steve Jackson (British game designer)
17,Fable (2004 video game)
18,Wikipedia:Most frequently edited pages
19,Master Chief (Halo)
20,Black & White 2
21,Unity (video game)
22,Vas Blackwood
23,John O'Hurley
24,Dragon Quest V
25,Elixir Studios
26,The Movies
27,Crucible (disambiguation)
28,Richard Ridings
29,Lucien
30,Salli Saffioti
31,Black & White: Creature Isle
32,Peter Dickson (announcer)
33,Jo Chen
34,Mark Healey
35,Rota Fortunae
36,Demis Hassabis
37,Spike Video Game Awards
38,Platinum Hits
39,Christopher Fairbank
40,User talk:Traitorfish
41,User talk:Morda Statca
42,Oliver Cotton
43,Adjoa Andoh
44,Reaver
45,Frankenstein in popular culture
46,Damian O'Hare
47,Nolan North
48,Black & White 2: Battle of the Gods
49,List of assassinations in fiction
50,James Corden
51,Russell Shaw (composer)
52,User talk:74.236.15.78
53,User talk:209.250.175.117
54,Gerardo Reyero
55,Media Molecule
56,2008 in video games
57,Template:Fable series
58,Wikipedia:WikiProject Video games/Reference library/Edge
59,Wikipedia:WikiProject Video games/Reference library/Electronic Gaming Monthly
60,User talk:203.97.217.149
61,User talk:198.111.56.52
62,User talk:69.129.190.2
63,Kynapse
64,User talk:Andresbortoni
65,User talk:Pmm530
66,User:MWB1138
67,Soundelux Design Music Group
68,Hob (folklore)
69,List of cooperative video games
70,Fable II Pub Games
71,Talk:Naruto: Ultimate Ninja Storm
72,Wikipedia:Version 1.0 Editorial Team/Xbox articles by quality log
73,User:Lympathy/Games
74,User talk:87.127.136.207
75,Fable 2
76,User talk:81.102.124.46
77,User talk:Bandj7
78,User talk:Bandj8
79,User talk:Bandj9
80,User talk:71.228.45.162
81,User talk:130.13.36.16
82,User talk:99.237.197.28
83,User talk:205.215.177.151
84,User talk:89.241.223.190
85,User talk:219.89.226.150
86,User talk:168.169.33.181
87,User talk:74.173.227.142
88,User:CBrowncamel
89,User:JohnnyMrNinja/vgproj2
90,"Wikipedia:WikiProject Spam/COIReports/2008, Jun 25"
91,List of video games published by Microsoft
92,User talk:206.58.200.162
93,User talk:219.89.177.212
94,User talk:Dude961
95,User talk:78.148.164.39
96,User talk:211.30.119.6
97,User talk:75.71.43.126
98,Talk:Fable II
99,User talk:76.202.245.198
100,User talk:208.58.254.254
101,User talk:72.72.116.44
102,User talk:121.72.14.207
103,User talk:81.96.176.118
104,User talk:99.242.234.245
105,User talk:71.245.121.74
106,"Wikipedia:WikiProject Spam/COIReports/2008, Sep 23"
107,User talk:71.99.22.162
108,User talk:205.125.34.92
109,User talk:205.125.34.161
110,User talk:Razorwest
111,User talk:Austinsob
112,User talk:76.21.235.251
113,Wikipedia:WikiProject Spam/LinkReports/fable2-world.fr
114,User talk:BreakingPixels
115,2010 in video games
116,User talk:72.72.217.214
117,User talk:76.22.156.200
118,User talk:76.176.24.255
119,User talk:S.Sgt.Maverick
120,User talk:76.101.202.220
121,User talk:98.229.228.202
122,User talk:207.144.112.209
123,User talk:71.171.21.152
124,Stephen Fry bibliography and filmography
125,"Wikipedia:WikiProject Spam/COIReports/2008, Oct 28"
126,Gamescom
127,User talk:98.194.7.235
128,User:Ooliedoolie
129,User talk:75.26.225.118
130,User talk:166.214.85.245
131,User talk:Vrinan
132,Dave Lamb
133,User:Dumlaox
134,User talk:83.67.66.20
135,User talk:J.delanoy/Archive 12
136,User talk:Rollingstonesfan11
137,User talk:72.206.119.125
138,User talk:207.170.204.70
139,User talk:86.46.166.169
140,User talk:90.240.86.27
141,User talk:81.159.126.23
142,User talk:83.61.214.246
143,User talk:97.123.80.65
144,User talk:81.129.89.45
145,User talk:Xxvolugxx
146,User talk:81.132.98.188
147,List of best-selling Xbox 360 video games
148,User talk:86.131.237.24
149,User talk:Stopallspam
150,User talk:MarnetteD/archive10
151,Wikipedia:Peer review/Jonathan Strange & Mr Norrell/archive1
152,5th British Academy Games Awards
153,User talk:Gasypaul
154,User talk:Kazamman
155,User talk:121.216.32.206
156,Jo Wyatt
157,Keith Wickham
158,"Wikipedia:WikiProject Spam/COIReports/2009, Mar 27"
159,User talk:Cloudylemonades
160,User talk:Kowlski
161,User talk:114.93.116.75
162,Benoît Allemane
163,Wikipedia:WikiProject Spam/LinkReports/gladiatus.com
164,User talk:92.3.4.181
165,User talk:Chuckeroo711
166,Rockstar Dundee
167,Talk:The Legend of Zelda: Ocarina of Time/Archive 3
168,Wikipedia:WikiProject Video games/Reference library/BradyGames
169,User talk:67.82.165.192
170,Wikipedia talk:WikiProject Video games/Archive 71
171,Fable ii
172,User talk:RHaworth/Archive to 2009 August
173,User talk:Mkilla666
174,Fable III
175,User:Ricvelozo
176,User talk:207.144.173.203
177,User:Thejadefalcon/Listofgames
178,User:Ninjalemming/Listofgames
179,Wikipedia:Database reports/Atypical deletion log actions/2
180,Wikipedia talk:WikiProject Video games/Archive 76
181,User:Silver Sonic Shadow/List of Xbox 360 games
182,User:Silver Sonic Shadow/List of Xbox 360 games: A-F
183,Spec Ops: The Line
184,Fable 2 Sparrow
